exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,7.0,9.0,12.0,8.0,18.0,10.0,15.0,10.0,12.0,13.0,12.0,15.0,5.0,12.0,15.0,10.0,8.0,13.0,6.0,11.0,2.0,15.0,9.0,17.0,9.0
bloedzuiger,7.0,20.0,13.0,8.0,15.0,9.0,10.0,14.0,12.0,14.0,7.0,12.0,15.0,14.0,12.0,15.0,13.0,12.0,13.0,9.0,15.0,10.0,8.0,12.0,13.0,13.0
daas,9.0,13.0,20.0,12.0,13.0,8.0,10.0,5.0,12.0,5.0,14.0,11.0,6.0,9.0,12.0,12.0,14.0,8.0,9.0,9.0,11.0,8.0,13.0,12.0,12.0,8.0
duizendpoot,12.0,8.0,12.0,20.0,13.0,7.0,12.0,11.0,12.0,6.0,14.0,11.0,11.0,12.0,12.0,16.0,8.0,10.0,10.0,9.0,14.0,7.0,10.0,10.0,7.0,11.0
fruitvlieg,8.0,15.0,13.0,13.0,20.0,12.0,18.0,12.0,9.0,16.0,12.0,12.0,16.0,12.0,12.0,16.0,14.0,15.0,5.0,13.0,12.0,17.0,17.0,16.0,15.0,10.0
hommel,18.0,9.0,8.0,7.0,12.0,20.0,12.0,15.0,11.0,14.0,11.0,12.0,11.0,12.0,8.0,13.0,8.0,7.0,12.0,10.0,13.0,11.0,12.0,11.0,15.0,12.0
kakkerlak,10.0,10.0,10.0,12.0,18.0,12.0,20.0,12.0,14.0,12.0,6.0,5.0,15.0,10.0,7.0,13.0,8.0,13.0,6.0,12.0,5.0,12.0,5.0,7.0,10.0,8.0
kever,15.0,14.0,5.0,11.0,12.0,15.0,12.0,20.0,14.0,6.0,16.0,9.0,14.0,13.0,14.0,14.0,12.0,13.0,9.0,14.0,14.0,17.0,16.0,12.0,7.0,13.0
krekel,10.0,12.0,12.0,12.0,9.0,11.0,14.0,14.0,20.0,7.0,13.0,12.0,13.0,14.0,12.0,12.0,9.0,12.0,12.0,10.0,12.0,9.0,15.0,14.0,8.0,12.0
libel,12.0,14.0,5.0,6.0,16.0,14.0,12.0,6.0,7.0,20.0,14.0,12.0,14.0,5.0,12.0,17.0,15.0,14.0,14.0,12.0,5.0,9.0,4.0,9.0,14.0,13.0
lieveheersbeestje,13.0,7.0,14.0,14.0,12.0,11.0,6.0,16.0,13.0,14.0,20.0,10.0,16.0,9.0,13.0,15.0,10.0,9.0,15.0,12.0,12.0,15.0,10.0,12.0,8.0,5.0
luis,12.0,12.0,11.0,11.0,12.0,12.0,5.0,9.0,12.0,12.0,10.0,20.0,10.0,10.0,12.0,14.0,12.0,15.0,8.0,8.0,15.0,9.0,10.0,15.0,14.0,12.0
meikever,15.0,15.0,6.0,11.0,16.0,11.0,15.0,14.0,13.0,14.0,16.0,10.0,20.0,11.0,11.0,16.0,12.0,12.0,11.0,12.0,9.0,15.0,12.0,11.0,7.0,13.0
mier,5.0,14.0,9.0,12.0,12.0,12.0,10.0,13.0,14.0,5.0,9.0,10.0,11.0,20.0,10.0,10.0,11.0,12.0,14.0,7.0,14.0,10.0,10.0,14.0,13.0,9.0
mot,12.0,12.0,12.0,12.0,12.0,8.0,7.0,14.0,12.0,12.0,13.0,12.0,11.0,10.0,20.0,17.0,13.0,10.0,6.0,6.0,15.0,12.0,18.0,13.0,12.0,10.0
mug,15.0,15.0,12.0,16.0,16.0,13.0,13.0,14.0,12.0,17.0,15.0,14.0,16.0,10.0,17.0,20.0,12.0,11.0,12.0,12.0,12.0,16.0,15.0,15.0,15.0,7.0
oorworm,10.0,13.0,14.0,8.0,14.0,8.0,8.0,12.0,9.0,15.0,10.0,12.0,12.0,11.0,13.0,12.0,20.0,11.0,11.0,10.0,12.0,14.0,11.0,13.0,9.0,12.0
