exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,9.0,16.0,1.0,11.0,18.0,1.0,10.0,12.0,12.0,14.0,8.0,7.0,8.0,16.0,14.0,4.0,4.0,2.0,12.0,11.0,14.0,13.0,11.0,17.0,1.0
bloedzuiger,9.0,20.0,14.0,10.0,4.0,14.0,8.0,5.0,6.0,11.0,11.0,16.0,5.0,4.0,3.0,8.0,15.0,5.0,12.0,14.0,2.0,11.0,1.0,11.0,3.0,17.0
daas,16.0,14.0,20.0,6.0,12.0,17.0,14.0,6.0,4.0,12.0,8.0,9.0,8.0,4.0,14.0,16.0,11.0,9.0,2.0,13.0,11.0,12.0,8.0,13.0,17.0,1.0
duizendpoot,1.0,10.0,6.0,20.0,11.0,2.0,14.0,6.0,11.0,6.0,12.0,7.0,2.0,9.0,3.0,4.0,19.0,17.0,14.0,10.0,12.0,4.0,5.0,6.0,6.0,12.0
fruitvlieg,11.0,4.0,12.0,11.0,20.0,11.0,11.0,7.0,9.0,12.0,9.0,17.0,2.0,9.0,12.0,16.0,8.0,4.0,2.0,5.0,4.0,17.0,11.0,16.0,7.0,2.0
hommel,18.0,14.0,17.0,2.0,11.0,20.0,11.0,10.0,5.0,14.0,14.0,5.0,12.0,8.0,11.0,9.0,6.0,3.0,1.0,10.0,3.0,17.0,12.0,6.0,16.0,1.0
kakkerlak,1.0,8.0,14.0,14.0,11.0,11.0,20.0,15.0,17.0,10.0,9.0,8.0,16.0,4.0,6.0,6.0,18.0,17.0,7.0,4.0,14.0,15.0,8.0,13.0,10.0,1.0
kever,10.0,5.0,6.0,6.0,7.0,10.0,15.0,20.0,19.0,5.0,18.0,4.0,18.0,8.0,4.0,5.0,10.0,11.0,1.0,6.0,14.0,5.0,11.0,5.0,7.0,3.0
krekel,12.0,6.0,4.0,11.0,9.0,5.0,17.0,19.0,20.0,9.0,11.0,7.0,15.0,12.0,12.0,4.0,14.0,14.0,6.0,5.0,19.0,8.0,11.0,8.0,14.0,2.0
libel,12.0,11.0,12.0,6.0,12.0,14.0,10.0,5.0,9.0,20.0,13.0,3.0,6.0,2.0,11.0,19.0,9.0,5.0,3.0,15.0,17.0,14.0,17.0,11.0,11.0,2.0
lieveheersbeestje,14.0,11.0,8.0,12.0,9.0,14.0,9.0,18.0,11.0,13.0,20.0,9.0,18.0,8.0,6.0,4.0,4.0,12.0,8.0,9.0,11.0,10.0,13.0,11.0,11.0,1.0
