exemplar,bij,bloedzuiger,daas,duizendpoot,fruitvlieg,hommel,kakkerlak,kever,krekel,libel,lieveheersbeestje,luis,meikever,mier,mot,mug,oorworm,pissebed,rups,spin,sprinkhaan,vlieg,vlinder,vlo,wesp,worm
bij,20.0,10.0,,6.0,17.0,19.0,14.0,12.0,16.0,16.0,16.0,5.0,16.0,8.0,11.0,19.0,12.0,9.0,2.0,14.0,11.0,18.0,6.0,10.0,19.0,3.0
bloedzuiger,10.0,20.0,,3.0,13.0,2.0,14.0,3.0,6.0,2.0,3.0,17.0,2.0,16.0,2.0,9.0,2.0,11.0,2.0,2.0,3.0,6.0,2.0,17.0,6.0,3.0
daas,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
duizendpoot,6.0,3.0,,20.0,10.0,8.0,9.0,13.0,5.0,16.0,3.0,12.0,6.0,11.0,2.0,6.0,16.0,11.0,19.0,17.0,7.0,6.0,13.0,13.0,16.0,3.0
fruitvlieg,17.0,13.0,,10.0,20.0,18.0,9.0,16.0,8.0,16.0,17.0,11.0,16.0,9.0,16.0,16.0,3.0,13.0,8.0,13.0,9.0,19.0,14.0,17.0,17.0,5.0
hommel,19.0,2.0,,8.0,18.0,20.0,13.0,13.0,5.0,16.0,12.0,2.0,16.0,13.0,16.0,13.0,8.0,13.0,12.0,12.0,14.0,18.0,15.0,13.0,19.0,2.0
kakkerlak,14.0,14.0,,9.0,9.0,13.0,20.0,18.0,9.0,16.0,17.0,11.0,19.0,8.0,14.0,14.0,6.0,2.0,6.0,2.0,9.0,3.0,10.0,14.0,6.0,3.0
kever,12.0,3.0,,13.0,16.0,13.0,18.0,20.0,16.0,13.0,18.0,15.0,18.0,18.0,11.0,16.0,16.0,7.0,9.0,11.0,16.0,16.0,8.0,9.0,14.0,3.0
krekel,16.0,6.0,,5.0,8.0,5.0,9.0,16.0,20.0,11.0,2.0,5.0,14.0,8.0,7.0,6.0,6.0,14.0,14.0,6.0,18.0,14.0,2.0,2.0,13.0,5.0
libel,16.0,2.0,,16.0,16.0,16.0,16.0,13.0,11.0,20.0,2.0,2.0,6.0,8.0,5.0,17.0,16.0,13.0,16.0,13.0,16.0,16.0,16.0,3.0,18.0,16.0
lieveheersbeestje,16.0,3.0,,3.0,17.0,12.0,17.0,18.0,2.0,2.0,20.0,3.0,16.0,16.0,3.0,16.0,2.0,11.0,9.0,2.0,8.0,16.0,11.0,11.0,11.0,2.0
luis,5.0,17.0,,12.0,11.0,2.0,11.0,15.0,5.0,2.0,3.0,20.0,12.0,16.0,3.0,17.0,3.0,3.0,14.0,15.0,6.0,10.0,3.0,18.0,3.0,5.0
meikever,16.0,2.0,,6.0,16.0,16.0,19.0,18.0,14.0,6.0,16.0,12.0,20.0,12.0,16.0,5.0,4.0,11.0,13.0,7.0,14.0,17.0,16.0,2.0,16.0,6.0
