exemplar,generation frequency,mean rank position
auto,119,1.369747899
boot,53,5.905660377
bromfiets,16,5.3125
brommer,38,4.184210526
bus,94,4.095744681
camion,12,6.083333333
camionette,7,5.5
caravan,4,5.25
duikboot,1,4.0
fiets,103,3.194174757
gocart,4,6.5
helikopter,15,7.0
hovercraft,1,6.0
jeep,6,7.5
kar,13,5.307692308
koets,7,5.285714286
luchtballon,3,6.333333333
metrostel,18,6.888888889
moto,26,5.192307692
raket,4,5.0
skateboard,5,5.6
slede,2,5.0
step,33,6.75
taxi,9,4.777777778
tractor,3,6.666666667
tram,64,5.953125
trein,90,4.633333333
vliegtuig,69,4.927536232
vrachtwagen,37,5.216216216
zeppelin,2,8.0
