exemplar,generation frequency,mean rank position
aap,42,3.547619048
bever,1,10.0
bizon,1,6.0
dromedaris,1,8.0
eekhoorn,2,7.0
egel,2,7.5
ezel,20,6.95
giraf,30,6.733333333
hamster,4,8.25
hert,12,7.0
hond,107,3.775700935
ijsbeer,4,6.0
kangoeroe,9,6.555555556
kat,103,4.378640777
koe,66,4.606060606
konijn,20,5.7
lama,1,11.0
leeuw,36,5.777777778
muis,32,6.375
neushoorn,9,7.888888889
nijlpaard,6,6.0
olifant,43,4.23255814
paard,86,4.581395349
schaap,21,6.285714286
tijger,19,6.684210526
varken,35,6.314285714
vleermuis,3,8.666666667
vos,3,5.666666667
wolf,5,6.0
zebra,6,7.833333333
