exemplar,generation frequency,mean rank position
aardappel,13,5.538
ajuin,34,4.357
asperges,14,6.143
aubergine,8,6.375
augurken,5,6.2
biet,2,6.5
bloemkool,42,5.262
bonen,33,5.091
champignons,7,6.286
courgette,7,4.429
erwten,35,4.429
kervel,2,4.0
komkommer,48,4.583
look,1,6.0
maïs,3,8.333
paprika,26,5.5
peterselie,9,6.0
prei,52,4.212
radijs,11,4.364
rode kool,30,6.333
schorseneren,4,7.5
selder,39,4.718
sla,102,2.539
spinazie,27,6.333
spruiten,26,6.192
tomaat,98,3.173
waterkers,0,0.0
witloof,35,5.543
witte kool,18,7.389
wortel,99,3.222
