exemplar,generation frequency,mean rank position
arend,31,4.870967742
duif,42,4.261904762
eend,11,6.090909091
ekster,42,4.404761905
fazant,1,7.0
gier,7,7.0
haan,1,6.0
kalkoen,1,6.0
kanarie,60,3.0
kip,19,5.578947368
koekoek,6,5.0
kraai,34,5.264705882
mees,24,3.166666667
meeuw,33,4.121212121
merel,48,3.541666667
mus,95,2.747368421
ooievaar,14,5.928571429
papegaai,40,3.925
parkiet,23,4.260869565
pauw,2,5.5
pelikaan,2,6.5
pinguïn,3,7.333333333
reiger,4,6.0
roodborstje,71,3.816901408
specht,24,4.5
struisvogel,16,5.0
uil,9,6.222222222
valk,5,4.8
zwaan,1,8.0
zwaluw,21,4.19047619
