exemplar,generation frequency,mean rank position
beha,50,6.6
bloes,55,5.0
broek,116,2.5
das,12,7.4
hemd,66,5.7
hoed,15,7.5
jas,55,4.8
jeans,8,6.4
jogging,1,10.0
kleed,22,5.4
kostuum,4,7.8
laarzen,1,11.0
muts,18,7.9
pet,5,7.0
pyjama,5,7.4
riem,7,7.3
rok,79,3.3
salopet,2,6.5
schoenen,35,5.9
short,18,6.5
sjaal,41,6.3
slip,7,5.1
sokken,42,5.6
sweater,7,8.3
t-shirt,76,5.5
topje,10,7.0
trui,70,3.3
wanten,4,8.5
zwempak,2,8.5
