exemplar,generation frequency,mean rank position
aalbes,0,0.0
aardbei,33,5.485
abrikoos,8,7.375
ananas,37,5.162
appel,120,1.383
banaan,96,3.823
bosbes,1,10.0
braambessen,3,9.333
citroen,34,5.676
clementine,3,6.0
dadels,2,7.0
druif,38,5.737
framboos,7,8.143
kers,35,5.057
kiwi,63,4.984
kokosnoot,1,7.0
limoen,8,6.25
lychee,33,5.545
mango,33,5.576
meloen,22,6.136
nectarine,6,6.167
papaya,1,6.0
passievrucht,14,6.5
peer,101,2.545
perzik,25,6.16
pompelmoes,11,6.091
pompoen,1,5.0
pruim,6,4.667
sinaasappel,89,3.881
vijg,0,0.0
