exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,1.0,0.3735294117647059,0.5275000000000001,0.8444444444444444,0.5349999999999999,0.5475,0.925,0.6725,0.4925,0.5900000000000001,0.6368421052631579,0.5825,0.69375,0.55,0.5549999999999999,0.5875,0.4789473684210527,0.515,0.4875,0.505
blindworm,0.3735294117647059,1.0,0.6055555555555555,0.371875,0.3611111111111111,0.538888888888889,0.3416666666666667,0.23888888888888887,0.36944444444444446,0.41785714285714287,0.40555555555555556,0.49444444444444446,0.36666666666666664,0.5526315789473684,0.4916666666666667,0.6361111111111111,0.4235294117647059,0.3611111111111111,0.35833333333333334,0.6583333333333333
boa,0.5275000000000001,0.6055555555555555,1.0,0.475,0.495,0.875,0.53,0.4425,0.44000000000000006,0.4166666666666667,0.5157894736842106,0.5425,0.51875,0.8525,0.5349999999999999,0.9324999999999999,0.4473684210526316,0.4325,0.44749999999999995,0.82
caiman,0.8444444444444444,0.371875,0.475,1.0,0.5911764705882353,0.475,0.8805555555555555,0.6205882352941177,0.47777777777777775,0.5115384615384615,0.6088235294117647,0.6166666666666667,0.6071428571428571,0.5222222222222223,0.5694444444444444,0.5055555555555555,0.42058823529411765,0.5055555555555555,0.49444444444444446,0.46944444444444444
chameleon,0.5349999999999999,0.3611111111111111,0.495,0.5911764705882353,1.0,0.3975,0.5599999999999999,0.5375,0.5375,0.7366666666666666,0.7052631578947368,0.7150000000000001,0.684375,0.48250000000000004,0.7,0.5125,0.4894736842105263,0.5275000000000001,0.385,0.45499999999999996
cobra,0.5475,0.538888888888889,0.875,0.475,0.3975,1.0,0.47750000000000004,0.4325,0.43499999999999994,0.47333333333333333,0.5473684210526316,0.48,0.4625,0.8474999999999999,0.55,0.9425000000000001,0.4052631578947368,0.41500000000000004,0.4225,0.77
crocodile,0.925,0.3416666666666667,0.53,0.8805555555555555,0.5599999999999999,0.47750000000000004,1.0,0.64,0.46749999999999997,0.5700000000000001,0.618421052631579,0.6224999999999999,0.653125,0.4925,0.5575,0.45499999999999996,0.43684210526315786,0.475,0.5075000000000001,0.46749999999999997
dinosaur,0.6725,0.23888888888888887,0.4425,0.6205882352941177,0.5375,0.4325,0.64,1.0,0.37,0.5566666666666666,0.5868421052631578,0.64,0.66875,0.41500000000000004,0.515,0.44000000000000006,0.4394736842105263,0.495,0.505,0.385
frog,0.4925,0.36944444444444446,0.44000000000000006,0.47777777777777775,0.5375,0.43499999999999994,0.46749999999999997,0.37,1.0,0.5666666666666667,0.4947368421052632,0.58,0.45,0.4175,0.6,0.4625,0.9052631578947368,0.515,0.5650000000000001,0.45999999999999996
gecko,0.5900000000000001,0.41785714285714287,0.4166666666666667,0.5115384615384615,0.7366666666666666,0.47333333333333333,0.5700000000000001,0.5566666666666666,0.5666666666666667,1.0,0.6833333333333333,0.7866666666666666,0.65,0.49000000000000005,0.73,0.49333333333333335,0.5428571428571429,0.4666666666666667,0.4333333333333333,0.45999999999999996
