exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,5.0,2.0,3.0,6.0,7.0,4.0,3.0,4.0,4.0,2.0,2.0,3.0,1.0,5.0,5.0,1.0,2.0,3.0,6.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,5.0,7.0,3.0
ajuin,5.0,20.0,2.0,3.0,6.0,2.0,1.0,6.0,4.0,4.0,1.0,5.0,3.0,17.0,4.0,9.0,6.0,4.0,2.0,5.0,2.0,5.0,5.0,4.0,3.0,4.0,6.0,3.0,4.0,2.0
asperges,2.0,2.0,20.0,6.0,6.0,6.0,8.0,15.0,1.0,9.0,10.0,9.0,11.0,3.0,5.0,4.0,9.0,14.0,5.0,4.0,17.0,9.0,1.0,5.0,6.0,2.0,14.0,9.0,6.0,5.0
aubergine,3.0,3.0,6.0,20.0,12.0,12.0,2.0,13.0,4.0,15.0,3.0,5.0,18.0,5.0,9.0,15.0,6.0,8.0,2.0,16.0,4.0,4.0,2.0,5.0,2.0,5.0,2.0,5.0,4.0,4.0
augurken,6.0,6.0,6.0,12.0,20.0,9.0,1.0,15.0,4.0,16.0,13.0,4.0,15.0,2.0,6.0,5.0,2.0,5.0,6.0,10.0,15.0,4.0,5.0,12.0,12.0,4.0,1.0,8.0,4.0,5.0
biet,7.0,2.0,6.0,12.0,9.0,20.0,3.0,6.0,3.0,12.0,4.0,3.0,6.0,15.0,11.0,12.0,15.0,5.0,18.0,19.0,5.0,8.0,1.0,6.0,16.0,5.0,2.0,3.0,19.0,4.0
bloemkool,4.0,1.0,8.0,2.0,1.0,3.0,20.0,8.0,2.0,2.0,7.0,5.0,3.0,2.0,3.0,3.0,5.0,2.0,11.0,13.0,3.0,6.0,2.0,4.0,8.0,1.0,2.0,8.0,15.0,5.0
bonen,3.0,6.0,15.0,13.0,15.0,6.0,8.0,20.0,8.0,9.0,17.0,4.0,15.0,4.0,4.0,4.0,6.0,4.0,5.0,8.0,9.0,6.0,1.0,15.0,5.0,3.0,9.0,5.0,5.0,6.0
champignons,4.0,4.0,1.0,4.0,4.0,3.0,2.0,8.0,20.0,3.0,5.0,4.0,2.0,4.0,2.0,3.0,2.0,1.0,13.0,5.0,13.0,8.0,1.0,14.0,1.0,1.0,6.0,3.0,3.0,3.0
courgette,4.0,4.0,9.0,15.0,16.0,12.0,2.0,9.0,3.0,20.0,5.0,5.0,19.0,3.0,6.0,2.0,5.0,8.0,4.0,4.0,16.0,6.0,5.0,4.0,2.0,3.0,9.0,4.0,3.0,4.0
