exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,7.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ajuin,7.0,20.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
asperges,6.0,4.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
aubergine,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,
augurken,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
biet,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,
bloemkool,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
bonen,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
champignons,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,
courgette,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
erwten,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,
kervel,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
komkommer,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
look,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
maïs,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
paprika,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
peterselie,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
prei,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
radijs,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
rode kool,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
schorseneren,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
selder,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
sla,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
spinazie,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
spruiten,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tomaat,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
waterkers,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
witloof,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
witte kool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wortel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
