exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,7.0,4.0,11.0,5.0,10.0,4.0,2.0,4.0,6.0,3.0,2.0,6.0,3.0,8.0,8.0,2.0,4.0,5.0,9.0,,,,,,,,,,
ajuin,7.0,20.0,4.0,4.0,3.0,5.0,4.0,2.0,2.0,5.0,3.0,2.0,7.0,17.0,4.0,4.0,3.0,2.0,6.0,4.0,,,,,,,,,,
asperges,4.0,4.0,20.0,8.0,11.0,5.0,4.0,15.0,2.0,14.0,4.0,4.0,12.0,3.0,6.0,2.0,3.0,13.0,4.0,2.0,,,,,,,,,,
aubergine,11.0,4.0,8.0,20.0,7.0,6.0,5.0,4.0,1.0,7.0,4.0,3.0,17.0,4.0,5.0,5.0,2.0,2.0,6.0,2.0,,,,,,,,,,
augurken,5.0,3.0,11.0,7.0,20.0,5.0,5.0,14.0,5.0,12.0,9.0,5.0,15.0,6.0,4.0,3.0,4.0,6.0,6.0,4.0,,,,,,,,,,
biet,10.0,5.0,5.0,6.0,5.0,20.0,15.0,4.0,1.0,6.0,3.0,1.0,5.0,3.0,5.0,5.0,3.0,5.0,12.0,13.0,,,,,,,,,,
bloemkool,4.0,4.0,4.0,5.0,5.0,15.0,20.0,4.0,2.0,1.0,2.0,4.0,4.0,2.0,5.0,6.0,3.0,4.0,4.0,14.0,,,,,,,,,,
bonen,2.0,2.0,15.0,4.0,14.0,4.0,4.0,20.0,4.0,14.0,16.0,2.0,10.0,4.0,10.0,4.0,3.0,6.0,4.0,5.0,,,,,,,,,,
champignons,4.0,2.0,2.0,1.0,5.0,1.0,2.0,4.0,20.0,2.0,7.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,,,
courgette,6.0,5.0,14.0,7.0,12.0,6.0,1.0,14.0,2.0,20.0,4.0,2.0,17.0,5.0,4.0,5.0,3.0,11.0,5.0,5.0,,,,,,,,,,
erwten,3.0,3.0,4.0,4.0,9.0,3.0,2.0,16.0,7.0,4.0,20.0,5.0,4.0,4.0,18.0,4.0,4.0,5.0,6.0,4.0,,,,,,,,,,
kervel,2.0,2.0,4.0,3.0,5.0,1.0,4.0,2.0,2.0,2.0,5.0,20.0,6.0,3.0,4.0,3.0,15.0,5.0,4.0,2.0,,,,,,,,,,
komkommer,6.0,7.0,12.0,17.0,15.0,5.0,4.0,10.0,3.0,17.0,4.0,6.0,20.0,3.0,2.0,4.0,5.0,11.0,2.0,4.0,,,,,,,,,,
look,3.0,17.0,3.0,4.0,6.0,3.0,2.0,4.0,5.0,5.0,4.0,3.0,3.0,20.0,4.0,4.0,3.0,3.0,4.0,5.0,,,,,,,,,,
maïs,8.0,4.0,6.0,5.0,4.0,5.0,5.0,10.0,3.0,4.0,18.0,4.0,2.0,4.0,20.0,6.0,4.0,4.0,5.0,2.0,,,,,,,,,,
paprika,8.0,4.0,2.0,5.0,3.0,5.0,6.0,4.0,2.0,5.0,4.0,3.0,4.0,4.0,6.0,20.0,3.0,15.0,6.0,7.0,,,,,,,,,,
peterselie,2.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,15.0,5.0,3.0,4.0,3.0,20.0,4.0,4.0,2.0,,,,,,,,,,
prei,4.0,2.0,13.0,2.0,6.0,5.0,4.0,6.0,2.0,11.0,5.0,5.0,11.0,3.0,4.0,15.0,4.0,20.0,4.0,2.0,,,,,,,,,,
radijs,5.0,6.0,4.0,6.0,6.0,12.0,4.0,4.0,4.0,5.0,6.0,4.0,2.0,4.0,5.0,6.0,4.0,4.0,20.0,5.0,,,,,,,,,,
rode kool,9.0,4.0,2.0,2.0,4.0,13.0,14.0,5.0,4.0,5.0,4.0,2.0,4.0,5.0,2.0,7.0,2.0,2.0,5.0,20.0,,,,,,,,,,
schorseneren,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
selder,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
sla,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
spinazie,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
spruiten,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tomaat,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
waterkers,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
witloof,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
witte kool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wortel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
