exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,8.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,,,,,,,,3.0,,,,,,,,,,,
ajuin,8.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,
asperges,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
aubergine,1.0,1.0,1.0,20.0,1.0,3.0,1.0,1.0,1.0,18.0,1.0,,,,,,,,1.0,,,,,,,,,,,
augurken,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,1.0,,,,,,,,,,,
biet,3.0,1.0,1.0,3.0,1.0,20.0,1.0,1.0,1.0,7.0,1.0,,,,,,,,10.0,,,,,,,,,,,
bloemkool,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,2.0,2.0,,,,,,,,1.0,,,,,,,,,,,
bonen,4.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
champignons,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,
courgette,1.0,1.0,1.0,18.0,4.0,7.0,2.0,1.0,1.0,20.0,1.0,,,,,,,,1.0,,,,,,,,,,,
erwten,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20.0,,,,,,,,1.0,,,,,,,,,,,
kervel,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,
komkommer,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,
look,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
maïs,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,
paprika,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,
peterselie,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,
prei,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,
radijs,3.0,2.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,20.0,,,,,,,,,,,
rode kool,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,
schorseneren,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,
selder,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,
sla,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
spinazie,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
spruiten,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,
tomaat,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
waterkers,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,
witloof,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
witte kool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wortel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0
