exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,14.0,6.0,9.0,9.0,11.0,10.0,6.0,4.0,6.0,5.0,6.0,12.0,4.0,8.0,9.0,6.0,8.0,6.0,5.0,7.0,5.0,6.0,3.0,4.0,7.0,6.0,7.0,,6.0
ajuin,14.0,20.0,6.0,4.0,7.0,9.0,8.0,6.0,7.0,4.0,7.0,4.0,6.0,16.0,6.0,4.0,11.0,15.0,8.0,6.0,6.0,5.0,4.0,4.0,7.0,7.0,6.0,6.0,,6.0
asperges,6.0,6.0,20.0,5.0,4.0,5.0,4.0,9.0,3.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,8.0,6.0,5.0,7.0,13.0,6.0,4.0,6.0,5.0,6.0,5.0,7.0,,7.0
aubergine,9.0,4.0,5.0,20.0,9.0,13.0,5.0,7.0,4.0,7.0,4.0,5.0,6.0,6.0,8.0,10.0,4.0,7.0,7.0,6.0,6.0,4.0,4.0,5.0,5.0,1.0,5.0,6.0,,5.0
augurken,9.0,7.0,4.0,9.0,20.0,7.0,5.0,12.0,3.0,14.0,7.0,6.0,15.0,6.0,4.0,6.0,11.0,5.0,8.0,6.0,8.0,6.0,6.0,4.0,8.0,5.0,6.0,5.0,,6.0
biet,11.0,9.0,5.0,13.0,7.0,20.0,6.0,4.0,4.0,7.0,12.0,7.0,5.0,4.0,10.0,9.0,6.0,10.0,11.0,9.0,5.0,6.0,6.0,5.0,5.0,8.0,5.0,6.0,,9.0
bloemkool,10.0,8.0,4.0,5.0,5.0,6.0,20.0,6.0,5.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,5.0,8.0,6.0,9.0,13.0,8.0,7.0,5.0,9.0,7.0,5.0,6.0,,5.0
bonen,6.0,6.0,9.0,7.0,12.0,4.0,6.0,20.0,5.0,7.0,13.0,5.0,9.0,8.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,7.0,5.0,6.0,7.0,4.0,6.0,,6.0
champignons,4.0,7.0,3.0,4.0,3.0,4.0,5.0,5.0,20.0,4.0,4.0,4.0,4.0,6.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,,5.0
courgette,6.0,4.0,6.0,7.0,14.0,7.0,5.0,7.0,4.0,20.0,7.0,5.0,15.0,3.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,5.0,6.0,6.0,8.0,,6.0
erwten,5.0,7.0,6.0,4.0,7.0,12.0,7.0,13.0,4.0,7.0,20.0,5.0,8.0,3.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,7.0,9.0,4.0,8.0,5.0,,14.0
kervel,6.0,4.0,6.0,5.0,6.0,7.0,5.0,5.0,4.0,5.0,5.0,20.0,4.0,5.0,6.0,4.0,10.0,5.0,9.0,6.0,5.0,12.0,6.0,5.0,4.0,4.0,6.0,7.0,,5.0
komkommer,12.0,6.0,6.0,6.0,15.0,5.0,7.0,9.0,4.0,15.0,8.0,4.0,20.0,5.0,14.0,5.0,5.0,6.0,3.0,7.0,5.0,7.0,8.0,6.0,6.0,6.0,5.0,6.0,,7.0
look,4.0,16.0,7.0,6.0,6.0,4.0,5.0,8.0,6.0,3.0,3.0,5.0,5.0,20.0,4.0,7.0,4.0,4.0,14.0,6.0,4.0,5.0,4.0,5.0,6.0,4.0,6.0,5.0,,4.0
maïs,8.0,6.0,4.0,8.0,4.0,10.0,5.0,5.0,5.0,5.0,10.0,6.0,14.0,4.0,20.0,6.0,5.0,7.0,4.0,5.0,6.0,4.0,6.0,3.0,6.0,5.0,4.0,16.0,,7.0
paprika,9.0,4.0,4.0,10.0,6.0,9.0,5.0,6.0,4.0,5.0,5.0,4.0,5.0,7.0,6.0,20.0,5.0,5.0,5.0,6.0,4.0,6.0,5.0,4.0,6.0,16.0,6.0,4.0,,7.0
peterselie,6.0,11.0,8.0,4.0,11.0,6.0,5.0,6.0,4.0,6.0,5.0,10.0,5.0,4.0,5.0,5.0,20.0,8.0,9.0,4.0,5.0,15.0,8.0,8.0,6.0,5.0,7.0,6.0,,9.0
prei,8.0,15.0,6.0,7.0,5.0,10.0,8.0,6.0,4.0,7.0,5.0,5.0,6.0,4.0,7.0,5.0,8.0,20.0,13.0,5.0,12.0,15.0,10.0,7.0,5.0,5.0,6.0,7.0,,8.0
radijs,6.0,8.0,5.0,7.0,8.0,11.0,6.0,6.0,4.0,6.0,5.0,9.0,3.0,14.0,4.0,5.0,9.0,13.0,20.0,9.0,5.0,6.0,7.0,5.0,12.0,6.0,9.0,13.0,,12.0
rode kool,5.0,6.0,7.0,6.0,6.0,9.0,9.0,5.0,4.0,6.0,5.0,6.0,7.0,6.0,5.0,6.0,4.0,5.0,9.0,20.0,5.0,6.0,7.0,4.0,8.0,5.0,6.0,14.0,,7.0
schorseneren,7.0,6.0,13.0,6.0,8.0,5.0,13.0,6.0,4.0,6.0,5.0,5.0,5.0,4.0,6.0,4.0,5.0,12.0,5.0,5.0,20.0,6.0,3.0,6.0,4.0,4.0,4.0,6.0,,4.0
selder,5.0,5.0,6.0,4.0,6.0,6.0,8.0,5.0,4.0,7.0,5.0,12.0,7.0,5.0,4.0,6.0,15.0,15.0,6.0,6.0,6.0,20.0,8.0,5.0,6.0,3.0,11.0,6.0,,12.0
sla,6.0,4.0,4.0,4.0,6.0,6.0,7.0,7.0,3.0,6.0,4.0,6.0,8.0,4.0,6.0,5.0,8.0,10.0,7.0,7.0,3.0,8.0,20.0,15.0,15.0,6.0,10.0,8.0,,7.0
spinazie,3.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,7.0,5.0,6.0,5.0,3.0,4.0,8.0,7.0,5.0,4.0,6.0,5.0,15.0,20.0,8.0,4.0,7.0,5.0,,6.0
spruiten,4.0,7.0,5.0,5.0,8.0,5.0,9.0,6.0,4.0,5.0,9.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,12.0,8.0,4.0,6.0,15.0,8.0,20.0,8.0,7.0,7.0,,6.0
tomaat,7.0,7.0,6.0,1.0,5.0,8.0,7.0,7.0,3.0,6.0,4.0,4.0,6.0,4.0,5.0,16.0,5.0,5.0,6.0,5.0,4.0,3.0,6.0,4.0,8.0,20.0,15.0,6.0,,5.0
waterkers,6.0,6.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,6.0,8.0,6.0,5.0,6.0,4.0,6.0,7.0,6.0,9.0,6.0,4.0,11.0,10.0,7.0,7.0,15.0,20.0,7.0,,7.0
witloof,7.0,6.0,7.0,6.0,5.0,6.0,6.0,6.0,4.0,8.0,5.0,7.0,6.0,5.0,16.0,4.0,6.0,7.0,13.0,14.0,6.0,6.0,8.0,5.0,7.0,6.0,7.0,20.0,,10.0
witte kool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,
wortel,6.0,6.0,7.0,5.0,6.0,9.0,5.0,6.0,5.0,6.0,14.0,5.0,7.0,4.0,7.0,7.0,9.0,8.0,12.0,7.0,4.0,12.0,7.0,6.0,6.0,5.0,7.0,10.0,,20.0
