exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,9.0,9.0,15.0,4.0,13.0,9.0,10.0,8.0,5.0,3.0,3.0,4.0,8.0,8.0,7.0,2.0,11.0,12.0,3.0,13.0,4.0,4.0,3.0,8.0,13.0,4.0,10.0,9.0,9.0
ajuin,9.0,20.0,3.0,6.0,9.0,14.0,9.0,5.0,7.0,9.0,3.0,3.0,3.0,17.0,3.0,13.0,6.0,9.0,10.0,4.0,9.0,14.0,6.0,3.0,9.0,14.0,4.0,6.0,9.0,6.0
asperges,9.0,3.0,20.0,11.0,4.0,14.0,6.0,17.0,6.0,7.0,4.0,5.0,13.0,3.0,2.0,3.0,6.0,14.0,9.0,4.0,17.0,15.0,6.0,4.0,8.0,3.0,4.0,13.0,5.0,14.0
aubergine,15.0,6.0,11.0,20.0,8.0,15.0,4.0,4.0,5.0,11.0,3.0,6.0,8.0,5.0,2.0,18.0,3.0,4.0,16.0,13.0,5.0,7.0,9.0,3.0,7.0,14.0,3.0,3.0,5.0,6.0
augurken,4.0,9.0,4.0,8.0,20.0,4.0,3.0,12.0,4.0,9.0,7.0,9.0,18.0,3.0,9.0,11.0,4.0,12.0,6.0,4.0,8.0,7.0,7.0,12.0,10.0,4.0,7.0,7.0,6.0,14.0
biet,13.0,14.0,14.0,15.0,4.0,20.0,4.0,4.0,8.0,7.0,4.0,4.0,3.0,4.0,4.0,7.0,7.0,4.0,13.0,12.0,17.0,6.0,11.0,3.0,8.0,10.0,2.0,11.0,6.0,11.0
bloemkool,9.0,9.0,6.0,4.0,3.0,4.0,20.0,6.0,5.0,4.0,12.0,5.0,5.0,6.0,2.0,4.0,4.0,8.0,9.0,17.0,3.0,4.0,15.0,6.0,8.0,5.0,2.0,9.0,17.0,9.0
bonen,10.0,5.0,17.0,4.0,12.0,4.0,6.0,20.0,15.0,11.0,10.0,4.0,11.0,4.0,7.0,5.0,3.0,3.0,5.0,4.0,13.0,11.0,9.0,6.0,7.0,4.0,2.0,9.0,4.0,10.0
champignons,8.0,7.0,6.0,5.0,4.0,8.0,5.0,15.0,20.0,4.0,3.0,3.0,4.0,11.0,4.0,5.0,3.0,6.0,9.0,2.0,9.0,4.0,4.0,6.0,9.0,8.0,2.0,13.0,6.0,6.0
courgette,5.0,9.0,7.0,11.0,9.0,7.0,4.0,11.0,4.0,20.0,10.0,8.0,17.0,4.0,5.0,13.0,8.0,17.0,13.0,3.0,6.0,12.0,5.0,8.0,15.0,5.0,7.0,12.0,7.0,9.0
erwten,3.0,3.0,4.0,3.0,7.0,4.0,12.0,10.0,3.0,10.0,20.0,10.0,9.0,2.0,19.0,4.0,4.0,7.0,3.0,4.0,2.0,4.0,11.0,6.0,13.0,3.0,9.0,3.0,3.0,4.0
kervel,3.0,3.0,5.0,6.0,9.0,4.0,5.0,4.0,3.0,8.0,10.0,20.0,4.0,3.0,7.0,4.0,17.0,13.0,7.0,2.0,7.0,11.0,13.0,16.0,8.0,3.0,16.0,4.0,3.0,14.0
komkommer,4.0,3.0,13.0,8.0,18.0,3.0,5.0,11.0,4.0,17.0,9.0,4.0,20.0,3.0,2.0,9.0,11.0,18.0,5.0,3.0,12.0,13.0,10.0,10.0,7.0,4.0,9.0,9.0,4.0,10.0
look,8.0,17.0,3.0,5.0,3.0,4.0,6.0,4.0,11.0,4.0,2.0,3.0,3.0,20.0,2.0,6.0,3.0,6.0,7.0,3.0,4.0,5.0,4.0,2.0,3.0,4.0,3.0,6.0,9.0,6.0
maïs,8.0,3.0,2.0,2.0,9.0,4.0,2.0,7.0,4.0,5.0,19.0,7.0,2.0,2.0,20.0,2.0,2.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,2.0,3.0
paprika,7.0,13.0,3.0,18.0,11.0,7.0,4.0,5.0,5.0,13.0,4.0,4.0,9.0,6.0,2.0,20.0,2.0,4.0,15.0,4.0,6.0,12.0,5.0,4.0,6.0,15.0,4.0,4.0,4.0,14.0
peterselie,2.0,6.0,6.0,3.0,4.0,7.0,4.0,3.0,3.0,8.0,4.0,17.0,11.0,3.0,2.0,2.0,20.0,11.0,11.0,2.0,4.0,8.0,11.0,15.0,13.0,3.0,16.0,3.0,3.0,14.0
prei,11.0,9.0,14.0,4.0,12.0,4.0,8.0,3.0,6.0,17.0,7.0,13.0,18.0,6.0,2.0,4.0,11.0,20.0,5.0,3.0,12.0,17.0,9.0,12.0,6.0,3.0,4.0,7.0,11.0,6.0
