exemplar,aardappel,ajuin,asperges,aubergine,augurken,biet,bloemkool,bonen,champignons,courgette,erwten,kervel,komkommer,look,maïs,paprika,peterselie,prei,radijs,rode kool,schorseneren,selder,sla,spinazie,spruiten,tomaat,waterkers,witloof,witte kool,wortel
aardappel,20.0,11.0,7.0,11.0,5.0,14.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,8.0,6.0,9.0,6.0,5.0,5.0,6.0,7.0,6.0,11.0,6.0,9.0
ajuin,11.0,20.0,5.0,6.0,11.0,13.0,6.0,7.0,6.0,7.0,5.0,7.0,5.0,18.0,6.0,11.0,5.0,6.0,8.0,5.0,6.0,8.0,5.0,5.0,7.0,7.0,6.0,13.0,4.0,8.0
asperges,7.0,5.0,20.0,8.0,7.0,11.0,5.0,7.0,8.0,8.0,7.0,7.0,7.0,6.0,7.0,5.0,6.0,12.0,8.0,6.0,14.0,7.0,5.0,5.0,11.0,6.0,6.0,14.0,5.0,16.0
aubergine,11.0,6.0,8.0,20.0,13.0,6.0,6.0,6.0,7.0,17.0,4.0,11.0,15.0,3.0,5.0,8.0,6.0,7.0,6.0,6.0,12.0,6.0,5.0,6.0,7.0,8.0,5.0,7.0,6.0,7.0
augurken,5.0,11.0,7.0,13.0,20.0,9.0,5.0,8.0,5.0,16.0,6.0,6.0,17.0,7.0,6.0,11.0,6.0,5.0,11.0,7.0,9.0,8.0,5.0,7.0,6.0,7.0,5.0,5.0,5.0,11.0
biet,14.0,13.0,11.0,6.0,9.0,20.0,6.0,5.0,5.0,8.0,6.0,7.0,14.0,6.0,14.0,6.0,6.0,6.0,16.0,7.0,7.0,11.0,5.0,6.0,6.0,7.0,7.0,11.0,6.0,14.0
bloemkool,5.0,6.0,5.0,6.0,5.0,6.0,20.0,6.0,5.0,6.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,7.0,5.0,12.0,8.0,6.0,6.0,6.0,9.0,5.0,5.0,6.0,11.0,5.0
bonen,6.0,7.0,7.0,6.0,8.0,5.0,6.0,20.0,7.0,6.0,12.0,5.0,6.0,6.0,13.0,6.0,6.0,5.0,5.0,4.0,8.0,6.0,5.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0
champignons,6.0,6.0,8.0,7.0,5.0,5.0,5.0,7.0,20.0,7.0,6.0,5.0,5.0,7.0,7.0,8.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0
courgette,6.0,7.0,8.0,17.0,16.0,8.0,6.0,6.0,7.0,20.0,5.0,11.0,15.0,7.0,6.0,8.0,6.0,8.0,8.0,6.0,8.0,9.0,5.0,6.0,6.0,8.0,5.0,8.0,6.0,11.0
erwten,6.0,5.0,7.0,4.0,6.0,6.0,5.0,12.0,6.0,5.0,20.0,8.0,5.0,5.0,16.0,6.0,6.0,7.0,6.0,5.0,6.0,7.0,6.0,8.0,8.0,6.0,7.0,7.0,5.0,6.0
kervel,6.0,7.0,7.0,11.0,6.0,7.0,7.0,5.0,5.0,11.0,8.0,20.0,6.0,6.0,4.0,6.0,12.0,8.0,8.0,7.0,5.0,12.0,12.0,13.0,12.0,5.0,11.0,11.0,7.0,7.0
komkommer,6.0,5.0,7.0,15.0,17.0,14.0,5.0,6.0,5.0,15.0,5.0,6.0,20.0,5.0,6.0,7.0,7.0,6.0,8.0,6.0,7.0,7.0,7.0,6.0,5.0,7.0,7.0,6.0,5.0,6.0
look,6.0,18.0,6.0,3.0,7.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,20.0,5.0,12.0,8.0,6.0,7.0,5.0,4.0,7.0,6.0,5.0,5.0,7.0,6.0,5.0,7.0,6.0
maïs,5.0,6.0,7.0,5.0,6.0,14.0,5.0,13.0,7.0,6.0,16.0,4.0,6.0,5.0,20.0,8.0,5.0,7.0,8.0,6.0,5.0,5.0,5.0,4.0,11.0,5.0,5.0,5.0,5.0,6.0
paprika,5.0,11.0,5.0,8.0,11.0,6.0,6.0,6.0,8.0,8.0,6.0,6.0,7.0,12.0,8.0,20.0,8.0,8.0,6.0,5.0,8.0,11.0,7.0,6.0,6.0,13.0,6.0,7.0,5.0,8.0
peterselie,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,12.0,7.0,8.0,5.0,8.0,20.0,6.0,9.0,5.0,5.0,14.0,12.0,14.0,7.0,5.0,16.0,7.0,5.0,6.0
prei,6.0,6.0,12.0,7.0,5.0,6.0,7.0,5.0,6.0,8.0,7.0,8.0,6.0,6.0,7.0,8.0,6.0,20.0,8.0,6.0,16.0,15.0,6.0,5.0,7.0,6.0,7.0,15.0,6.0,9.0
radijs,8.0,8.0,8.0,6.0,11.0,16.0,5.0,5.0,6.0,8.0,6.0,8.0,8.0,7.0,8.0,6.0,9.0,8.0,20.0,6.0,6.0,13.0,6.0,6.0,5.0,8.0,13.0,8.0,5.0,8.0
rode kool,6.0,5.0,6.0,6.0,7.0,7.0,12.0,4.0,5.0,6.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,20.0,6.0,6.0,5.0,5.0,9.0,5.0,5.0,7.0,14.0,6.0
schorseneren,9.0,6.0,14.0,12.0,9.0,7.0,8.0,8.0,6.0,8.0,6.0,5.0,7.0,4.0,5.0,8.0,5.0,16.0,6.0,6.0,20.0,13.0,5.0,5.0,7.0,6.0,7.0,11.0,8.0,15.0
selder,6.0,8.0,7.0,6.0,8.0,11.0,6.0,6.0,6.0,9.0,7.0,12.0,7.0,7.0,5.0,11.0,14.0,15.0,13.0,6.0,13.0,20.0,11.0,8.0,8.0,7.0,7.0,12.0,5.0,8.0
sla,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,6.0,12.0,7.0,6.0,5.0,7.0,12.0,6.0,6.0,5.0,5.0,11.0,20.0,17.0,9.0,6.0,16.0,8.0,8.0,6.0
spinazie,5.0,5.0,5.0,6.0,7.0,6.0,6.0,6.0,5.0,6.0,8.0,13.0,6.0,5.0,4.0,6.0,14.0,5.0,6.0,5.0,5.0,8.0,17.0,20.0,7.0,5.0,14.0,5.0,5.0,7.0
spruiten,6.0,7.0,11.0,7.0,6.0,6.0,9.0,7.0,6.0,6.0,8.0,12.0,5.0,5.0,11.0,6.0,7.0,7.0,5.0,9.0,7.0,8.0,9.0,7.0,20.0,6.0,6.0,6.0,14.0,7.0
tomaat,7.0,7.0,6.0,8.0,7.0,7.0,5.0,7.0,5.0,8.0,6.0,5.0,7.0,7.0,5.0,13.0,5.0,6.0,8.0,5.0,6.0,7.0,6.0,5.0,6.0,20.0,6.0,7.0,5.0,7.0
waterkers,6.0,6.0,6.0,5.0,5.0,7.0,5.0,6.0,5.0,5.0,7.0,11.0,7.0,6.0,5.0,6.0,16.0,7.0,13.0,5.0,7.0,7.0,16.0,14.0,6.0,6.0,20.0,8.0,5.0,6.0
witloof,11.0,13.0,14.0,7.0,5.0,11.0,6.0,6.0,5.0,8.0,7.0,11.0,6.0,5.0,5.0,7.0,7.0,15.0,8.0,7.0,11.0,12.0,8.0,5.0,6.0,7.0,8.0,20.0,6.0,7.0
witte kool,6.0,4.0,5.0,6.0,5.0,6.0,11.0,6.0,5.0,6.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,6.0,5.0,14.0,8.0,5.0,8.0,5.0,14.0,5.0,5.0,6.0,20.0,5.0
wortel,9.0,8.0,16.0,7.0,11.0,14.0,5.0,6.0,5.0,11.0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,9.0,8.0,6.0,15.0,8.0,6.0,7.0,7.0,7.0,6.0,7.0,5.0,20.0
