exemplar,log(lemmaFreq)
badminton,1.11
ballet,2.22
baseball,1.2
basketbal,1.34
biljarten,2.16
boksen,2.33
golf,3.62
handbal,0.6
hardlopen,2.37
ijshockey,0.85
judo,1.38
kogelstoten,0.0
paardrijden,2.54
rugby,1.34
schaken,2.64
schermen,3.04
skiën,2.23
sportvissen,0.0
squash,0.85
surfen,1.11
tafeltennis,1.41
tennis,2.49
turnen,1.98
verspringen,2.29
voetbal,2.86
volleybal,1.51
wandelen,3.7
wielrennen,1.99
zeilen,3.17
zwemmen,3.5
