exemplar,log(lemmaFreq)
auto,3.94
boot,3.45
bromfiets,2.09
brommer,2.39
bus,3.39
camion,1.36
camionette,0.0
caravan,2.18
duikboot,1.86
fiets,3.31
gocart,0.0
helikopter,2.62
hovercraft,0.0
jeep,2.63
kar,2.83
koets,2.54
luchtballon,1.54
metrostel,0.0
moto,1.51
raket,2.7
skateboard,0.0
slede,2.1
step,1.46
taxi,3.08
tractor,2.26
tram,2.93
trein,3.54
vliegtuig,3.34
vrachtwagen,2.94
zeppelin,1.38
