exemplar,log(lemmaFreq)
adder,2.11
alligator,0.9
boa,2.51
cobra,1.6
dinosaurus,1.51
gekko,1.11
hagedis,2.38
hazelworm,1.4
kaaiman,1.2
kameleon,1.41
kikker,2.57
krokodil,2.37
leguaan,1.67
pad,3.42
python,1.23
salamander,2.02
schildpad,2.39
slang,3.06
varaan,0.0
waterschildpad,0.3
