exemplar,log(lemmaFreq)
aardappel,3.07
ajuin,1.08
asperges,2.02
aubergine,1.85
augurken,1.88
biet,2.12
bloemkool,1.98
bonen,2.81
champignons,2.46
courgette,1.41
erwten,2.31
kervel,1.77
komkommer,2.18
look,1.57
maïs,2.54
paprika,2.35
peterselie,2.57
prei,2.21
radijs,1.69
rode kool,0.0
schorseneren,1.08
selder,1.11
sla,4.44
spinazie,2.12
spruiten,2.37
tomaat,2.59
waterkers,1.69
witloof,0.95
witte kool,0.0
wortel,3.33
