exemplar,log(lemmaFreq)
bazooka,0.95
bijl,2.65
boksbeugel,5.04
boog,3.29
dolk,2.36
geweer,3.29
granaat,2.51
kanon,2.67
katapult,1.67
knuppel,2.39
mitrailleur,2.26
pistool,3.1
schild,2.46
speer,2.65
stok,6.53
tank,2.85
touw,3.18
tweeloop,1.11
zwaard,2.81
zweep,2.57
