exemplar,Brussels sprouts,asparagus,beans,beet,black salsify,carrot,cauliflower,celery,chervil,corn,cucumber,eggplant,endive,garlic,gherkins,leek,lettuce,mushrooms,onions,parsley,peas,pepper,potato,radish,red cabbage,spinach,tomato,water cress,white cabbage,zucchini
Brussels sprouts,20.0,18.0,5.0,3.0,13.0,6.0,5.0,12.0,6.0,8.0,6.0,13.0,10.0,13.0,10.0,10.0,8.0,12.0,8.0,12.0,13.0,11.0,7.0,6.0,4.0,6.0,7.0,5.0,11.0,11.0
asparagus,18.0,20.0,12.0,10.0,5.0,6.0,7.0,11.0,12.0,13.0,6.0,15.0,8.0,11.0,13.0,15.0,9.0,10.0,7.0,7.0,15.0,12.0,8.0,11.0,7.0,4.0,9.0,6.0,13.0,11.0
beans,5.0,12.0,20.0,4.0,6.0,6.0,12.0,10.0,12.0,6.0,8.0,12.0,5.0,7.0,12.0,12.0,16.0,8.0,8.0,6.0,9.0,11.0,15.0,7.0,9.0,13.0,13.0,6.0,11.0,9.0
beet,3.0,10.0,4.0,20.0,9.0,9.0,13.0,6.0,6.0,17.0,5.0,5.0,15.0,5.0,6.0,9.0,13.0,6.0,5.0,6.0,5.0,14.0,9.0,7.0,16.0,3.0,6.0,17.0,8.0,7.0
black salsify,13.0,5.0,6.0,9.0,20.0,12.0,4.0,12.0,13.0,12.0,9.0,16.0,12.0,13.0,11.0,7.0,6.0,10.0,16.0,12.0,6.0,8.0,7.0,13.0,12.0,5.0,16.0,12.0,14.0,8.0
carrot,6.0,6.0,6.0,9.0,12.0,20.0,9.0,7.0,13.0,11.0,7.0,8.0,4.0,6.0,11.0,7.0,9.0,6.0,12.0,6.0,7.0,11.0,6.0,14.0,4.0,4.0,8.0,12.0,7.0,5.0
cauliflower,5.0,7.0,12.0,13.0,4.0,9.0,20.0,7.0,10.0,5.0,6.0,5.0,6.0,5.0,5.0,4.0,12.0,6.0,8.0,4.0,4.0,14.0,3.0,6.0,4.0,6.0,6.0,6.0,11.0,8.0
celery,12.0,11.0,10.0,6.0,12.0,7.0,7.0,20.0,14.0,10.0,10.0,9.0,7.0,7.0,11.0,12.0,17.0,13.0,15.0,13.0,13.0,12.0,15.0,7.0,5.0,5.0,12.0,7.0,13.0,6.0
chervil,6.0,12.0,12.0,6.0,13.0,13.0,10.0,14.0,20.0,12.0,4.0,15.0,11.0,6.0,16.0,11.0,13.0,12.0,14.0,9.0,17.0,8.0,12.0,5.0,5.0,6.0,11.0,5.0,12.0,12.0
corn,8.0,13.0,6.0,17.0,12.0,11.0,5.0,10.0,12.0,20.0,6.0,8.0,13.0,4.0,5.0,10.0,8.0,8.0,9.0,14.0,6.0,7.0,6.0,7.0,17.0,5.0,16.0,14.0,5.0,5.0
cucumber,6.0,6.0,8.0,5.0,9.0,7.0,6.0,10.0,4.0,6.0,20.0,9.0,6.0,4.0,13.0,17.0,7.0,5.0,4.0,9.0,13.0,7.0,6.0,8.0,4.0,5.0,6.0,5.0,6.0,15.0
eggplant,13.0,15.0,12.0,5.0,16.0,8.0,5.0,9.0,15.0,8.0,9.0,20.0,7.0,12.0,8.0,5.0,12.0,7.0,12.0,8.0,14.0,11.0,9.0,9.0,8.0,11.0,13.0,16.0,14.0,11.0
endive,10.0,8.0,5.0,15.0,12.0,4.0,6.0,7.0,11.0,13.0,6.0,7.0,20.0,9.0,6.0,6.0,7.0,7.0,6.0,6.0,10.0,7.0,9.0,9.0,14.0,7.0,6.0,19.0,9.0,6.0
garlic,13.0,11.0,7.0,5.0,13.0,6.0,5.0,7.0,6.0,4.0,4.0,12.0,9.0,20.0,6.0,7.0,13.0,16.0,16.0,10.0,7.0,6.0,11.0,5.0,5.0,18.0,13.0,17.0,16.0,5.0
gherkins,10.0,13.0,12.0,6.0,11.0,11.0,5.0,11.0,16.0,5.0,13.0,8.0,6.0,6.0,20.0,12.0,11.0,8.0,11.0,14.0,16.0,12.0,8.0,6.0,5.0,7.0,9.0,4.0,13.0,11.0
leek,10.0,15.0,12.0,9.0,7.0,7.0,4.0,12.0,11.0,10.0,17.0,5.0,6.0,7.0,12.0,20.0,14.0,9.0,5.0,9.0,14.0,13.0,14.0,9.0,8.0,7.0,9.0,8.0,4.0,16.0
lettuce,8.0,9.0,16.0,13.0,6.0,9.0,12.0,17.0,13.0,8.0,7.0,12.0,7.0,13.0,11.0,14.0,20.0,11.0,7.0,3.0,6.0,8.0,12.0,9.0,6.0,4.0,7.0,15.0,8.0,6.0
mushrooms,12.0,10.0,8.0,6.0,10.0,6.0,6.0,13.0,12.0,8.0,5.0,7.0,7.0,16.0,8.0,9.0,11.0,20.0,12.0,9.0,9.0,8.0,13.0,6.0,8.0,14.0,12.0,8.0,12.0,6.0
onions,8.0,7.0,8.0,5.0,16.0,12.0,8.0,15.0,14.0,9.0,4.0,12.0,6.0,16.0,11.0,5.0,7.0,12.0,20.0,17.0,11.0,8.0,15.0,7.0,7.0,8.0,7.0,7.0,11.0,6.0
parsley,12.0,7.0,6.0,6.0,12.0,6.0,4.0,13.0,9.0,14.0,9.0,8.0,6.0,10.0,14.0,9.0,3.0,9.0,17.0,20.0,14.0,3.0,11.0,8.0,2.0,4.0,5.0,9.0,12.0,14.0
peas,13.0,15.0,9.0,5.0,6.0,7.0,4.0,13.0,17.0,6.0,13.0,14.0,10.0,7.0,16.0,14.0,6.0,9.0,11.0,14.0,20.0,5.0,13.0,9.0,6.0,6.0,9.0,5.0,14.0,14.0
pepper,11.0,12.0,11.0,14.0,8.0,11.0,14.0,12.0,8.0,7.0,7.0,11.0,7.0,6.0,12.0,13.0,8.0,8.0,8.0,3.0,5.0,20.0,8.0,6.0,7.0,6.0,6.0,9.0,6.0,5.0
potato,7.0,8.0,15.0,9.0,7.0,6.0,3.0,15.0,12.0,6.0,6.0,9.0,9.0,11.0,8.0,14.0,12.0,13.0,15.0,11.0,13.0,8.0,20.0,12.0,4.0,6.0,5.0,4.0,11.0,6.0
radish,6.0,11.0,7.0,7.0,13.0,14.0,6.0,7.0,5.0,7.0,8.0,9.0,9.0,5.0,6.0,9.0,9.0,6.0,7.0,8.0,9.0,6.0,12.0,20.0,5.0,4.0,13.0,8.0,5.0,6.0
red cabbage,4.0,7.0,9.0,16.0,12.0,4.0,4.0,5.0,5.0,17.0,4.0,8.0,14.0,5.0,5.0,8.0,6.0,8.0,7.0,2.0,6.0,7.0,4.0,5.0,20.0,4.0,4.0,13.0,6.0,5.0
spinach,6.0,4.0,13.0,3.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,11.0,7.0,18.0,7.0,7.0,4.0,14.0,8.0,4.0,6.0,6.0,6.0,4.0,4.0,20.0,6.0,14.0,13.0,4.0
tomato,7.0,9.0,13.0,6.0,16.0,8.0,6.0,12.0,11.0,16.0,6.0,13.0,6.0,13.0,9.0,9.0,7.0,12.0,7.0,5.0,9.0,6.0,5.0,13.0,4.0,6.0,20.0,5.0,12.0,7.0
water cress,5.0,6.0,6.0,17.0,12.0,12.0,6.0,7.0,5.0,14.0,5.0,16.0,19.0,17.0,4.0,8.0,15.0,8.0,7.0,9.0,5.0,9.0,4.0,8.0,13.0,14.0,5.0,20.0,8.0,3.0
white cabbage,11.0,13.0,11.0,8.0,14.0,7.0,11.0,13.0,12.0,5.0,6.0,14.0,9.0,16.0,13.0,4.0,8.0,12.0,11.0,12.0,14.0,6.0,11.0,5.0,6.0,13.0,12.0,8.0,20.0,7.0
zucchini,11.0,11.0,9.0,7.0,8.0,5.0,8.0,6.0,12.0,5.0,15.0,11.0,6.0,5.0,11.0,16.0,6.0,6.0,6.0,14.0,14.0,5.0,6.0,6.0,5.0,4.0,7.0,3.0,7.0,20.0
