exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (moto),rocket,scooter (bromfiets),scooter (brommer),skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,1.0,0.6071428571428571,0.22857142857142856,0.325,0.2785714285714286,0.2642857142857143,0.35357142857142854,0.275,0.25357142857142856,0.6071428571428571,0.43928571428571433,0.2571428571428572,0.2357142857142857,0.26785714285714285,0.42857142857142855,0.275,0.275,0.22142857142857145,0.2571428571428572,0.29642857142857143,0.2642857142857143,0.2785714285714286,0.2357142857142857,0.27142857142857146,0.25357142857142856,0.26071428571428573,0.30357142857142855,0.3142857142857143,0.2857142857142857,0.8285714285714286
airplane,0.6071428571428571,1.0,0.2571428571428572,0.375,0.48571428571428565,0.3678571428571428,0.32142857142857145,0.23928571428571427,0.25357142857142856,0.7214285714285714,0.4428571428571429,0.32857142857142857,0.19642857142857142,0.3142857142857143,0.6,0.2642857142857143,0.3107142857142857,0.26071428571428573,0.24285714285714283,0.3321428571428572,0.33571428571428574,0.41785714285714287,0.275,0.2785714285714286,0.42142857142857143,0.32857142857142857,0.36428571428571427,0.39285714285714285,0.3464285714285714,0.6785714285714286
bicycle,0.22857142857142856,0.2571428571428572,1.0,0.27666666666666667,0.35,0.3933333333333333,0.4428571428571429,0.41785714285714287,0.58,0.24666666666666667,0.21428571428571427,0.3142857142857143,0.6535714285714286,0.6928571428571428,0.23928571428571427,0.7033333333333334,0.7133333333333334,0.45,0.34285714285714286,0.22666666666666666,0.29642857142857143,0.3321428571428572,0.29642857142857143,0.32,0.3678571428571428,0.3464285714285714,0.2866666666666667,0.2928571428571428,0.2966666666666667,0.25
boat,0.325,0.375,0.27666666666666667,1.0,0.4133333333333334,0.32999999999999996,0.35,0.32142857142857145,0.22333333333333333,0.2533333333333333,0.7821428571428571,0.32857142857142857,0.23928571428571427,0.26071428571428573,0.28214285714285714,0.2633333333333333,0.2866666666666667,0.26071428571428573,0.25357142857142856,0.6866666666666666,0.3107142857142857,0.30357142857142855,0.2857142857142857,0.4,0.38571428571428573,0.2857142857142857,0.4033333333333333,0.37142857142857144,0.32333333333333336,0.39642857142857146
bus,0.2785714285714286,0.48571428571428565,0.35,0.4133333333333334,1.0,0.6033333333333333,0.47857142857142854,0.3678571428571428,0.3566666666666667,0.32333333333333336,0.36428571428571427,0.5,0.3142857142857143,0.38571428571428573,0.3321428571428572,0.38333333333333336,0.3933333333333333,0.275,0.29642857142857143,0.2833333333333333,0.5928571428571429,0.575,0.45714285714285713,0.54,0.6392857142857143,0.7142857142857143,0.6866666666666666,0.6428571428571429,0.63,0.375
car,0.2642857142857143,0.3678571428571428,0.3933333333333333,0.32999999999999996,0.6033333333333333,1.0,0.5392857142857144,0.5321428571428571,0.5533333333333333,0.31333333333333335,0.30357142857142855,0.8607142857142858,0.3321428571428572,0.5035714285714286,0.27142857142857146,0.4766666666666667,0.44333333333333336,0.3142857142857143,0.4,0.31666666666666665,0.3678571428571428,0.9035714285714287,0.5142857142857143,0.48666666666666664,0.425,0.39285714285714285,0.6266666666666667,0.6642857142857144,0.7033333333333334,0.30714285714285716
carriage,0.35357142857142854,0.32142857142857145,0.4428571428571429,0.35,0.47857142857142854,0.5392857142857144,1.0,0.75,0.4821428571428571,0.2785714285714286,0.31785714285714284,0.48571428571428565,0.325,0.30357142857142855,0.23928571428571427,0.32857142857142857,0.35357142857142854,0.35714285714285715,0.5642857142857143,0.25357142857142856,0.4321428571428571,0.5464285714285715,0.4607142857142857,0.525,0.48571428571428565,0.5,0.45,0.4428571428571429,0.46785714285714286,0.2857142857142857
cart,0.275,0.23928571428571427,0.41785714285714287,0.32142857142857145,0.3678571428571428,0.5321428571428571,0.75,1.0,0.4642857142857143,0.26785714285714285,0.26785714285714285,0.43928571428571433,0.42142857142857143,0.33571428571428574,0.22142857142857145,0.35,0.36428571428571427,0.38571428571428573,0.5714285714285714,0.26785714285714285,0.35357142857142854,0.49642857142857144,0.45357142857142857,0.5285714285714286,0.42142857142857143,0.40714285714285714,0.43928571428571433,0.45357142857142857,0.4642857142857143,0.24642857142857144
go-cart,0.25357142857142856,0.25357142857142856,0.58,0.22333333333333333,0.3566666666666667,0.5533333333333333,0.4821428571428571,0.4642857142857143,1.0,0.23333333333333334,0.25357142857142856,0.44642857142857145,0.5285714285714286,0.4428571428571429,0.22857142857142856,0.49000000000000005,0.4166666666666667,0.5392857142857144,0.49642857142857144,0.22666666666666666,0.29642857142857143,0.39285714285714285,0.39285714285714285,0.3,0.30714285714285716,0.3142857142857143,0.32999999999999996,0.37857142857142856,0.38333333333333336,0.24642857142857144
helicopter,0.6071428571428571,0.7214285714285714,0.24666666666666667,0.2533333333333333,0.32333333333333336,0.31333333333333335,0.2785714285714286,0.26785714285714285,0.23333333333333334,1.0,0.36428571428571427,0.3107142857142857,0.21785714285714283,0.32142857142857145,0.4428571428571429,0.2833333333333333,0.2866666666666667,0.23214285714285715,0.25357142857142856,0.2733333333333333,0.2857142857142857,0.30714285714285716,0.3,0.2733333333333333,0.3142857142857143,0.30714285714285716,0.27999999999999997,0.32142857142857145,0.2866666666666667,0.5678571428571428
