exemplar,% known,age of acquisition
anvil,90.57,11.21
axe,98.52,7.61
chisel,98.04,9.79
clamp,76.6,12.08
crowbar (breekijzer),94.94,9.65
crowbar (koevoet),96.58,10.26
drill,98.28,6.5
file,97.55,9.7
filling knife,89.46,10.8
grinding disc,96.37,11.4
hammer,98.29,6.75
knife,98.48,4.67
lawn mower,99.75,5.05
level,96.62,10.04
nail,99.03,7.3
oil can,88.96,11.42
paint brush,98.5,4.55
pickaxe,90.0,11.16
plane,82.43,10.35
plough,99.01,7.2
rope,96.71,5.0
saw,98.54,6.78
screw wrench (engelse sleutel),89.12,11.72
screwdriver,97.82,8.67
shovel,98.78,4.0
tongs,96.88,7.43
vacuum cleaner,99.5,4.85
wheelbarrow,99.51,6.13
wire brush,84.58,11.83
wrench,98.03,10.48
