exemplar,% known,age of acquisition
bathing suit,99.22,5.29
beanie,99.2,4.46
belt,97.61,7.22
blouse,97.89,6.96
boots,98.94,5.38
bra,98.69,8.42
cap,99.42,5.21
coat,99.22,3.75
dress,97.93,5.33
dungarees,94.88,7.92
hat,98.7,5.0
jeans,98.43,7.04
mittens,99.2,5.83
panties,98.43,7.04
pants,98.69,4.29
pullover,99.73,4.91
pyjamas,99.47,4.38
scarf,99.73,4.92
shirt,98.7,5.5
shoes,99.73,4.13
shorts,98.16,6.21
skirt,100.0,5.13
socks,98.96,4.96
suit,99.73,7.48
sweater,98.95,8.5
t-shirt,97.17,9.25
tie,99.21,6.58
top,98.66,4.58
tracksuit,99.22,8.75
