exemplar,% known,age of acquisition
Brussels sprouts,100.0,5.83
asparagus,95.83,7.61
beans,100.0,5.71
beet,100.0,8.17
black salsify,100.0,9.61
carrot,100.0,4.91
cauliflower,100.0,6.35
celery,100.0,7.63
chervil,100.0,9.54
corn,100.0,7.25
cucumber,100.0,7.21
eggplant,100.0,11.21
endive,100.0,6.46
garlic,100.0,9.42
gherkins,100.0,7.3
leek,100.0,6.58
lettuce,100.0,5.67
mushrooms,100.0,6.79
onions,100.0,6.5
parsley,100.0,7.58
peas,100.0,5.71
pepper,100.0,8.08
potato,100.0,4.7
radish,100.0,7.13
red cabbage,100.0,5.4
spinach,100.0,5.92
tomato,100.0,4.96
water cress,100.0,7.95
white cabbage,100.0,7.05
zucchini,100.0,10.5
