exemplar,% known,age of acquisition
axe,98.42,7.61
bazooka,91.33,10.58
bow,99.49,6.17
canon,99.75,7.17
club,98.96,8.13
dagger,98.98,8.04
double-barreled shotgun,90.0,11.08
grenade,100.0,8.75
knuckle dusters,97.12,10.63
machine gun,95.59,9.33
pistol,99.74,7.25
rifle,100.0,6.42
rope,96.51,5.0
shield,98.95,10.22
slingshot,98.73,7.91
spear,99.49,8.13
stick,97.1,5.04
sword,100.0,6.21
tank,99.23,8.08
whip,99.75,8.38
