exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,10.0,11.0,,,15.0,19.0,16.0,14.0,13.0,15.0,16.0,13.0,16.0,17.0,19.0,15.0,11.0,15.0,13.0
blindworm,10.0,20.0,15.0,,,16.0,16.0,8.0,10.0,16.0,15.0,14.0,3.0,6.0,13.0,11.0,9.0,9.0,12.0,15.0
boa,11.0,15.0,20.0,,,19.0,14.0,14.0,8.0,6.0,14.0,18.0,15.0,11.0,15.0,19.0,7.0,11.0,12.0,17.0
caiman,,,,20.0,,,,,,,,,,,,,,,,
chameleon,,,,,20.0,,,,,,,,,,,,,,,
cobra,15.0,16.0,19.0,,,20.0,12.0,13.0,14.0,12.0,16.0,17.0,16.0,17.0,17.0,19.0,6.0,15.0,11.0,17.0
crocodile,19.0,16.0,14.0,,,12.0,20.0,11.0,15.0,12.0,12.0,17.0,10.0,15.0,17.0,6.0,5.0,8.0,13.0,17.0
dinosaur,16.0,8.0,14.0,,,13.0,11.0,20.0,10.0,10.0,11.0,15.0,11.0,10.0,14.0,10.0,8.0,12.0,5.0,10.0
frog,14.0,10.0,8.0,,,14.0,15.0,10.0,20.0,15.0,12.0,20.0,10.0,11.0,16.0,14.0,19.0,15.0,17.0,16.0
gecko,13.0,16.0,6.0,,,12.0,12.0,10.0,15.0,20.0,19.0,17.0,15.0,17.0,14.0,16.0,12.0,10.0,6.0,12.0
iguana,15.0,15.0,14.0,,,16.0,12.0,11.0,12.0,19.0,20.0,15.0,15.0,18.0,18.0,12.0,16.0,9.0,15.0,10.0
lizard,16.0,14.0,18.0,,,17.0,17.0,15.0,20.0,17.0,15.0,20.0,10.0,17.0,18.0,16.0,16.0,17.0,15.0,17.0
monitor lizard,13.0,3.0,15.0,,,16.0,10.0,11.0,10.0,15.0,15.0,10.0,20.0,14.0,14.0,10.0,15.0,10.0,7.0,6.0
python,16.0,6.0,11.0,,,17.0,15.0,10.0,11.0,17.0,18.0,17.0,14.0,20.0,10.0,12.0,11.0,14.0,6.0,17.0
salamander,17.0,13.0,15.0,,,17.0,17.0,14.0,16.0,14.0,18.0,18.0,14.0,10.0,20.0,13.0,17.0,13.0,15.0,16.0
snake,19.0,11.0,19.0,,,19.0,6.0,10.0,14.0,16.0,12.0,16.0,10.0,12.0,13.0,20.0,9.0,14.0,10.0,18.0
toad,15.0,9.0,7.0,,,6.0,5.0,8.0,19.0,12.0,16.0,16.0,15.0,11.0,17.0,9.0,20.0,8.0,18.0,11.0
tortoise,11.0,9.0,11.0,,,15.0,8.0,12.0,15.0,10.0,9.0,17.0,10.0,14.0,13.0,14.0,8.0,20.0,19.0,11.0
turtle,15.0,12.0,12.0,,,11.0,13.0,5.0,17.0,6.0,15.0,15.0,7.0,6.0,15.0,10.0,18.0,19.0,20.0,10.0
viper,13.0,15.0,17.0,,,17.0,17.0,10.0,16.0,12.0,10.0,17.0,6.0,17.0,16.0,18.0,11.0,11.0,10.0,20.0
