exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,11.0,9.0,19.0,15.0,12.0,19.0,15.0,14.0,13.0,14.0,14.0,16.0,13.0,16.0,14.0,13.0,13.0,11.0,13.0
blindworm,11.0,20.0,13.0,11.0,12.0,15.0,4.0,5.0,12.0,12.0,12.0,15.0,12.0,15.0,12.0,19.0,12.0,12.0,10.0,17.0
boa,9.0,13.0,20.0,12.0,12.0,16.0,14.0,13.0,12.0,11.0,12.0,14.0,13.0,16.0,14.0,20.0,12.0,12.0,10.0,18.0
caiman,19.0,11.0,12.0,20.0,13.0,13.0,19.0,15.0,14.0,12.0,15.0,15.0,14.0,12.0,15.0,15.0,14.0,14.0,13.0,8.0
chameleon,15.0,12.0,12.0,13.0,20.0,11.0,14.0,14.0,12.0,15.0,14.0,15.0,15.0,13.0,15.0,11.0,13.0,13.0,11.0,11.0
cobra,12.0,15.0,16.0,13.0,11.0,20.0,14.0,14.0,14.0,14.0,14.0,15.0,12.0,18.0,14.0,20.0,11.0,12.0,11.0,18.0
crocodile,19.0,4.0,14.0,19.0,14.0,14.0,20.0,15.0,14.0,14.0,14.0,15.0,14.0,12.0,13.0,10.0,13.0,12.0,13.0,12.0
dinosaur,15.0,5.0,13.0,15.0,14.0,14.0,15.0,20.0,14.0,15.0,15.0,19.0,18.0,14.0,17.0,12.0,14.0,14.0,12.0,14.0
frog,14.0,12.0,12.0,14.0,12.0,14.0,14.0,14.0,20.0,15.0,10.0,15.0,13.0,11.0,15.0,10.0,18.0,14.0,15.0,14.0
gecko,13.0,12.0,11.0,12.0,15.0,14.0,14.0,15.0,15.0,20.0,15.0,20.0,16.0,14.0,19.0,13.0,14.0,14.0,12.0,14.0
iguana,14.0,12.0,12.0,15.0,14.0,14.0,14.0,15.0,10.0,15.0,20.0,16.0,16.0,13.0,16.0,14.0,16.0,7.0,15.0,11.0
lizard,14.0,15.0,14.0,15.0,15.0,15.0,15.0,19.0,15.0,20.0,16.0,20.0,16.0,14.0,19.0,14.0,15.0,15.0,14.0,13.0
monitor lizard,16.0,12.0,13.0,14.0,15.0,12.0,14.0,18.0,13.0,16.0,16.0,16.0,20.0,10.0,19.0,14.0,13.0,14.0,14.0,12.0
python,13.0,15.0,16.0,12.0,13.0,18.0,12.0,14.0,11.0,14.0,13.0,14.0,10.0,20.0,13.0,20.0,11.0,12.0,12.0,16.0
salamander,16.0,12.0,14.0,15.0,15.0,14.0,13.0,17.0,15.0,19.0,16.0,19.0,19.0,13.0,20.0,15.0,18.0,12.0,14.0,13.0
snake,14.0,19.0,20.0,15.0,11.0,20.0,10.0,12.0,10.0,13.0,14.0,14.0,14.0,20.0,15.0,20.0,13.0,12.0,14.0,20.0
toad,13.0,12.0,12.0,14.0,13.0,11.0,13.0,14.0,18.0,14.0,16.0,15.0,13.0,11.0,18.0,13.0,20.0,15.0,16.0,14.0
tortoise,13.0,12.0,12.0,14.0,13.0,12.0,12.0,14.0,14.0,14.0,7.0,15.0,14.0,12.0,12.0,12.0,15.0,20.0,18.0,11.0
turtle,11.0,10.0,10.0,13.0,11.0,11.0,13.0,12.0,15.0,12.0,15.0,14.0,14.0,12.0,14.0,14.0,16.0,18.0,20.0,12.0
viper,13.0,17.0,18.0,8.0,11.0,18.0,12.0,14.0,14.0,14.0,11.0,13.0,12.0,16.0,13.0,20.0,14.0,11.0,12.0,20.0
