exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,14.0,10.0,17.0,12.0,17.0,19.0,13.0,11.0,14.0,12.0,13.0,,14.0,14.0,13.0,12.0,12.0,,12.0
blindworm,14.0,20.0,17.0,12.0,11.0,19.0,14.0,13.0,12.0,12.0,14.0,11.0,,18.0,10.0,14.0,12.0,12.0,,17.0
boa,10.0,17.0,20.0,14.0,13.0,16.0,14.0,12.0,11.0,13.0,13.0,13.0,,14.0,13.0,17.0,12.0,12.0,,18.0
caiman,17.0,12.0,14.0,20.0,18.0,10.0,17.0,12.0,12.0,13.0,14.0,12.0,,11.0,15.0,12.0,15.0,16.0,,11.0
chameleon,12.0,11.0,13.0,18.0,20.0,11.0,11.0,13.0,16.0,16.0,17.0,16.0,,16.0,12.0,17.0,12.0,14.0,,15.0
cobra,17.0,19.0,16.0,10.0,11.0,20.0,13.0,10.0,10.0,10.0,9.0,12.0,,18.0,10.0,19.0,14.0,12.0,,15.0
crocodile,19.0,14.0,14.0,17.0,11.0,13.0,20.0,17.0,13.0,13.0,11.0,14.0,,10.0,13.0,13.0,12.0,17.0,,14.0
dinosaur,13.0,13.0,12.0,12.0,13.0,10.0,17.0,20.0,10.0,10.0,12.0,16.0,,13.0,14.0,11.0,12.0,11.0,,13.0
frog,11.0,12.0,11.0,12.0,16.0,10.0,13.0,10.0,20.0,10.0,15.0,13.0,,11.0,13.0,12.0,19.0,11.0,,11.0
gecko,14.0,12.0,13.0,13.0,16.0,10.0,13.0,10.0,10.0,20.0,11.0,19.0,,12.0,14.0,12.0,12.0,13.0,,12.0
iguana,12.0,14.0,13.0,14.0,17.0,9.0,11.0,12.0,15.0,11.0,20.0,15.0,,14.0,15.0,17.0,10.0,11.0,,10.0
lizard,13.0,11.0,13.0,12.0,16.0,12.0,14.0,16.0,13.0,19.0,15.0,20.0,,13.0,16.0,11.0,16.0,16.0,,11.0
monitor lizard,,,,,,,,,,,,,20.0,,,,,,,
python,14.0,18.0,14.0,11.0,16.0,18.0,10.0,13.0,11.0,12.0,14.0,13.0,,20.0,11.0,19.0,10.0,10.0,,19.0
salamander,14.0,10.0,13.0,15.0,12.0,10.0,13.0,14.0,13.0,14.0,15.0,16.0,,11.0,20.0,12.0,11.0,12.0,,13.0
snake,13.0,14.0,17.0,12.0,17.0,19.0,13.0,11.0,12.0,12.0,17.0,11.0,,19.0,12.0,20.0,12.0,11.0,,19.0
toad,12.0,12.0,12.0,15.0,12.0,14.0,12.0,12.0,19.0,12.0,10.0,16.0,,10.0,11.0,12.0,20.0,12.0,,13.0
tortoise,12.0,12.0,12.0,16.0,14.0,12.0,17.0,11.0,11.0,13.0,11.0,16.0,,10.0,12.0,11.0,12.0,20.0,,11.0
turtle,,,,,,,,,,,,,,,,,,,20.0,
viper,12.0,17.0,18.0,11.0,15.0,15.0,14.0,13.0,11.0,12.0,10.0,11.0,,19.0,13.0,19.0,13.0,11.0,,20.0
