exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,,13.0,12.0,12.0,12.0,17.0,19.0,12.0,14.0,10.0,11.0,,10.0,12.0,15.0,9.0,12.0,10.0,14.0
blindworm,,20.0,,,,,,,,,,,,,,,,,,
boa,13.0,,20.0,5.0,4.0,16.0,9.0,14.0,5.0,4.0,11.0,14.0,,13.0,10.0,16.0,12.0,10.0,5.0,13.0
caiman,12.0,,5.0,20.0,15.0,6.0,17.0,15.0,10.0,2.0,12.0,13.0,,14.0,12.0,7.0,9.0,16.0,16.0,8.0
chameleon,12.0,,4.0,15.0,20.0,5.0,15.0,17.0,5.0,14.0,12.0,15.0,,4.0,8.0,13.0,4.0,13.0,4.0,5.0
cobra,12.0,,16.0,6.0,5.0,20.0,9.0,13.0,5.0,8.0,10.0,8.0,,17.0,14.0,19.0,10.0,8.0,6.0,11.0
crocodile,17.0,,9.0,17.0,15.0,9.0,20.0,18.0,13.0,12.0,15.0,8.0,,13.0,12.0,15.0,14.0,12.0,10.0,9.0
dinosaur,19.0,,14.0,15.0,17.0,13.0,18.0,20.0,12.0,16.0,12.0,16.0,,7.0,16.0,14.0,12.0,17.0,17.0,15.0
frog,12.0,,5.0,10.0,5.0,5.0,13.0,12.0,20.0,12.0,12.0,10.0,,10.0,13.0,15.0,17.0,14.0,12.0,6.0
gecko,14.0,,4.0,2.0,14.0,8.0,12.0,16.0,12.0,20.0,12.0,17.0,,5.0,16.0,10.0,8.0,5.0,9.0,6.0
iguana,10.0,,11.0,12.0,12.0,10.0,15.0,12.0,12.0,12.0,20.0,14.0,,11.0,11.0,12.0,14.0,12.0,12.0,11.0
lizard,11.0,,14.0,13.0,15.0,8.0,8.0,16.0,10.0,17.0,14.0,20.0,,14.0,12.0,14.0,2.0,9.0,6.0,16.0
monitor lizard,,,,,,,,,,,,,20.0,,,,,,,
python,10.0,,13.0,14.0,4.0,17.0,13.0,7.0,10.0,5.0,11.0,14.0,,20.0,12.0,18.0,13.0,11.0,4.0,13.0
salamander,12.0,,10.0,12.0,8.0,14.0,12.0,16.0,13.0,16.0,11.0,12.0,,12.0,20.0,18.0,15.0,12.0,13.0,9.0
snake,15.0,,16.0,7.0,13.0,19.0,15.0,14.0,15.0,10.0,12.0,14.0,,18.0,18.0,20.0,10.0,10.0,8.0,18.0
toad,9.0,,12.0,9.0,4.0,10.0,14.0,12.0,17.0,8.0,14.0,2.0,,13.0,15.0,10.0,20.0,16.0,10.0,11.0
tortoise,12.0,,10.0,16.0,13.0,8.0,12.0,17.0,14.0,5.0,12.0,9.0,,11.0,12.0,10.0,16.0,20.0,18.0,10.0
turtle,10.0,,5.0,16.0,4.0,6.0,10.0,17.0,12.0,9.0,12.0,6.0,,4.0,13.0,8.0,10.0,18.0,20.0,9.0
viper,14.0,,13.0,8.0,5.0,11.0,9.0,15.0,6.0,6.0,11.0,16.0,,13.0,9.0,18.0,11.0,10.0,9.0,20.0
