exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,2.0,7.0,18.0,11.0,11.0,18.0,9.0,2.0,8.0,5.0,11.0,16.0,11.0,6.0,12.0,7.0,6.0,1.0,5.0
blindworm,2.0,20.0,8.0,1.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,2.0,7.0,6.0,5.0,2.0,3.0,2.0,8.0
boa,7.0,8.0,20.0,5.0,6.0,14.0,15.0,3.0,5.0,2.0,6.0,8.0,7.0,19.0,8.0,19.0,6.0,6.0,3.0,18.0
caiman,18.0,1.0,5.0,20.0,6.0,12.0,17.0,13.0,3.0,1.0,6.0,9.0,10.0,10.0,8.0,9.0,6.0,2.0,3.0,5.0
chameleon,11.0,4.0,6.0,6.0,20.0,5.0,6.0,2.0,6.0,16.0,15.0,16.0,12.0,4.0,13.0,12.0,7.0,1.0,3.0,6.0
cobra,11.0,1.0,14.0,12.0,5.0,20.0,4.0,3.0,6.0,6.0,7.0,8.0,3.0,11.0,6.0,19.0,3.0,3.0,1.0,9.0
crocodile,18.0,2.0,15.0,17.0,6.0,4.0,20.0,11.0,6.0,5.0,8.0,14.0,15.0,7.0,3.0,4.0,4.0,2.0,4.0,6.0
dinosaur,9.0,1.0,3.0,13.0,2.0,3.0,11.0,20.0,1.0,1.0,4.0,12.0,16.0,1.0,2.0,1.0,2.0,5.0,4.0,4.0
frog,2.0,2.0,5.0,3.0,6.0,6.0,6.0,1.0,20.0,12.0,5.0,8.0,3.0,4.0,11.0,4.0,15.0,14.0,14.0,4.0
gecko,8.0,3.0,2.0,1.0,16.0,6.0,5.0,1.0,12.0,20.0,15.0,15.0,4.0,3.0,18.0,6.0,15.0,1.0,1.0,3.0
iguana,5.0,4.0,6.0,6.0,15.0,7.0,8.0,4.0,5.0,15.0,20.0,17.0,11.0,4.0,14.0,3.0,6.0,3.0,4.0,6.0
lizard,11.0,4.0,8.0,9.0,16.0,8.0,14.0,12.0,8.0,15.0,17.0,20.0,16.0,12.0,6.0,8.0,7.0,6.0,3.0,9.0
monitor lizard,16.0,2.0,7.0,10.0,12.0,3.0,15.0,16.0,3.0,4.0,11.0,16.0,20.0,6.0,3.0,3.0,5.0,4.0,3.0,6.0
python,11.0,7.0,19.0,10.0,4.0,11.0,7.0,1.0,4.0,3.0,4.0,12.0,6.0,20.0,4.0,19.0,3.0,1.0,4.0,11.0
salamander,6.0,6.0,8.0,8.0,13.0,6.0,3.0,2.0,11.0,18.0,14.0,6.0,3.0,4.0,20.0,12.0,9.0,6.0,2.0,9.0
snake,12.0,5.0,19.0,9.0,12.0,19.0,4.0,1.0,4.0,6.0,3.0,8.0,3.0,19.0,12.0,20.0,8.0,4.0,11.0,19.0
toad,7.0,2.0,6.0,6.0,7.0,3.0,4.0,2.0,15.0,15.0,6.0,7.0,5.0,3.0,9.0,8.0,20.0,4.0,3.0,8.0
tortoise,6.0,3.0,6.0,2.0,1.0,3.0,2.0,5.0,14.0,1.0,3.0,6.0,4.0,1.0,6.0,4.0,4.0,20.0,19.0,5.0
turtle,1.0,2.0,3.0,3.0,3.0,1.0,4.0,4.0,14.0,1.0,4.0,3.0,3.0,4.0,2.0,11.0,3.0,19.0,20.0,3.0
viper,5.0,8.0,18.0,5.0,6.0,9.0,6.0,4.0,4.0,3.0,6.0,9.0,6.0,11.0,9.0,19.0,8.0,5.0,3.0,20.0
