exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,10.0,13.0,18.0,12.0,10.0,19.0,15.0,9.0,11.0,14.0,12.0,13.0,13.0,15.0,14.0,9.0,11.0,11.0,8.0
blindworm,10.0,20.0,13.0,11.0,11.0,16.0,9.0,10.0,9.0,11.0,12.0,11.0,10.0,19.0,15.0,16.0,12.0,9.0,10.0,17.0
boa,13.0,13.0,20.0,10.0,10.0,19.0,11.0,10.0,9.0,13.0,9.0,13.0,10.0,19.0,12.0,19.0,9.0,10.0,11.0,19.0
caiman,18.0,11.0,10.0,20.0,14.0,4.0,18.0,16.0,11.0,14.0,16.0,14.0,14.0,10.0,16.0,11.0,10.0,11.0,3.0,11.0
chameleon,12.0,11.0,10.0,14.0,20.0,2.0,13.0,11.0,11.0,15.0,16.0,14.0,15.0,8.0,15.0,12.0,12.0,12.0,10.0,11.0
cobra,10.0,16.0,19.0,4.0,2.0,20.0,9.0,14.0,11.0,10.0,13.0,7.0,8.0,18.0,13.0,19.0,12.0,5.0,14.0,18.0
crocodile,19.0,9.0,11.0,18.0,13.0,9.0,20.0,15.0,11.0,14.0,14.0,14.0,15.0,13.0,15.0,13.0,10.0,13.0,9.0,9.0
dinosaur,15.0,10.0,10.0,16.0,11.0,14.0,15.0,20.0,9.0,14.0,15.0,15.0,17.0,11.0,15.0,11.0,13.0,10.0,8.0,10.0
frog,9.0,9.0,9.0,11.0,11.0,11.0,11.0,9.0,20.0,10.0,10.0,13.0,11.0,8.0,10.0,12.0,19.0,6.0,12.0,7.0
gecko,11.0,11.0,13.0,14.0,15.0,10.0,14.0,14.0,10.0,20.0,14.0,13.0,13.0,13.0,12.0,12.0,9.0,14.0,11.0,11.0
iguana,14.0,12.0,9.0,16.0,16.0,13.0,14.0,15.0,10.0,14.0,20.0,15.0,16.0,10.0,16.0,12.0,11.0,8.0,11.0,12.0
lizard,12.0,11.0,13.0,14.0,14.0,7.0,14.0,15.0,13.0,13.0,15.0,20.0,16.0,8.0,17.0,11.0,8.0,12.0,14.0,13.0
monitor lizard,13.0,10.0,10.0,14.0,15.0,8.0,15.0,17.0,11.0,13.0,16.0,16.0,20.0,13.0,16.0,12.0,13.0,14.0,14.0,13.0
python,13.0,19.0,19.0,10.0,8.0,18.0,13.0,11.0,8.0,13.0,10.0,8.0,13.0,20.0,10.0,18.0,3.0,11.0,13.0,19.0
salamander,15.0,15.0,12.0,16.0,15.0,13.0,15.0,15.0,10.0,12.0,16.0,17.0,16.0,10.0,20.0,13.0,11.0,14.0,14.0,14.0
snake,14.0,16.0,19.0,11.0,12.0,19.0,13.0,11.0,12.0,12.0,12.0,11.0,12.0,18.0,13.0,20.0,11.0,5.0,8.0,19.0
toad,9.0,12.0,9.0,10.0,12.0,12.0,10.0,13.0,19.0,9.0,11.0,8.0,13.0,3.0,11.0,11.0,20.0,19.0,19.0,9.0
tortoise,11.0,9.0,10.0,11.0,12.0,5.0,13.0,10.0,6.0,14.0,8.0,12.0,14.0,11.0,14.0,5.0,19.0,20.0,19.0,11.0
turtle,11.0,10.0,11.0,3.0,10.0,14.0,9.0,8.0,12.0,11.0,11.0,14.0,14.0,13.0,14.0,8.0,19.0,19.0,20.0,11.0
viper,8.0,17.0,19.0,11.0,11.0,18.0,9.0,10.0,7.0,11.0,12.0,13.0,13.0,19.0,14.0,19.0,9.0,11.0,11.0,20.0
