exemplar,alligator,blindworm,boa,caiman,chameleon,cobra,crocodile,dinosaur,frog,gecko,iguana,lizard,monitor lizard,python,salamander,snake,toad,tortoise,turtle,viper
alligator,20.0,6.0,11.0,18.0,11.0,9.0,18.0,17.0,11.0,11.0,11.0,11.0,,9.0,12.0,10.0,10.0,10.0,,9.0
blindworm,6.0,20.0,12.0,8.0,7.0,14.0,9.0,9.0,7.0,7.0,9.0,8.0,,13.0,10.0,15.0,11.0,7.0,,12.0
boa,11.0,12.0,20.0,12.0,11.0,19.0,9.0,11.0,9.0,10.0,9.0,9.0,,16.0,9.0,20.0,10.0,8.0,,17.0
caiman,18.0,8.0,12.0,20.0,11.0,10.0,18.0,12.0,9.0,10.0,14.0,12.0,,10.0,12.0,10.0,10.0,9.0,,14.0
chameleon,11.0,7.0,11.0,11.0,20.0,6.0,10.0,16.0,11.0,12.0,11.0,11.0,,9.0,11.0,9.0,9.0,10.0,,9.0
cobra,9.0,14.0,19.0,10.0,6.0,20.0,10.0,10.0,8.0,10.0,9.0,10.0,,16.0,10.0,20.0,10.0,10.0,,16.0
crocodile,18.0,9.0,9.0,18.0,10.0,10.0,20.0,17.0,11.0,9.0,12.0,11.0,,11.0,12.0,13.0,14.0,10.0,,9.0
dinosaur,17.0,9.0,11.0,12.0,16.0,10.0,17.0,20.0,12.0,13.0,13.0,13.0,,10.0,11.0,10.0,9.0,11.0,,11.0
frog,11.0,7.0,9.0,9.0,11.0,8.0,11.0,12.0,20.0,10.0,10.0,12.0,,9.0,17.0,9.0,19.0,11.0,,8.0
gecko,11.0,7.0,10.0,10.0,12.0,10.0,9.0,13.0,10.0,20.0,12.0,15.0,,10.0,13.0,13.0,9.0,8.0,,9.0
iguana,11.0,9.0,9.0,14.0,11.0,9.0,12.0,13.0,10.0,12.0,20.0,10.0,,11.0,12.0,10.0,11.0,8.0,,9.0
lizard,11.0,8.0,9.0,12.0,11.0,10.0,11.0,13.0,12.0,15.0,10.0,20.0,,9.0,17.0,9.0,11.0,9.0,,11.0
monitor lizard,,,,,,,,,,,,,20.0,,,,,,,
python,9.0,13.0,16.0,10.0,9.0,16.0,11.0,10.0,9.0,10.0,11.0,9.0,,20.0,10.0,20.0,9.0,9.0,,14.0
salamander,12.0,10.0,9.0,12.0,11.0,10.0,12.0,11.0,17.0,13.0,12.0,17.0,,10.0,20.0,11.0,11.0,10.0,,10.0
snake,10.0,15.0,20.0,10.0,9.0,20.0,13.0,10.0,9.0,13.0,10.0,9.0,,20.0,11.0,20.0,10.0,11.0,,20.0
toad,10.0,11.0,10.0,10.0,9.0,10.0,14.0,9.0,19.0,9.0,11.0,11.0,,9.0,11.0,10.0,20.0,9.0,,11.0
tortoise,10.0,7.0,8.0,9.0,10.0,10.0,10.0,11.0,11.0,8.0,8.0,9.0,,9.0,10.0,11.0,9.0,20.0,,8.0
turtle,,,,,,,,,,,,,,,,,,,20.0,
viper,9.0,12.0,17.0,14.0,9.0,16.0,9.0,11.0,8.0,9.0,9.0,11.0,,14.0,10.0,20.0,11.0,8.0,,20.0
