exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,8.0,11.0,7.0,6.0,10.0,7.0,8.0,8.0,8.0,9.0,8.0,7.0,8.0,5.0,11.0,11.0,8.0,10.0,7.0,7.0,11.0,9.0,7.0,9.0,9.0,9.0
bagpipe,8.0,20.0,7.0,8.0,12.0,7.0,7.0,6.0,5.0,7.0,6.0,10.0,9.0,10.0,4.0,7.0,8.0,7.0,6.0,12.0,14.0,4.0,8.0,2.0,8.0,9.0,11.0
banjo,11.0,7.0,20.0,12.0,7.0,11.0,8.0,7.0,11.0,7.0,8.0,7.0,14.0,11.0,8.0,6.0,7.0,9.0,7.0,7.0,9.0,6.0,13.0,7.0,2.0,6.0,11.0
bass guitar,7.0,8.0,12.0,20.0,5.0,7.0,7.0,5.0,12.0,6.0,7.0,8.0,18.0,5.0,11.0,8.0,6.0,4.0,8.0,7.0,9.0,10.0,13.0,4.0,7.0,8.0,13.0
bassoon,6.0,12.0,7.0,5.0,20.0,8.0,16.0,10.0,9.0,4.0,11.0,12.0,5.0,10.0,8.0,7.0,5.0,12.0,10.0,11.0,12.0,8.0,7.0,6.0,10.0,13.0,10.0
cello,10.0,7.0,11.0,7.0,8.0,20.0,8.0,7.0,16.0,7.0,9.0,11.0,12.0,7.0,11.0,8.0,8.0,9.0,9.0,9.0,7.0,7.0,6.0,8.0,6.0,7.0,15.0
clarinet,7.0,7.0,8.0,7.0,16.0,8.0,20.0,8.0,7.0,9.0,7.0,12.0,8.0,8.0,7.0,7.0,7.0,9.0,8.0,13.0,13.0,7.0,8.0,7.0,13.0,11.0,8.0
cymbals,8.0,6.0,7.0,5.0,10.0,7.0,8.0,20.0,3.0,12.0,14.0,10.0,9.0,7.0,7.0,5.0,6.0,8.0,6.0,6.0,9.0,9.0,11.0,11.0,8.0,9.0,5.0
double bass,8.0,5.0,11.0,12.0,9.0,16.0,7.0,3.0,20.0,7.0,9.0,9.0,10.0,5.0,12.0,10.0,9.0,7.0,7.0,7.0,8.0,8.0,9.0,7.0,9.0,7.0,12.0
drum,8.0,7.0,7.0,6.0,4.0,7.0,9.0,12.0,7.0,20.0,15.0,5.0,5.0,5.0,8.0,7.0,7.0,9.0,8.0,7.0,5.0,4.0,12.0,11.0,9.0,9.0,6.0
