exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,12.0,7.0,4.0,4.0,4.0,9.0,4.0,7.0,4.0,8.0,11.0,7.0,3.0,11.0,7.0,12.0,8.0,13.0,9.0,12.0,12.0,4.0,6.0,7.0,11.0,4.0
bagpipe,12.0,20.0,12.0,7.0,14.0,5.0,16.0,4.0,5.0,4.0,6.0,11.0,10.0,3.0,8.0,9.0,10.0,13.0,16.0,14.0,14.0,3.0,10.0,3.0,13.0,16.0,6.0
banjo,7.0,12.0,20.0,14.0,14.0,15.0,5.0,8.0,11.0,4.0,9.0,6.0,19.0,4.0,11.0,4.0,6.0,6.0,7.0,7.0,6.0,7.0,2.0,3.0,4.0,6.0,15.0
bass guitar,4.0,7.0,14.0,20.0,4.0,15.0,5.0,8.0,16.0,8.0,8.0,7.0,19.0,6.0,13.0,6.0,6.0,5.0,6.0,3.0,8.0,4.0,4.0,4.0,4.0,9.0,14.0
bassoon,4.0,14.0,14.0,4.0,20.0,4.0,15.0,4.0,9.0,7.0,4.0,14.0,4.0,9.0,5.0,6.0,4.0,11.0,4.0,17.0,16.0,5.0,7.0,4.0,13.0,16.0,6.0
cello,4.0,5.0,15.0,15.0,4.0,20.0,7.0,6.0,19.0,6.0,9.0,6.0,4.0,5.0,9.0,9.0,4.0,3.0,5.0,4.0,6.0,8.0,4.0,6.0,4.0,8.0,14.0
clarinet,9.0,16.0,5.0,5.0,15.0,7.0,20.0,5.0,6.0,8.0,3.0,19.0,8.0,9.0,6.0,7.0,8.0,16.0,6.0,17.0,19.0,4.0,4.0,4.0,17.0,19.0,9.0
cymbals,4.0,4.0,8.0,8.0,4.0,6.0,5.0,20.0,9.0,15.0,19.0,4.0,5.0,9.0,7.0,4.0,4.0,3.0,2.0,4.0,3.0,4.0,14.0,16.0,4.0,2.0,4.0
double bass,7.0,5.0,11.0,16.0,9.0,19.0,6.0,9.0,20.0,8.0,4.0,3.0,13.0,7.0,6.0,8.0,5.0,4.0,9.0,5.0,4.0,6.0,5.0,5.0,6.0,4.0,15.0
drum,4.0,4.0,4.0,8.0,7.0,6.0,8.0,15.0,8.0,20.0,18.0,8.0,4.0,7.0,2.0,10.0,4.0,5.0,4.0,6.0,7.0,8.0,14.0,14.0,8.0,3.0,5.0
drum set,8.0,6.0,9.0,8.0,4.0,9.0,3.0,19.0,4.0,18.0,20.0,6.0,9.0,2.0,4.0,10.0,3.0,3.0,5.0,5.0,4.0,4.0,16.0,11.0,7.0,4.0,6.0
flute,11.0,11.0,6.0,7.0,14.0,6.0,19.0,4.0,3.0,8.0,6.0,20.0,4.0,13.0,4.0,9.0,4.0,18.0,5.0,18.0,19.0,6.0,3.0,5.0,17.0,16.0,9.0
guitar,7.0,10.0,19.0,19.0,4.0,4.0,8.0,5.0,13.0,4.0,9.0,4.0,20.0,3.0,7.0,5.0,5.0,4.0,9.0,7.0,6.0,11.0,9.0,3.0,7.0,3.0,16.0
