exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,16.0,2.0,5.0,3.0,14.0,5.0,1.0,4.0,3.0,2.0,4.0,4.0,18.0,5.0,11.0,17.0,4.0,13.0,6.0,11.0,5.0,1.0,3.0,10.0,5.0,4.0
bagpipe,16.0,20.0,3.0,2.0,6.0,5.0,6.0,3.0,4.0,4.0,2.0,5.0,2.0,16.0,4.0,2.0,13.0,5.0,4.0,10.0,8.0,3.0,2.0,1.0,15.0,6.0,3.0
banjo,2.0,3.0,20.0,18.0,4.0,14.0,4.0,3.0,13.0,4.0,4.0,3.0,18.0,2.0,9.0,6.0,3.0,11.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,4.0,14.0
bass guitar,5.0,2.0,18.0,20.0,5.0,12.0,2.0,1.0,16.0,3.0,3.0,2.0,19.0,5.0,7.0,6.0,4.0,2.0,3.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,15.0
bassoon,3.0,6.0,4.0,5.0,20.0,3.0,17.0,3.0,3.0,5.0,2.0,12.0,3.0,4.0,1.0,3.0,7.0,6.0,3.0,16.0,14.0,5.0,3.0,2.0,14.0,10.0,4.0
cello,14.0,5.0,14.0,12.0,3.0,20.0,2.0,3.0,19.0,1.0,2.0,2.0,6.0,2.0,5.0,5.0,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,19.0
clarinet,5.0,6.0,4.0,2.0,17.0,2.0,20.0,2.0,4.0,5.0,2.0,13.0,2.0,2.0,3.0,3.0,5.0,7.0,4.0,15.0,16.0,4.0,2.0,3.0,11.0,14.0,3.0
cymbals,1.0,3.0,3.0,1.0,3.0,3.0,2.0,20.0,1.0,9.0,7.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,15.0,15.0,3.0,1.0,1.0
double bass,4.0,4.0,13.0,16.0,3.0,19.0,4.0,1.0,20.0,2.0,2.0,2.0,16.0,1.0,4.0,6.0,4.0,2.0,3.0,2.0,5.0,6.0,2.0,2.0,3.0,2.0,18.0
drum,3.0,4.0,4.0,3.0,5.0,1.0,5.0,9.0,2.0,20.0,18.0,5.0,1.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,2.0,4.0,18.0,14.0,2.0,4.0,2.0
drum set,2.0,2.0,4.0,3.0,2.0,2.0,2.0,7.0,2.0,18.0,20.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,16.0,15.0,3.0,3.0,2.0
flute,4.0,5.0,3.0,2.0,12.0,2.0,13.0,2.0,2.0,5.0,3.0,20.0,2.0,6.0,2.0,2.0,8.0,6.0,2.0,12.0,6.0,5.0,2.0,1.0,13.0,7.0,2.0
guitar,4.0,2.0,18.0,19.0,3.0,6.0,2.0,1.0,16.0,1.0,2.0,2.0,20.0,4.0,16.0,5.0,2.0,2.0,9.0,2.0,4.0,2.0,1.0,5.0,3.0,4.0,16.0
harmonica,18.0,16.0,2.0,5.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,6.0,4.0,20.0,6.0,3.0,15.0,12.0,4.0,5.0,8.0,11.0,3.0,1.0,6.0,4.0,4.0
harp,5.0,4.0,9.0,7.0,1.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,16.0,6.0,20.0,11.0,4.0,4.0,5.0,3.0,3.0,16.0,3.0,4.0,3.0,2.0,6.0
harpsichord,11.0,2.0,6.0,6.0,3.0,5.0,3.0,2.0,6.0,4.0,2.0,2.0,5.0,3.0,11.0,20.0,17.0,2.0,19.0,2.0,3.0,18.0,2.0,4.0,2.0,2.0,6.0
organ,17.0,13.0,3.0,4.0,7.0,4.0,5.0,1.0,4.0,2.0,4.0,8.0,2.0,15.0,4.0,17.0,20.0,12.0,19.0,6.0,2.0,18.0,2.0,3.0,12.0,11.0,2.0
pan flute,4.0,5.0,11.0,2.0,6.0,3.0,7.0,1.0,2.0,2.0,1.0,6.0,2.0,12.0,4.0,2.0,12.0,20.0,2.0,14.0,4.0,2.0,2.0,2.0,5.0,6.0,1.0
piano,13.0,4.0,4.0,3.0,3.0,4.0,4.0,1.0,3.0,1.0,4.0,2.0,9.0,4.0,5.0,19.0,19.0,2.0,20.0,4.0,4.0,19.0,3.0,1.0,2.0,1.0,3.0
recorder,6.0,10.0,2.0,5.0,16.0,4.0,15.0,2.0,2.0,3.0,2.0,12.0,2.0,5.0,3.0,2.0,6.0,14.0,4.0,20.0,12.0,5.0,2.0,4.0,14.0,12.0,2.0
saxophone,11.0,8.0,2.0,4.0,14.0,2.0,16.0,2.0,5.0,2.0,2.0,6.0,4.0,8.0,3.0,3.0,2.0,4.0,4.0,12.0,20.0,3.0,4.0,2.0,14.0,16.0,2.0
synthesizer,5.0,3.0,2.0,2.0,5.0,2.0,4.0,2.0,6.0,4.0,2.0,5.0,2.0,11.0,16.0,18.0,18.0,2.0,19.0,5.0,3.0,20.0,3.0,1.0,6.0,2.0,3.0
tambourine,1.0,2.0,3.0,2.0,3.0,2.0,2.0,15.0,2.0,18.0,16.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,20.0,6.0,3.0,3.0,1.0
triangle,3.0,1.0,2.0,2.0,2.0,2.0,3.0,15.0,2.0,14.0,15.0,1.0,5.0,1.0,4.0,4.0,3.0,2.0,1.0,4.0,2.0,1.0,6.0,20.0,3.0,1.0,1.0
trombone,10.0,15.0,3.0,4.0,14.0,1.0,11.0,3.0,3.0,2.0,3.0,13.0,3.0,6.0,3.0,2.0,12.0,5.0,2.0,14.0,14.0,6.0,3.0,3.0,20.0,17.0,3.0
trumpet,5.0,6.0,4.0,4.0,10.0,2.0,14.0,1.0,2.0,4.0,3.0,7.0,4.0,4.0,2.0,2.0,11.0,6.0,1.0,12.0,16.0,2.0,3.0,1.0,17.0,20.0,4.0
violin,4.0,3.0,14.0,15.0,4.0,19.0,3.0,1.0,18.0,2.0,2.0,2.0,16.0,4.0,6.0,6.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,20.0
