exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,10.0,18.0,9.0,3.0,9.0,8.0,7.0,12.0,10.0,5.0,12.0,13.0,13.0,5.0,10.0,7.0,13.0,4.0,10.0,15.0,10.0,10.0,8.0,6.0,5.0,4.0
bagpipe,10.0,20.0,6.0,9.0,4.0,1.0,6.0,4.0,10.0,4.0,5.0,4.0,6.0,9.0,4.0,6.0,7.0,6.0,3.0,5.0,4.0,1.0,12.0,12.0,4.0,4.0,4.0
banjo,18.0,6.0,20.0,18.0,12.0,5.0,6.0,6.0,16.0,4.0,6.0,4.0,19.0,4.0,7.0,3.0,6.0,14.0,4.0,15.0,6.0,5.0,9.0,6.0,7.0,6.0,4.0
bass guitar,9.0,9.0,18.0,20.0,6.0,5.0,8.0,4.0,4.0,5.0,8.0,3.0,19.0,4.0,5.0,8.0,1.0,7.0,4.0,7.0,5.0,5.0,9.0,1.0,6.0,6.0,4.0
bassoon,3.0,4.0,12.0,6.0,20.0,1.0,16.0,7.0,6.0,6.0,1.0,14.0,5.0,2.0,12.0,2.0,15.0,13.0,8.0,15.0,13.0,4.0,4.0,7.0,14.0,13.0,6.0
cello,9.0,1.0,5.0,5.0,1.0,20.0,8.0,9.0,19.0,3.0,4.0,4.0,6.0,1.0,13.0,14.0,4.0,10.0,8.0,7.0,4.0,5.0,4.0,8.0,8.0,3.0,16.0
clarinet,8.0,6.0,6.0,8.0,16.0,8.0,20.0,15.0,1.0,10.0,7.0,12.0,6.0,11.0,6.0,5.0,4.0,13.0,7.0,14.0,1.0,5.0,14.0,5.0,14.0,11.0,5.0
cymbals,7.0,4.0,6.0,4.0,7.0,9.0,15.0,20.0,1.0,5.0,15.0,1.0,7.0,12.0,5.0,15.0,4.0,11.0,3.0,4.0,4.0,7.0,17.0,12.0,12.0,4.0,1.0
double bass,12.0,10.0,16.0,4.0,6.0,19.0,1.0,1.0,20.0,4.0,3.0,8.0,10.0,6.0,13.0,6.0,8.0,4.0,5.0,9.0,11.0,4.0,4.0,2.0,6.0,19.0,14.0
drum,10.0,4.0,4.0,5.0,6.0,3.0,10.0,5.0,4.0,20.0,17.0,6.0,4.0,5.0,7.0,6.0,8.0,9.0,7.0,4.0,9.0,6.0,12.0,4.0,7.0,8.0,6.0
drum set,5.0,5.0,6.0,8.0,1.0,4.0,7.0,15.0,3.0,17.0,20.0,5.0,7.0,6.0,2.0,7.0,4.0,4.0,5.0,8.0,11.0,8.0,11.0,5.0,7.0,12.0,4.0
flute,12.0,4.0,4.0,3.0,14.0,4.0,12.0,1.0,8.0,6.0,5.0,20.0,6.0,15.0,9.0,8.0,7.0,15.0,10.0,19.0,4.0,12.0,8.0,6.0,11.0,9.0,4.0
