exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,12.0,9.0,7.0,4.0,7.0,11.0,15.0,6.0,17.0,17.0,6.0,9.0,17.0,13.0,,16.0,10.0,13.0,10.0,13.0,14.0,,5.0,,6.0,3.0
bagpipe,12.0,20.0,12.0,6.0,,7.0,11.0,4.0,7.0,3.0,4.0,15.0,12.0,17.0,9.0,,6.0,5.0,17.0,12.0,16.0,7.0,,1.0,,14.0,8.0
banjo,9.0,12.0,20.0,14.0,11.0,15.0,8.0,6.0,11.0,4.0,3.0,7.0,17.0,5.0,10.0,,3.0,12.0,6.0,9.0,6.0,5.0,,4.0,,6.0,3.0
bass guitar,7.0,6.0,14.0,20.0,7.0,12.0,7.0,3.0,19.0,5.0,3.0,9.0,13.0,4.0,11.0,,14.0,13.0,7.0,7.0,6.0,6.0,,5.0,,6.0,16.0
bassoon,4.0,,11.0,7.0,20.0,3.0,17.0,6.0,7.0,7.0,6.0,,6.0,8.0,6.0,,6.0,9.0,4.0,16.0,8.0,6.0,,6.0,,14.0,6.0
cello,7.0,7.0,15.0,12.0,3.0,20.0,8.0,3.0,13.0,6.0,5.0,8.0,15.0,4.0,12.0,,6.0,9.0,6.0,11.0,6.0,6.0,,2.0,,6.0,16.0
clarinet,11.0,11.0,8.0,7.0,17.0,8.0,20.0,3.0,11.0,7.0,7.0,15.0,6.0,13.0,11.0,,7.0,11.0,4.0,15.0,12.0,5.0,,4.0,,15.0,8.0
cymbals,15.0,4.0,6.0,3.0,6.0,3.0,3.0,20.0,4.0,5.0,11.0,6.0,4.0,3.0,15.0,,2.0,10.0,1.0,4.0,5.0,4.0,,15.0,,4.0,2.0
double bass,6.0,7.0,11.0,19.0,7.0,13.0,11.0,4.0,20.0,3.0,4.0,12.0,16.0,5.0,15.0,,4.0,13.0,3.0,7.0,7.0,6.0,,1.0,,4.0,12.0
drum,17.0,3.0,4.0,5.0,7.0,6.0,7.0,5.0,3.0,20.0,16.0,3.0,12.0,4.0,3.0,,4.0,3.0,2.0,2.0,2.0,6.0,,7.0,,5.0,3.0
drum set,17.0,4.0,3.0,3.0,6.0,5.0,7.0,11.0,4.0,16.0,20.0,4.0,3.0,5.0,3.0,,4.0,5.0,16.0,6.0,4.0,4.0,,12.0,,3.0,4.0
flute,6.0,15.0,7.0,9.0,,8.0,15.0,6.0,12.0,3.0,4.0,20.0,7.0,13.0,7.0,,8.0,10.0,5.0,15.0,12.0,8.0,,4.0,,13.0,6.0
guitar,9.0,12.0,17.0,13.0,6.0,15.0,6.0,4.0,16.0,12.0,3.0,7.0,20.0,12.0,14.0,,6.0,5.0,4.0,7.0,13.0,6.0,,3.0,,7.0,13.0
harmonica,17.0,17.0,5.0,4.0,8.0,4.0,13.0,3.0,5.0,4.0,5.0,13.0,12.0,20.0,12.0,,5.0,18.0,12.0,15.0,15.0,15.0,,14.0,,9.0,4.0
harp,13.0,9.0,10.0,11.0,6.0,12.0,11.0,15.0,15.0,3.0,3.0,7.0,14.0,12.0,20.0,,9.0,13.0,14.0,9.0,6.0,5.0,,8.0,,7.0,12.0
harpsichord,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
organ,16.0,6.0,3.0,14.0,6.0,6.0,7.0,2.0,4.0,4.0,4.0,8.0,6.0,5.0,9.0,,20.0,13.0,18.0,11.0,6.0,18.0,,9.0,,5.0,6.0
pan flute,10.0,5.0,12.0,13.0,9.0,9.0,11.0,10.0,13.0,3.0,5.0,10.0,5.0,18.0,13.0,,13.0,20.0,9.0,15.0,12.0,4.0,,9.0,,14.0,7.0
piano,13.0,17.0,6.0,7.0,4.0,6.0,4.0,1.0,3.0,2.0,16.0,5.0,4.0,12.0,14.0,,18.0,9.0,20.0,6.0,3.0,16.0,,4.0,,9.0,7.0
recorder,10.0,12.0,9.0,7.0,16.0,11.0,15.0,4.0,7.0,2.0,6.0,15.0,7.0,15.0,9.0,,11.0,15.0,6.0,20.0,9.0,7.0,,3.0,,11.0,8.0
saxophone,13.0,16.0,6.0,6.0,8.0,6.0,12.0,5.0,7.0,2.0,4.0,12.0,13.0,15.0,6.0,,6.0,12.0,3.0,9.0,20.0,11.0,,2.0,,15.0,10.0
synthesizer,14.0,7.0,5.0,6.0,6.0,6.0,5.0,4.0,6.0,6.0,4.0,8.0,6.0,15.0,5.0,,18.0,4.0,16.0,7.0,11.0,20.0,,2.0,,6.0,8.0
tambourine,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,
triangle,5.0,1.0,4.0,5.0,6.0,2.0,4.0,15.0,1.0,7.0,12.0,4.0,3.0,14.0,8.0,,9.0,9.0,4.0,3.0,2.0,2.0,,20.0,,6.0,3.0
trombone,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,
trumpet,6.0,14.0,6.0,6.0,14.0,6.0,15.0,4.0,4.0,5.0,3.0,13.0,7.0,9.0,7.0,,5.0,14.0,9.0,11.0,15.0,6.0,,6.0,,20.0,9.0
violin,3.0,8.0,3.0,16.0,6.0,16.0,8.0,2.0,12.0,3.0,4.0,6.0,13.0,4.0,12.0,,6.0,7.0,7.0,8.0,10.0,8.0,,3.0,,9.0,20.0
