exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,9.0,7.0,3.0,,4.0,6.0,6.0,3.0,3.0,3.0,3.0,7.0,9.0,3.0,3.0,3.0,3.0,9.0,2.0,3.0,9.0,4.0,2.0,3.0,6.0,6.0
bagpipe,9.0,20.0,6.0,3.0,,7.0,3.0,3.0,3.0,7.0,4.0,6.0,3.0,4.0,9.0,2.0,3.0,7.0,3.0,7.0,3.0,3.0,7.0,3.0,9.0,3.0,2.0
banjo,7.0,6.0,20.0,11.0,,5.0,7.0,4.0,7.0,3.0,6.0,6.0,17.0,5.0,9.0,2.0,6.0,3.0,3.0,4.0,9.0,3.0,4.0,5.0,3.0,3.0,3.0
bass guitar,3.0,3.0,11.0,20.0,,5.0,3.0,3.0,18.0,6.0,12.0,4.0,19.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,6.0,8.0,3.0,1.0,3.0,6.0,2.0
bassoon,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,
cello,4.0,7.0,5.0,5.0,,20.0,5.0,7.0,6.0,10.0,5.0,7.0,10.0,7.0,5.0,6.0,8.0,7.0,8.0,6.0,5.0,6.0,6.0,6.0,13.0,6.0,6.0
clarinet,6.0,3.0,7.0,3.0,,5.0,20.0,7.0,7.0,3.0,3.0,12.0,6.0,6.0,8.0,6.0,3.0,10.0,6.0,15.0,7.0,4.0,8.0,6.0,7.0,12.0,3.0
cymbals,6.0,3.0,4.0,3.0,,7.0,7.0,20.0,3.0,6.0,10.0,4.0,3.0,4.0,7.0,11.0,2.0,3.0,2.0,3.0,3.0,3.0,10.0,8.0,3.0,6.0,7.0
double bass,3.0,3.0,7.0,18.0,,6.0,7.0,3.0,20.0,5.0,5.0,3.0,8.0,3.0,6.0,6.0,3.0,2.0,3.0,6.0,13.0,8.0,2.0,5.0,6.0,6.0,2.0
drum,3.0,7.0,3.0,6.0,,10.0,3.0,6.0,5.0,20.0,16.0,6.0,6.0,2.0,3.0,3.0,3.0,6.0,3.0,3.0,6.0,3.0,7.0,8.0,7.0,6.0,3.0
drum set,3.0,4.0,6.0,12.0,,5.0,3.0,10.0,5.0,16.0,20.0,3.0,3.0,3.0,1.0,5.0,6.0,3.0,5.0,3.0,6.0,9.0,6.0,2.0,3.0,5.0,1.0
flute,3.0,6.0,6.0,4.0,,7.0,12.0,4.0,3.0,6.0,3.0,20.0,3.0,13.0,7.0,2.0,3.0,18.0,3.0,10.0,9.0,4.0,3.0,6.0,7.0,10.0,5.0
guitar,7.0,3.0,17.0,19.0,,10.0,6.0,3.0,8.0,6.0,3.0,3.0,20.0,2.0,3.0,7.0,3.0,2.0,6.0,5.0,3.0,8.0,3.0,3.0,6.0,7.0,6.0
harmonica,9.0,4.0,5.0,3.0,,7.0,6.0,4.0,3.0,2.0,3.0,13.0,2.0,20.0,4.0,6.0,3.0,6.0,5.0,9.0,3.0,3.0,10.0,8.0,7.0,3.0,3.0
harp,3.0,9.0,9.0,2.0,,5.0,8.0,7.0,6.0,3.0,1.0,7.0,3.0,4.0,20.0,6.0,11.0,15.0,2.0,10.0,5.0,2.0,6.0,11.0,7.0,4.0,7.0
