exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,7.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,6.0,2.0,2.0,2.0,4.0,4.0,,5.0,4.0,4.0,3.0,6.0,4.0,5.0,4.0,4.0,3.0,4.0
bagpipe,7.0,20.0,7.0,2.0,12.0,6.0,12.0,8.0,4.0,2.0,3.0,6.0,4.0,3.0,2.0,,4.0,5.0,2.0,4.0,5.0,2.0,12.0,3.0,7.0,4.0,3.0
banjo,4.0,7.0,20.0,7.0,5.0,14.0,11.0,3.0,8.0,7.0,9.0,2.0,15.0,5.0,2.0,,6.0,5.0,7.0,4.0,5.0,4.0,15.0,8.0,4.0,4.0,11.0
bass guitar,2.0,2.0,7.0,20.0,2.0,7.0,3.0,3.0,13.0,4.0,14.0,3.0,19.0,1.0,7.0,,1.0,1.0,2.0,5.0,4.0,6.0,2.0,2.0,2.0,4.0,2.0
bassoon,4.0,12.0,5.0,2.0,20.0,5.0,15.0,4.0,3.0,5.0,4.0,10.0,3.0,6.0,5.0,,4.0,4.0,4.0,13.0,11.0,4.0,5.0,4.0,,6.0,
cello,4.0,6.0,14.0,7.0,5.0,20.0,4.0,4.0,15.0,5.0,4.0,6.0,9.0,9.0,14.0,,6.0,10.0,5.0,13.0,4.0,4.0,4.0,4.0,5.0,4.0,12.0
clarinet,4.0,12.0,11.0,3.0,15.0,4.0,20.0,4.0,4.0,4.0,3.0,16.0,7.0,6.0,5.0,,4.0,9.0,3.0,14.0,6.0,3.0,4.0,7.0,9.0,14.0,2.0
cymbals,5.0,8.0,3.0,3.0,4.0,4.0,4.0,20.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,,7.0,6.0,3.0,2.0,6.0,5.0,7.0,9.0,5.0,11.0,4.0
double bass,4.0,4.0,8.0,13.0,3.0,15.0,4.0,4.0,20.0,5.0,7.0,7.0,15.0,2.0,2.0,,2.0,5.0,4.0,3.0,5.0,4.0,8.0,4.0,11.0,4.0,5.0
drum,6.0,2.0,7.0,4.0,5.0,5.0,4.0,5.0,5.0,20.0,17.0,4.0,6.0,3.0,4.0,,3.0,4.0,3.0,4.0,3.0,2.0,10.0,12.0,6.0,4.0,6.0
drum set,2.0,3.0,9.0,14.0,4.0,4.0,3.0,4.0,7.0,17.0,20.0,2.0,4.0,4.0,1.0,,4.0,2.0,6.0,11.0,2.0,4.0,8.0,2.0,5.0,4.0,5.0
flute,2.0,6.0,2.0,3.0,10.0,6.0,16.0,4.0,7.0,4.0,2.0,20.0,4.0,9.0,5.0,,5.0,11.0,2.0,19.0,12.0,4.0,5.0,8.0,7.0,4.0,5.0
guitar,2.0,4.0,15.0,19.0,3.0,9.0,7.0,4.0,15.0,6.0,4.0,4.0,20.0,2.0,4.0,,4.0,2.0,4.0,6.0,3.0,4.0,3.0,3.0,9.0,4.0,3.0
harmonica,4.0,3.0,5.0,1.0,6.0,9.0,6.0,3.0,2.0,3.0,4.0,9.0,2.0,20.0,4.0,,6.0,13.0,7.0,8.0,5.0,4.0,9.0,5.0,5.0,4.0,3.0
harp,4.0,2.0,2.0,7.0,5.0,14.0,5.0,2.0,2.0,4.0,1.0,5.0,4.0,4.0,20.0,,1.0,7.0,7.0,10.0,4.0,3.0,5.0,7.0,3.0,3.0,11.0
harpsichord,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
organ,5.0,4.0,6.0,1.0,4.0,6.0,4.0,7.0,2.0,3.0,4.0,5.0,4.0,6.0,1.0,,20.0,4.0,18.0,4.0,8.0,18.0,7.0,6.0,4.0,4.0,7.0
pan flute,4.0,5.0,5.0,1.0,4.0,10.0,9.0,6.0,5.0,4.0,2.0,11.0,2.0,13.0,7.0,,4.0,20.0,4.0,18.0,4.0,4.0,11.0,7.0,3.0,6.0,3.0
piano,4.0,2.0,7.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,6.0,2.0,4.0,7.0,7.0,,18.0,4.0,20.0,3.0,11.0,19.0,5.0,6.0,4.0,4.0,9.0
recorder,3.0,4.0,4.0,5.0,13.0,13.0,14.0,2.0,3.0,4.0,11.0,19.0,6.0,8.0,10.0,,4.0,18.0,3.0,20.0,12.0,3.0,7.0,6.0,5.0,9.0,5.0
saxophone,6.0,5.0,5.0,4.0,11.0,4.0,6.0,6.0,5.0,3.0,2.0,12.0,3.0,5.0,4.0,,8.0,4.0,11.0,12.0,20.0,5.0,3.0,4.0,6.0,7.0,7.0
synthesizer,4.0,2.0,4.0,6.0,4.0,4.0,3.0,5.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,,18.0,4.0,19.0,3.0,5.0,20.0,4.0,4.0,3.0,6.0,2.0
tambourine,5.0,12.0,15.0,2.0,5.0,4.0,4.0,7.0,8.0,10.0,8.0,5.0,3.0,9.0,5.0,,7.0,11.0,5.0,7.0,3.0,4.0,20.0,5.0,9.0,4.0,9.0
triangle,4.0,3.0,8.0,2.0,4.0,4.0,7.0,9.0,4.0,12.0,2.0,8.0,3.0,5.0,7.0,,6.0,7.0,6.0,6.0,4.0,4.0,5.0,20.0,4.0,2.0,3.0
trombone,4.0,7.0,4.0,2.0,,5.0,9.0,5.0,11.0,6.0,5.0,7.0,9.0,5.0,3.0,,4.0,3.0,4.0,5.0,6.0,3.0,9.0,4.0,20.0,17.0,9.0
trumpet,3.0,4.0,4.0,4.0,6.0,4.0,14.0,11.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,6.0,4.0,9.0,7.0,6.0,4.0,2.0,17.0,20.0,3.0
violin,4.0,3.0,11.0,2.0,,12.0,2.0,4.0,5.0,6.0,5.0,5.0,3.0,3.0,11.0,,7.0,3.0,9.0,5.0,7.0,2.0,9.0,3.0,9.0,3.0,20.0
