exemplar,accordion,bagpipe,banjo,bass guitar,bassoon,cello,clarinet,cymbals,double bass,drum,drum set,flute,guitar,harmonica,harp,harpsichord,organ,pan flute,piano,recorder,saxophone,synthesizer,tambourine,triangle,trombone,trumpet,violin
accordion,20.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bagpipe,1.0,20.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
banjo,1.0,1.0,20.0,,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
bass guitar,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,
bassoon,1.0,1.0,1.0,,20.0,1.0,16.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,,1.0,1.0,1.0,18.0,1.0,1.0,2.0,1.0,18.0,15.0,1.0
cello,1.0,1.0,4.0,,1.0,20.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0
clarinet,1.0,1.0,1.0,,16.0,1.0,20.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,1.0,,1.0,11.0,1.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,1.0
cymbals,1.0,1.0,1.0,,1.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
double bass,1.0,1.0,1.0,,1.0,5.0,10.0,1.0,20.0,1.0,4.0,1.0,2.0,1.0,1.0,,1.0,1.0,1.0,17.0,8.0,1.0,1.0,1.0,3.0,5.0,1.0
drum,3.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,20.0,18.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0
drum set,1.0,1.0,1.0,,1.0,1.0,1.0,10.0,4.0,18.0,20.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0
flute,1.0,1.0,1.0,,10.0,1.0,10.0,1.0,1.0,1.0,1.0,20.0,1.0,2.0,1.0,,1.0,18.0,1.0,17.0,10.0,1.0,1.0,1.0,4.0,4.0,15.0
guitar,1.0,1.0,20.0,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0
harmonica,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,20.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
harp,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
harpsichord,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
organ,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pan flute,1.0,1.0,1.0,,1.0,1.0,11.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,,1.0,20.0,1.0,19.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0
piano,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0
recorder,1.0,1.0,1.0,,18.0,1.0,15.0,1.0,17.0,1.0,1.0,17.0,1.0,1.0,1.0,,1.0,19.0,1.0,20.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0
saxophone,1.0,1.0,1.0,,1.0,18.0,4.0,1.0,8.0,1.0,1.0,10.0,3.0,1.0,1.0,,1.0,10.0,1.0,1.0,20.0,1.0,1.0,1.0,17.0,16.0,1.0
synthesizer,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,10.0,6.0,1.0,1.0,1.0,1.0,,1.0,1.0,20.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0
tambourine,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
triangle,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0
trombone,1.0,1.0,1.0,,18.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,15.0,17.0,1.0,1.0,1.0,20.0,12.0,1.0
trumpet,1.0,1.0,1.0,,15.0,1.0,15.0,1.0,5.0,1.0,1.0,4.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,12.0,20.0,1.0
violin,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15.0,5.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0
