feature,freq
absorbeert vocht,7
bak je vlees in,11
bebouwde 'kom' is woonwijk,4
behoort tot servies,10
bestaat al lang,28
bestaat in verschillende groottes,97
bestaat in verschillende kleuren,169
bestaat in verschillende merken,9
bestaat in verschillende modellen,4
bestaat in verschillende soorten,35
bestaat in verschillende vormen,82
bestaat nog niet zo lang,8
bestaat uit twee delen,4
bestaat uit verschillende delen,4
bestaat uit verschillende gebogen staven,4
bevat dikwijls plant,5
bevat drank,38
bevat rijst,4
blinkt,10
brood springt eruit,5
dient om blik te openen,25
dient om brood te roosteren,29
dient om brood te smeren,6
dient om de kookpot leeg te maken,6
dient om de tafel te beschermen,31
dient om dingen in op te bergen,43
dient om dingen mee door te knippen,15
dient om dingen te wegen,33
dient om eten in te bewaren,33
dient om fruit te raspen,4
dient om goud te winnen,4
dient om haren mee te knippen,6
dient om iets in op te warmen,42
dient om kaas te raspen,12
dient om lekker eten in te maken,6
dient om noten te kraken,25
dient om pannenkoeken mee te maken,5
dient om sauzen te maken,4
dient om suiker in koffie te doen,4
dient om te kloppen,5
dient om te knutselen,7
dient om te raspen,5
dient om te snijden,25
dient om voedsel te mixen,12
dient om wortels te raspen,13
doe je boter in,8
doe je olie in,5
draag je om je schouder,6
er kan water in,26
er wordt een pot/pan op gezet,8
er zit soep in,4
fluit wanneer water kookt,5
gaat dicht met kurk,5
gaat lang mee,5
gebruik ik nooit,5
gebruik je als je cake bakt,8
gebruik je als je soep eet,22
gebruik je als je thee drinkt,24
gebruik je in de badkamer,20
gebruik je in de zandbak,6
gebruik je met je handen,18
gebruik je om te bakken,25
gebruik je om yoghurt te eten,5
gebruik je samen met mes,6
gebruikt heks,12
gemaakt uit hout,26
gemaakt uit metaal,216
gemaakt uit plastic,113
gemaakt uit steen,11
gemaakt van kunststof,5
heb je nodig om ingrediënten te wegen,4
heeft anti-aanbaklaag,4
heeft bakplaten,7
heeft bloemmotief,5
heeft een dampkap,7
heeft een deksel,20
heeft een deurtje,7
heeft een donkere kleur,5
heeft een dop,11
heeft een draaiknop,11
heeft een etiket,5
heeft een filter,8
heeft een gat,5
heeft een handvat,46
heeft een kijkraampje,7
heeft een klok,7
heeft een lampje,20
heeft een lemmet,6
heeft een snoer,4
heeft een steel,39
heeft een stekker,7
heeft een temperatuurregelaar,10
heeft een timer,7
heeft een vriesvak,10
heeft een wijzertje,11
heeft gaatjes,44
heeft geen geur,25
heeft geen smaak,7
heeft iedereen,39
heeft kookplaten,9
heeft last van kalkaanslag,11
heeft linten,8
heeft meestal een oven,7
heeft messen,5
heeft niet iedereen,5
heeft ook grillfunctie,6
heeft tanden,41
heeft twee benen,7
heeft twee gleuven,5
heeft twee handvaten,48
heeft twee openingen om je vingers in te steken,4
heeft veel knopjes,23
heeft verschillende lengtes,4
heeft verschillende standen,6
heeft verschillende vakken,13
heeft zakken,11
het is een voorwerp,11
hoort bij mes en vork,4
is afgeleid van werkwoord,6
is agressief iemand,4
is aziatisch,18
is bolvormig,8
is breekbaar,49
is bruin,4
is cilindervormig,4
is de nachtmerrie van menig vrouw,5
is diep,7
is doorzichtig,32
is duur,7
is een apparaat,6
is een deel van het bestek,54
is een hefboom,4
is een huishoudapparaat,11
is een kledingstuk,4
is een luxeproduct,4
is een muziekstuk,15
is een soort pan,8
is een werktuig,5
is een westers gebruikmiddel,4
is er in alle prijsklassen,5
is functioneel,4
is gebogen,4
is gemaakt van klei,4
is gemakkelijk,18
is gevaarlijk,33
is gevaarlijk voor kinderen,7
is gezond,6
is grijs,43
is groen,20
is groot,27
is handig,84
is hard,34
is klein,43
is kleiner dan een soeplepel,8
