feature,freq
afrika,5
als tussendoortje,9
apen eten het graag,6
beetje zurig,11
behaard,4
bestaat in verschillende kleuren,16
bestaat in verschillende soorten,11
bestaat uit beentjes,5
bestaat uit kleine bolletjes,14
bestaat uit partjes,7
bevat kokosmelk,17
bevat pitten,148
bevat veel calorieën,5
bevat veel vitaminen,31
bevordert de darmwerking,5
bij assepoester wordt er een koets van gemaakt,6
bijbels,8
bruin aan de buitenkant,17
de schil is bitter,7
de schil is niet eetbaar,4
"dik vanonder, smaller boven",4
dikke schil,22
donkerrood,5
donzige schil,6
dorstlessend,4
draai om je oren,4
een delicatesse,7
een gladde schil,5
eetbaar,91
er zijn er in verschillende maten,4
exotisch,62
familie van de appelsien,4
familie van de citroen,4
familie van de perzik,7
familie van mandarijn,6
fruit,243
gebruikt bij halloween,20
gebruikt in fruitpap,4
gebruikt in spreekwoord,4
gebruikt in yoghurt,18
gebruikt men in gerechten,4
geel,98
geel vanbinnen,30
gegeten bij kaasschotels,4
gerimpeld,10
gevaarlijk: kan op je hoofd vallen,4
gezond,89
groeit aan bomen,220
groeit aan een palmboom,13
groeit aan een plant,16
groeit aan een rank,4
groeit aan een struik,64
groeit in bos,29
groeit in de natuur,8
groeit in het voorjaar,12
groeit in het wild,14
groeit in onze streken,10
groeit in tropische streken,43
groeit in trossen,46
groeit in tuinen,10
groeit in warme landen,73
groeit laag bij de grond,11
groeit niet in belgie,16
groeit rond middellandse zee,8
groen,80
groene schil,10
groene steel,11
grote pit,24
hangt soms per twee,8
hard,14
harde pit,6
harde schil,34
harig,29
heeft bladeren,5
heeft bobbeltjes,6
heeft een donkere kleur,7
heeft een harde kern,4
heeft een klokhuis,22
heeft een kroontje,11
heeft een kruin van harde bladen,5
heeft een pit,73
heeft een schil,50
heeft een steeltje,47
heeft een stekelige schil,8
heeft groene bladeren,12
heeft roze kleur,14
heeft stekels,22
heeft vaak gele schil,9
heeft veel zon nodig om te groeien,12
heeft vruchtvlees,9
heeft zachte schil,12
het heeft geen uitgesproken geur,12
het is plat,8
het is voedsel,13
het vlees van de vrucht is tamelijk hard,5
het wordt niet veel gegeten in België,5
in gedroogde vorm: rozijnen en krenten,6
in schijfjes,9
in uitdrukkingen: zo plat als een,4
is bitter,18
is blauw,25
is bruin,34
is duur,23
is een bes,10
is een citrusvrucht,21
is een noot,5
is een steenvrucht,15
is een vrucht,84
is groen als het nog niet rijp is,10
is groen vanbinnen,10
is groot,27
is klein,70
is krom,16
is langwerpig,5
is mals,10
is moeilijk open te maken,5
is mooi,7
is ook een snoepje,4
is oranje vanbinnen,16
is ovaal,39
is peervormig,6
is rijp in de herfst,9
is rond,152
is sappig,150
is seizoensafhankelijk,6
is te koop op de markt,5
is verfrissend,14
is vers het best,4
is vezelig,4
is voedzaam,8
is wit,14
is zacht,39
is zuur,54
is zwaar,15
is zwart,11
je kan deze leeghalen en er een kaars in steken,5
je kan er sap van maken,60
je kan er soep van maken,14
je kan er thee van maken,6
kan gedroogd worden,33
kan geperst worden tot sap,16
kan giftig zijn,5
kan je eten met lepeltje,8
kan je milkshake van maken,4
kan uitgehold worden,4
kan warm of koud gegeten worden,6
klein en rond,5
kleurrijk,4
komen uit zuid-amerika,5
komt uit Spanje,16
komt uit china,5
komt uit nieuw-zeeland,8
koop je in de winkel,10
korrelig op tong,4
krijg je van sinterklaas,17
kunnen we heel het jaar door eten,4
kwetsbaar,4
lekker,168
lekker bij ijs,11
lekker in coca cola,5
lekker in yoghurt,4
lekker met suiker,4
lijkt op citroen,12
lijkt op een appelsien,12
lijkt op een mandarijn,7
lijkt op een perzik,10
lijkt op framboos,5
maakt vlekken op kleren,19
moet geschild worden,16
niet lekker,15
niet zo bekend hier,4
oranje,100
over de schil kan je uitglijden,4
paars vanbuiten,5
paarse kleur,17
plakkerig,11
puntjes,4
rijk aan vitamine C,16
rode kleur,123
rode kleur vanbuiten,4
rood-geel,6
roodblauw,4
roze van buiten,5
ruikt lekker,19
ruikt zoet,10
ruwe buitenkant,9
siroop,5
smaakt fris,21
soort groente,6
speciale smaak,4
stilt de honger,4
trekt insecten aan,6
typisch frankrijk,8
vaak gegeten bij ham,5
velletjes,4
vlezig,11
vogels eten het graag,16
vogelsoort,10
vooral te krijgen in winter,6
waterig,6
wit vlees,24
worden geplukt,17
wordt Bounty van gemaakt,5
wordt alcohol van gemaakt,7
wordt bruin als het rot,4
wordt confituur van gemaakt,65
wordt frisdrank van gemaakt,6
wordt geassocieerd met apen,9
wordt gebruikt als versiering,28
wordt gebruikt in cocktails,24
wordt gebruikt in een fruitsalade,39
wordt gebruikt in taart,24
wordt gebruikt om appelmoes te maken,4
wordt gebruikt om extra smaak te geven,6
wordt gebruikt op vis,7
wordt gedronken bij ontbijt,4
wordt gegeten door mens en dier,4
wordt gekweekt,4
wordt geïmporteerd,14
wordt ijs van gemaakt,18
wordt in België gekweekt,6
wordt na een tijdje rot,14
wordt ook in blik verkocht,17
wordt snel rot,5
wordt vaak bij konijn gegeten,5
wordt veel gebruikt bij desserts,23
wordt wijn van gemaakt,18
zaadjes,6
"zit vaak in shampoos, douchegel",7
zoet-zuur,6
zoete smaak,198
zomerfruit,102
zuiden,41
