feature,freq
bestaat al lang,15
bestaat in verschillende formaten,4
bestaat in verschillende groottes,16
bestaat in verschillende kleuren,29
bestaat in verschillende lengtes,9
bestaat in verschillende maten,19
bestaat in verschillende soorten,16
bestaat in verschillende vormen,11
bestaat uit verschillende materialen,6
bevat kogels,54
bevindt zich in een museum,8
bevindt zich op een schip,8
daar hak je hout mee,24
dient om een boomhut mee te maken,4
dient om iets op te hangen,4
dient om je te beschermen,40
dient om te boksen,10
dient om te gaan wandelen,12
dient om te schieten,112
dient om te snijden,5
dient voor rond de vingers,6
gaat snel,4
gebruikt buskruit,4
gebruikt door mannen,8
gebruikt een vergunning,23
gebruikt om te klimmen,11
geeft een knal,10
geeft een terugslag,6
gemaakt uit hout,97
gemaakt uit metaal,74
gemaakt uit plastic,12
gemaakt uit steen,5
gemaakt uit vezels,5
gemaakt van kunststof,4
heeft een Y-vorm,5
heeft een donkere kleur,6
heeft een elastiek,21
heeft een handvat,47
heeft een lemmet,9
heeft een lont,8
heeft een loop,17
heeft een negatieve connotatie,5
heeft een pin,18
heeft een punt,31
heeft een steel,26
heeft een stok,14
heeft een trekker,22
heeft kanonkogels,7
heeft rupsbanden,8
heeft wielen,7
het is een voorwerp,26
het weegt niet veel,4
hoort bij een harnas,4
hoort bij een paard,4
is agressief,6
is bloederig,5
is bruin,38
is dik,7
is dun,9
is duur,8
is een geweer,27
is een halve cirkel,6
is een machtsmiddel,5
is een mes,4
is een onderdeel van de schildpad,6
is een vervoersmiddel,8
is een verzamelobject,5
is een voertuig,10
is een werktuig,7
is geladen,4
is gemaakt van een tak,9
is gemaakt van staal,8
is gereedschap,8
is geurloos,8
is gevaarlijk,108
is gevlochten,7
is gewelddadig,11
is grijs,27
is groen,24
is groot,32
is handig,7
is hard,33
is illegaal,6
is kaki,5
is klein,15
is kort,8
is koud,9
is krachtig,4
is krom,8
is lang,37
is langwerpig,21
is middeleeuws,25
is niet eetbaar,4
is niet voor kinderen,5
is niet zomaar te koop,4
is nuttig,6
is ovaal,6
is primitief,4
is rond,16
is scherp,51
is smal,8
is sterk,22
is te zien op tv,4
is van de oertijd,14
is van ijzer,44
is van leer,10
is van rubber,5
is verboden,8
is zilverkleurig,4
is zwaar,72
is zwart,53
je kan er dingen mee vastbinden,23
je kan er iemand mee doden,112
je kan er mee touwtrekken,12
je kan ermee spelen,8
kan als verdediging werken,23
kan als wapen gebruikt worden,138
kan breken,5
kan een regenboog zijn,4
kan je iemand mee bedreigen,4
kan je iemand mee slaan,40
kan je knopen,10
kan je mee sjorren,11
kan je zelf maken,8
kan levens redden,4
kan ontploffen,17
kan pijn doen,52
kan schaden,10
kan versierd zijn,8
kan verwonden,28
komt voor in films,41
maakt lawaai,22
moet je op je schouder leggen,5
staat op een kasteel,5
vernielt,13
veroorzaakt een explosie,4
vindt men in een bos,4
voelt ruw aan,4
werd vroeger gebruikt,32
wordt gebruikt als decoratie,6
wordt gebruikt als speelgoed,19
wordt gebruikt bij baseball,9
wordt gebruikt bij paardrijden,11
wordt gebruikt bij sport,19
wordt gebruikt door Dennis The Menace,4
wordt gebruikt door Robin Hood,7
wordt gebruikt door criminelen,8
wordt gebruikt door een agent,5
wordt gebruikt door een boef,4
wordt gebruikt door een cowboy,4
wordt gebruikt door een hond,11
wordt gebruikt door een houthakker,8
wordt gebruikt door indianen,12
wordt gebruikt door jongens,6
wordt gebruikt door piraten,6
wordt gebruikt door politie,23
wordt gebruikt door ridders,28
wordt gebruikt door soldaten,19
wordt gebruikt in een gevecht,44
wordt gebruikt in het leger,30
wordt gebruikt in spelletjes,7
wordt gebruikt met pijlen,13
wordt gebruikt om bomen om te hakken,7
wordt gebruikt om een overval te plegen,4
wordt gebruikt om iets weg te schieten,8
wordt gebruikt om oorlog te voeren,108
wordt gebruikt om te jagen,55
wordt gebruikt om te martelen,6
wordt gebruikt om te moorden,35
wordt gebruikt om te speerwerpen,5
wordt gebruikt om te steken,12
wordt gebruikt om te straffen,10
wordt gebruikt om te temmen,5
wordt gebruikt voor SM,4
wordt gedragen door een bokser,7
wordt gegooid,20
wordt gemaakt van een boom,9
wordt geslepen,8
wordt in de mond gestoken,4
wordt niet veel gebruikt,4
wordt weggegooid,7
