exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,2.0,3.0,14.0,2.0,11.0,3.0,2.0,3.0,2.0,5.0,4.0,7.0,,,3.0,17.0,5.0,11.0,14.0,2.0,,
dolfijn,2.0,20.0,7.0,2.0,6.0,3.0,2.0,4.0,7.0,6.0,5.0,3.0,3.0,,,4.0,3.0,4.0,6.0,5.0,5.0,,
forel,3.0,7.0,20.0,2.0,3.0,12.0,2.0,7.0,12.0,9.0,15.0,13.0,13.0,,,14.0,12.0,13.0,15.0,13.0,4.0,,
goudvis,14.0,2.0,2.0,20.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,,,3.0,15.0,3.0,3.0,8.0,2.0,,
haai,2.0,6.0,3.0,2.0,20.0,3.0,3.0,5.0,2.0,6.0,3.0,4.0,2.0,,,4.0,2.0,6.0,5.0,6.0,12.0,,
haring,11.0,3.0,12.0,3.0,3.0,20.0,2.0,9.0,5.0,3.0,7.0,11.0,2.0,,,8.0,13.0,12.0,5.0,10.0,3.0,,
inktvis,3.0,2.0,2.0,2.0,3.0,2.0,20.0,2.0,3.0,2.0,5.0,6.0,3.0,,,2.0,2.0,5.0,4.0,2.0,3.0,,
kabeljauw,2.0,4.0,7.0,2.0,5.0,9.0,2.0,20.0,4.0,4.0,10.0,10.0,4.0,,,12.0,7.0,12.0,16.0,14.0,4.0,,
karper,3.0,7.0,12.0,2.0,2.0,5.0,3.0,4.0,20.0,3.0,6.0,16.0,3.0,,,5.0,7.0,7.0,16.0,5.0,4.0,,
orka,2.0,6.0,9.0,2.0,6.0,3.0,2.0,4.0,3.0,20.0,3.0,5.0,3.0,,,3.0,2.0,4.0,4.0,5.0,16.0,,
paling,5.0,5.0,15.0,4.0,3.0,7.0,5.0,10.0,6.0,3.0,20.0,7.0,6.0,,,7.0,4.0,10.0,5.0,8.0,3.0,,
piranha,4.0,3.0,13.0,3.0,4.0,11.0,6.0,10.0,16.0,5.0,7.0,20.0,5.0,,,4.0,5.0,4.0,4.0,7.0,2.0,,
pladijs,7.0,3.0,13.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,6.0,5.0,20.0,,,14.0,3.0,5.0,3.0,12.0,4.0,,
platvis,,,,,,,,,,,,,,20.0,,,,,,,,,
potvis,,,,,,,,,,,,,,,20.0,,,,,,,,
rog,3.0,4.0,14.0,3.0,4.0,8.0,2.0,12.0,5.0,3.0,7.0,4.0,14.0,,,20.0,5.0,3.0,13.0,16.0,4.0,,
sardine,17.0,3.0,12.0,15.0,2.0,13.0,2.0,7.0,7.0,2.0,4.0,5.0,3.0,,,5.0,20.0,3.0,4.0,6.0,3.0,,
snoek,5.0,4.0,13.0,3.0,6.0,12.0,5.0,12.0,7.0,4.0,10.0,4.0,5.0,,,3.0,3.0,20.0,13.0,14.0,4.0,,
stekelbaars,11.0,6.0,15.0,3.0,5.0,5.0,4.0,16.0,16.0,4.0,5.0,4.0,3.0,,,13.0,4.0,13.0,20.0,6.0,5.0,,
tong,14.0,5.0,13.0,8.0,6.0,10.0,2.0,14.0,5.0,5.0,8.0,7.0,12.0,,,16.0,6.0,14.0,6.0,20.0,5.0,,
walvis,2.0,5.0,4.0,2.0,12.0,3.0,3.0,4.0,4.0,16.0,3.0,2.0,4.0,,,4.0,3.0,4.0,5.0,5.0,20.0,,
zalm,,,,,,,,,,,,,,,,,,,,,,20.0,
zwaardvis,,,,,,,,,,,,,,,,,,,,,,,20.0
