exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,,,,,,,,,,,,,,,,,,,,,,
dolfijn,,20.0,,,,,,,,,,,,,,,,,,,,,
forel,,,20.0,,,,,,,,,,,,,,,,,,,,
goudvis,,,,20.0,,,,,,,,,,,,,,,,,,,
haai,,,,,20.0,,,,,,,,,,,,,,,,,,
haring,,,,,,20.0,,,,,,,,,,,,,,,,,
inktvis,,,,,,,20.0,,,,,,,,,,,,,,,,
kabeljauw,,,,,,,,20.0,,,,,,,,,,,,,,,
karper,,,,,,,,,20.0,,,,,,,,,,,,,,
orka,,,,,,,,,,20.0,,,,,,,,,,,,,
paling,,,,,,,,,,,20.0,,,,,,,,,,,,
piranha,,,,,,,,,,,,20.0,,,,,,,,,,,
pladijs,,,,,,,,,,,,,20.0,,,,,,,,,,
platvis,,,,,,,,,,,,,,20.0,,,,,,,,,
potvis,,,,,,,,,,,,,,,20.0,,,,,,,,
rog,,,,,,,,,,,,,,,,20.0,,,,,,,
sardine,,,,,,,,,,,,,,,,,20.0,,,,,,
snoek,,,,,,,,,,,,,,,,,,20.0,,,,,
stekelbaars,,,,,,,,,,,,,,,,,,,20.0,,,,
tong,,,,,,,,,,,,,,,,,,,,20.0,,,
walvis,,,,,,,,,,,,,,,,,,,,,20.0,,
zalm,,,,,,,,,,,,,,,,,,,,,,20.0,
zwaardvis,,,,,,,,,,,,,,,,,,,,,,,20.0
