exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,15.0,2.0,13.0,1.0,1.0,1.0,1.0
dolfijn,1.0,20.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,4.0
forel,4.0,1.0,20.0,1.0,1.0,5.0,1.0,15.0,3.0,11.0,4.0,1.0,4.0,2.0,1.0,1.0,10.0,2.0,2.0,8.0,1.0,9.0,1.0
goudvis,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
haai,1.0,3.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,13.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,5.0
haring,1.0,1.0,5.0,1.0,1.0,20.0,1.0,1.0,10.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,10.0,1.0
inktvis,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kabeljauw,1.0,1.0,15.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,2.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0
karper,2.0,1.0,3.0,1.0,1.0,10.0,1.0,2.0,20.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,2.0
orka,1.0,1.0,11.0,1.0,13.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,5.0
paling,1.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,20.0,1.0,8.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0
piranha,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
pladijs,1.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,8.0,3.0,20.0,9.0,1.0,5.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0
platvis,1.0,1.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,1.0,9.0,20.0,2.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,2.0
potvis,1.0,12.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,1.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,15.0,1.0,5.0
rog,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sardine,15.0,1.0,10.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,20.0,1.0,5.0,1.0,1.0,3.0,1.0
snoek,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,9.0,2.0,1.0,2.0,1.0
stekelbaars,13.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,9.0,20.0,2.0,1.0,1.0,1.0
tong,1.0,1.0,8.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,15.0,1.0,1.0,1.0,2.0,2.0,20.0,1.0,15.0,1.0
walvis,1.0,15.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,10.0
zalm,1.0,1.0,9.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,15.0,1.0,20.0,1.0
zwaardvis,1.0,4.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,10.0,1.0,20.0
