exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,3.0,3.0,14.0,2.0,4.0,4.0,3.0,9.0,2.0,2.0,12.0,11.0,3.0,3.0,11.0,17.0,2.0,6.0,4.0,3.0,3.0,2.0
dolfijn,3.0,20.0,12.0,4.0,2.0,12.0,2.0,3.0,2.0,14.0,4.0,2.0,2.0,2.0,8.0,4.0,3.0,6.0,3.0,2.0,17.0,3.0,9.0
forel,3.0,12.0,20.0,11.0,3.0,12.0,2.0,10.0,10.0,2.0,11.0,4.0,18.0,5.0,10.0,19.0,8.0,13.0,8.0,5.0,2.0,4.0,2.0
goudvis,14.0,4.0,11.0,20.0,2.0,12.0,11.0,9.0,4.0,10.0,2.0,2.0,4.0,2.0,2.0,2.0,15.0,3.0,11.0,3.0,9.0,4.0,2.0
haai,2.0,2.0,3.0,2.0,20.0,2.0,3.0,3.0,3.0,9.0,2.0,2.0,5.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0
haring,4.0,12.0,12.0,12.0,2.0,20.0,2.0,12.0,15.0,13.0,3.0,3.0,13.0,3.0,3.0,6.0,15.0,10.0,17.0,4.0,3.0,6.0,2.0
inktvis,4.0,2.0,2.0,11.0,3.0,2.0,20.0,3.0,11.0,2.0,2.0,2.0,13.0,2.0,9.0,3.0,5.0,3.0,2.0,2.0,9.0,2.0,2.0
kabeljauw,3.0,3.0,10.0,9.0,3.0,12.0,3.0,20.0,12.0,2.0,2.0,3.0,4.0,5.0,2.0,8.0,4.0,11.0,8.0,3.0,3.0,12.0,4.0
karper,9.0,2.0,10.0,4.0,3.0,15.0,11.0,12.0,20.0,2.0,3.0,12.0,3.0,2.0,10.0,3.0,4.0,12.0,13.0,13.0,3.0,12.0,4.0
orka,2.0,14.0,2.0,10.0,9.0,13.0,2.0,2.0,2.0,20.0,3.0,2.0,3.0,9.0,14.0,2.0,3.0,2.0,3.0,2.0,19.0,12.0,6.0
paling,2.0,4.0,11.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,20.0,2.0,4.0,4.0,2.0,9.0,6.0,3.0,2.0,2.0,2.0,2.0,3.0
piranha,12.0,2.0,4.0,2.0,2.0,3.0,2.0,3.0,12.0,2.0,2.0,20.0,3.0,3.0,3.0,3.0,2.0,2.0,11.0,6.0,9.0,5.0,3.0
pladijs,11.0,2.0,18.0,4.0,5.0,13.0,13.0,4.0,3.0,3.0,4.0,3.0,20.0,20.0,4.0,8.0,4.0,3.0,11.0,20.0,3.0,3.0,5.0
platvis,3.0,2.0,5.0,2.0,3.0,3.0,2.0,5.0,2.0,9.0,4.0,3.0,20.0,20.0,3.0,12.0,11.0,3.0,3.0,17.0,3.0,4.0,4.0
potvis,3.0,8.0,10.0,2.0,2.0,3.0,9.0,2.0,10.0,14.0,2.0,3.0,4.0,3.0,20.0,4.0,10.0,2.0,2.0,3.0,17.0,3.0,4.0
rog,11.0,4.0,19.0,2.0,2.0,6.0,3.0,8.0,3.0,2.0,9.0,3.0,8.0,12.0,4.0,20.0,11.0,3.0,3.0,4.0,3.0,3.0,3.0
sardine,17.0,3.0,8.0,15.0,2.0,15.0,5.0,4.0,4.0,3.0,6.0,2.0,4.0,11.0,10.0,11.0,20.0,3.0,6.0,3.0,2.0,4.0,2.0
snoek,2.0,6.0,13.0,3.0,2.0,10.0,3.0,11.0,12.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,20.0,2.0,12.0,2.0,3.0,15.0
stekelbaars,6.0,3.0,8.0,11.0,3.0,17.0,2.0,8.0,13.0,3.0,2.0,11.0,11.0,3.0,2.0,3.0,6.0,2.0,20.0,14.0,2.0,12.0,5.0
tong,4.0,2.0,5.0,3.0,3.0,4.0,2.0,3.0,13.0,2.0,2.0,6.0,20.0,17.0,3.0,4.0,3.0,12.0,14.0,20.0,2.0,4.0,4.0
walvis,3.0,17.0,2.0,9.0,2.0,3.0,9.0,3.0,3.0,19.0,2.0,9.0,3.0,3.0,17.0,3.0,2.0,2.0,2.0,2.0,20.0,3.0,4.0
zalm,3.0,3.0,4.0,4.0,2.0,6.0,2.0,12.0,12.0,12.0,2.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,12.0,4.0,3.0,20.0,11.0
zwaardvis,2.0,9.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,6.0,3.0,3.0,5.0,4.0,4.0,3.0,2.0,15.0,5.0,4.0,4.0,11.0,20.0
