exemplar,ansjovis,dolfijn,forel,goudvis,haai,haring,inktvis,kabeljauw,karper,orka,paling,piranha,pladijs,platvis,potvis,rog,sardine,snoek,stekelbaars,tong,walvis,zalm,zwaardvis
ansjovis,20.0,3.0,15.0,2.0,8.0,16.0,5.0,15.0,9.0,3.0,17.0,,,,,,,,,,,,
dolfijn,3.0,20.0,8.0,1.0,16.0,2.0,5.0,1.0,13.0,3.0,7.0,,,,,,,,,,,,
forel,15.0,8.0,20.0,2.0,5.0,6.0,8.0,8.0,10.0,3.0,15.0,,,,,,,,,,,,
goudvis,2.0,1.0,2.0,20.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,
haai,8.0,16.0,5.0,1.0,20.0,6.0,4.0,5.0,7.0,15.0,3.0,,,,,,,,,,,,
haring,16.0,2.0,6.0,2.0,6.0,20.0,5.0,12.0,9.0,3.0,18.0,,,,,,,,,,,,
inktvis,5.0,5.0,8.0,1.0,4.0,5.0,20.0,6.0,4.0,3.0,4.0,,,,,,,,,,,,
kabeljauw,15.0,1.0,8.0,1.0,5.0,12.0,6.0,20.0,6.0,4.0,16.0,,,,,,,,,,,,
karper,9.0,13.0,10.0,3.0,7.0,9.0,4.0,6.0,20.0,8.0,15.0,,,,,,,,,,,,
orka,3.0,3.0,3.0,1.0,15.0,3.0,3.0,4.0,8.0,20.0,3.0,,,,,,,,,,,,
paling,17.0,7.0,15.0,1.0,3.0,18.0,4.0,16.0,15.0,3.0,20.0,,,,,,,,,,,,
piranha,,,,,,,,,,,,20.0,,,,,,,,,,,
pladijs,,,,,,,,,,,,,20.0,,,,,,,,,,
platvis,,,,,,,,,,,,,,20.0,,,,,,,,,
potvis,,,,,,,,,,,,,,,20.0,,,,,,,,
rog,,,,,,,,,,,,,,,,20.0,,,,,,,
sardine,,,,,,,,,,,,,,,,,20.0,,,,,,
snoek,,,,,,,,,,,,,,,,,,20.0,,,,,
stekelbaars,,,,,,,,,,,,,,,,,,,20.0,,,,
tong,,,,,,,,,,,,,,,,,,,,20.0,,,
walvis,,,,,,,,,,,,,,,,,,,,,20.0,,
zalm,,,,,,,,,,,,,,,,,,,,,,20.0,
zwaardvis,,,,,,,,,,,,,,,,,,,,,,,20.0
