exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,10.0,12.0,10.0,14.0,16.0,12.0,16.0,12.0,6.0,10.0,12.0,12.0,12.0,9.0,12.0,10.0,14.0,5.0,12.0,10.0,14.0,16.0
carp,10.0,20.0,12.0,14.0,6.0,14.0,10.0,1.0,13.0,15.0,12.0,10.0,14.0,12.0,12.0,11.0,8.0,10.0,10.0,10.0,4.0,9.0,9.0
cod,12.0,12.0,20.0,10.0,12.0,16.0,12.0,10.0,15.0,10.0,10.0,10.0,10.0,18.0,1.0,5.0,16.0,12.0,10.0,10.0,15.0,10.0,10.0
dolphin,10.0,14.0,10.0,20.0,15.0,10.0,15.0,9.0,9.0,15.0,4.0,1.0,12.0,12.0,5.0,10.0,11.0,16.0,13.0,14.0,9.0,10.0,15.0
eel,14.0,6.0,12.0,15.0,20.0,14.0,10.0,15.0,10.0,15.0,10.0,10.0,12.0,14.0,15.0,9.0,9.0,2.0,14.0,15.0,15.0,16.0,14.0
flatfish,16.0,14.0,16.0,10.0,14.0,20.0,12.0,14.0,14.0,14.0,12.0,15.0,10.0,4.0,4.0,10.0,10.0,2.0,15.0,6.0,10.0,9.0,12.0
goldfish,12.0,10.0,12.0,15.0,10.0,12.0,20.0,12.0,14.0,15.0,10.0,15.0,12.0,15.0,16.0,18.0,10.0,10.0,16.0,14.0,12.0,11.0,5.0
herring,16.0,1.0,10.0,9.0,15.0,14.0,12.0,20.0,14.0,10.0,9.0,10.0,14.0,14.0,18.0,10.0,14.0,10.0,18.0,9.0,8.0,12.0,14.0
orca,12.0,13.0,15.0,9.0,10.0,14.0,14.0,14.0,20.0,14.0,14.0,15.0,10.0,14.0,10.0,10.0,12.0,14.0,8.0,16.0,15.0,12.0,12.0
pike,6.0,15.0,10.0,15.0,15.0,14.0,15.0,10.0,14.0,20.0,9.0,15.0,9.0,5.0,11.0,15.0,10.0,10.0,10.0,11.0,14.0,12.0,10.0
piranha,10.0,12.0,10.0,4.0,10.0,12.0,10.0,9.0,14.0,9.0,20.0,6.0,10.0,10.0,12.0,6.0,12.0,10.0,15.0,9.0,1.0,18.0,10.0
plaice,12.0,10.0,10.0,1.0,10.0,15.0,15.0,10.0,15.0,15.0,6.0,20.0,10.0,5.0,15.0,9.0,15.0,10.0,12.0,9.0,14.0,2.0,12.0
ray,12.0,14.0,10.0,12.0,12.0,10.0,12.0,14.0,10.0,9.0,10.0,10.0,20.0,15.0,11.0,9.0,12.0,10.0,10.0,1.0,10.0,2.0,16.0
salmon,12.0,12.0,18.0,12.0,14.0,4.0,15.0,14.0,14.0,5.0,10.0,5.0,15.0,20.0,10.0,11.0,15.0,6.0,5.0,1.0,1.0,12.0,10.0
sardine,9.0,12.0,1.0,5.0,15.0,4.0,16.0,18.0,10.0,11.0,12.0,15.0,11.0,10.0,20.0,1.0,15.0,12.0,15.0,1.0,12.0,14.0,1.0
shark,12.0,11.0,5.0,10.0,9.0,10.0,18.0,10.0,10.0,15.0,6.0,9.0,9.0,11.0,1.0,20.0,15.0,14.0,12.0,10.0,12.0,12.0,15.0
sole,10.0,8.0,16.0,11.0,9.0,10.0,10.0,14.0,12.0,10.0,12.0,15.0,12.0,15.0,15.0,15.0,20.0,15.0,10.0,1.0,1.0,15.0,14.0
sperm whale,14.0,10.0,12.0,16.0,2.0,2.0,10.0,10.0,14.0,10.0,10.0,10.0,10.0,6.0,12.0,14.0,15.0,20.0,10.0,15.0,12.0,14.0,11.0
squid,5.0,10.0,10.0,13.0,14.0,15.0,16.0,18.0,8.0,10.0,15.0,12.0,10.0,5.0,15.0,12.0,10.0,10.0,20.0,10.0,14.0,10.0,12.0
stickleback,12.0,10.0,10.0,14.0,15.0,6.0,14.0,9.0,16.0,11.0,9.0,9.0,1.0,1.0,1.0,10.0,1.0,15.0,10.0,20.0,12.0,14.0,14.0
swordfish,10.0,4.0,15.0,9.0,15.0,10.0,12.0,8.0,15.0,14.0,1.0,14.0,10.0,1.0,12.0,12.0,1.0,12.0,14.0,12.0,20.0,14.0,10.0
trout,14.0,9.0,10.0,10.0,16.0,9.0,11.0,12.0,12.0,12.0,18.0,2.0,2.0,12.0,14.0,12.0,15.0,14.0,10.0,14.0,14.0,20.0,10.0
whale,16.0,9.0,10.0,15.0,14.0,12.0,5.0,14.0,12.0,10.0,10.0,12.0,16.0,10.0,1.0,15.0,14.0,11.0,12.0,14.0,10.0,10.0,20.0
