exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,9.0,15.0,3.0,17.0,17.0,2.0,16.0,3.0,16.0,,15.0,14.0,10.0,14.0,8.0,10.0,2.0,5.0,16.0,4.0,15.0,7.0
carp,9.0,20.0,6.0,13.0,15.0,6.0,3.0,9.0,8.0,16.0,,11.0,,10.0,10.0,7.0,3.0,8.0,4.0,15.0,14.0,10.0,13.0
cod,15.0,6.0,20.0,1.0,16.0,5.0,1.0,12.0,4.0,15.0,,15.0,12.0,15.0,15.0,5.0,12.0,2.0,6.0,12.0,13.0,8.0,5.0
dolphin,3.0,13.0,1.0,20.0,7.0,1.0,1.0,2.0,3.0,3.0,,8.0,4.0,1.0,1.0,16.0,1.0,3.0,5.0,1.0,5.0,8.0,10.0
eel,17.0,15.0,16.0,7.0,20.0,17.0,1.0,18.0,3.0,15.0,,18.0,16.0,5.0,14.0,3.0,16.0,15.0,4.0,5.0,4.0,15.0,6.0
flatfish,17.0,6.0,5.0,1.0,17.0,20.0,1.0,10.0,4.0,6.0,,18.0,15.0,3.0,14.0,3.0,15.0,3.0,4.0,13.0,9.0,12.0,1.0
goldfish,2.0,3.0,1.0,1.0,1.0,1.0,20.0,2.0,1.0,1.0,,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0
herring,16.0,9.0,12.0,2.0,18.0,10.0,2.0,20.0,3.0,14.0,,7.0,13.0,13.0,12.0,6.0,14.0,2.0,5.0,12.0,6.0,6.0,4.0
orca,3.0,8.0,4.0,3.0,3.0,4.0,1.0,3.0,20.0,11.0,,1.0,3.0,1.0,1.0,15.0,2.0,18.0,3.0,5.0,8.0,3.0,12.0
pike,16.0,16.0,15.0,3.0,15.0,6.0,1.0,14.0,11.0,20.0,,17.0,3.0,5.0,5.0,14.0,14.0,8.0,15.0,16.0,8.0,5.0,6.0
piranha,,,,,,,,,,,20.0,,,,,,,,,,,,
plaice,15.0,11.0,15.0,8.0,18.0,18.0,2.0,7.0,1.0,17.0,,20.0,16.0,3.0,5.0,3.0,16.0,6.0,15.0,9.0,4.0,15.0,5.0
ray,14.0,,12.0,4.0,16.0,15.0,2.0,13.0,3.0,3.0,,16.0,20.0,9.0,4.0,1.0,15.0,15.0,5.0,6.0,6.0,15.0,2.0
salmon,10.0,10.0,15.0,1.0,5.0,3.0,2.0,13.0,1.0,5.0,,3.0,9.0,20.0,16.0,3.0,5.0,3.0,3.0,2.0,3.0,10.0,2.0
sardine,14.0,10.0,15.0,1.0,14.0,14.0,1.0,12.0,1.0,5.0,,5.0,4.0,16.0,20.0,2.0,9.0,1.0,12.0,6.0,5.0,6.0,3.0
shark,8.0,7.0,5.0,16.0,3.0,3.0,1.0,6.0,15.0,14.0,,3.0,1.0,3.0,2.0,20.0,2.0,15.0,4.0,9.0,12.0,5.0,15.0
sole,10.0,3.0,12.0,1.0,16.0,15.0,1.0,14.0,2.0,14.0,,16.0,15.0,5.0,9.0,2.0,20.0,6.0,8.0,5.0,14.0,17.0,3.0
sperm whale,2.0,8.0,2.0,3.0,15.0,3.0,2.0,2.0,18.0,8.0,,6.0,15.0,3.0,1.0,15.0,6.0,20.0,10.0,1.0,9.0,5.0,16.0
squid,5.0,4.0,6.0,5.0,4.0,4.0,1.0,5.0,3.0,15.0,,15.0,5.0,3.0,12.0,4.0,8.0,10.0,20.0,4.0,6.0,8.0,5.0
stickleback,16.0,15.0,12.0,1.0,5.0,13.0,1.0,12.0,5.0,16.0,,9.0,6.0,2.0,6.0,9.0,5.0,1.0,4.0,20.0,10.0,12.0,4.0
swordfish,4.0,14.0,13.0,5.0,4.0,9.0,1.0,6.0,8.0,8.0,,4.0,6.0,3.0,5.0,12.0,14.0,9.0,6.0,10.0,20.0,4.0,6.0
trout,15.0,10.0,8.0,8.0,15.0,12.0,2.0,6.0,3.0,5.0,,15.0,15.0,10.0,6.0,5.0,17.0,5.0,8.0,12.0,4.0,20.0,13.0
whale,7.0,13.0,5.0,10.0,6.0,1.0,4.0,4.0,12.0,6.0,,5.0,2.0,2.0,3.0,15.0,3.0,16.0,5.0,4.0,6.0,13.0,20.0
