exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,15.0,1.0,1.0,1.0,1.0,13.0,1.0,4.0,1.0
carp,2.0,20.0,2.0,1.0,4.0,1.0,1.0,10.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0
cod,1.0,2.0,20.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,15.0,1.0
dolphin,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,12.0,1.0,1.0,4.0,1.0,15.0
eel,1.0,4.0,2.0,1.0,20.0,2.0,1.0,2.0,1.0,2.0,1.0,8.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0
flatfish,1.0,1.0,4.0,1.0,2.0,20.0,1.0,3.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,15.0,2.0,1.0,1.0,2.0,2.0,1.0
goldfish,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0
herring,1.0,10.0,1.0,1.0,2.0,3.0,1.0,20.0,1.0,2.0,1.0,1.0,1.0,10.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,1.0
orca,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,10.0,1.0,1.0,5.0,11.0,18.0
pike,2.0,8.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,20.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,9.0,1.0,2.0,1.0
piranha,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
plaice,1.0,1.0,5.0,1.0,8.0,9.0,1.0,1.0,1.0,1.0,3.0,20.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
ray,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
salmon,1.0,1.0,1.0,1.0,3.0,1.0,1.0,10.0,1.0,2.0,2.0,4.0,1.0,20.0,3.0,1.0,15.0,1.0,1.0,1.0,1.0,9.0,1.0
sardine,15.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,20.0,1.0,1.0,1.0,1.0,5.0,1.0,10.0,1.0
shark,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,13.0,2.0,2.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0
sole,1.0,1.0,5.0,1.0,2.0,15.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,15.0,1.0,1.0,20.0,1.0,1.0,2.0,1.0,8.0,1.0
sperm whale,1.0,1.0,1.0,12.0,1.0,2.0,11.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,5.0,1.0,15.0
squid,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,1.0,1.0,1.0,1.0
stickleback,13.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,20.0,1.0,2.0,1.0
swordfish,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,20.0,1.0,10.0
trout,4.0,3.0,15.0,1.0,4.0,2.0,1.0,5.0,11.0,2.0,1.0,4.0,1.0,9.0,10.0,1.0,8.0,1.0,1.0,2.0,1.0,20.0,1.0
whale,1.0,1.0,1.0,15.0,1.0,1.0,1.0,1.0,18.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,15.0,1.0,1.0,10.0,1.0,20.0
