exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,12.0,9.0,8.0,9.0,10.0,10.0,9.0,7.0,8.0,8.0,9.0,7.0,10.0,17.0,8.0,7.0,5.0,4.0,11.0,9.0,11.0,11.0
carp,12.0,20.0,13.0,7.0,8.0,10.0,10.0,15.0,7.0,13.0,10.0,8.0,8.0,14.0,11.0,1.0,7.0,10.0,4.0,10.0,12.0,12.0,7.0
cod,9.0,13.0,20.0,9.0,7.0,12.0,11.0,16.0,10.0,11.0,14.0,10.0,10.0,16.0,13.0,8.0,11.0,10.0,4.0,11.0,6.0,14.0,9.0
dolphin,8.0,7.0,9.0,20.0,3.0,8.0,7.0,9.0,15.0,9.0,9.0,7.0,8.0,11.0,7.0,11.0,6.0,12.0,4.0,7.0,10.0,10.0,11.0
eel,9.0,8.0,7.0,3.0,20.0,9.0,7.0,7.0,9.0,8.0,8.0,8.0,5.0,6.0,8.0,6.0,7.0,6.0,8.0,7.0,7.0,9.0,6.0
flatfish,10.0,10.0,12.0,8.0,9.0,20.0,9.0,10.0,6.0,8.0,7.0,12.0,7.0,9.0,10.0,7.0,14.0,7.0,6.0,10.0,9.0,8.0,7.0
goldfish,10.0,10.0,11.0,7.0,7.0,9.0,20.0,10.0,9.0,10.0,7.0,10.0,8.0,8.0,12.0,6.0,5.0,9.0,4.0,9.0,7.0,11.0,9.0
herring,9.0,15.0,16.0,9.0,7.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,6.0,11.0,8.0,13.0,7.0
orca,7.0,7.0,10.0,15.0,9.0,6.0,9.0,10.0,20.0,10.0,13.0,7.0,6.0,8.0,6.0,13.0,8.0,16.0,6.0,9.0,7.0,9.0,14.0
pike,8.0,13.0,11.0,9.0,8.0,8.0,10.0,10.0,10.0,20.0,12.0,8.0,7.0,9.0,12.0,11.0,8.0,8.0,7.0,8.0,9.0,10.0,8.0
piranha,8.0,10.0,14.0,9.0,8.0,7.0,7.0,10.0,13.0,12.0,20.0,7.0,11.0,7.0,8.0,11.0,7.0,10.0,6.0,9.0,10.0,8.0,6.0
plaice,9.0,8.0,10.0,7.0,8.0,12.0,10.0,10.0,7.0,8.0,7.0,20.0,15.0,11.0,8.0,7.0,15.0,8.0,7.0,8.0,7.0,8.0,9.0
ray,7.0,8.0,10.0,8.0,5.0,7.0,8.0,10.0,6.0,7.0,11.0,15.0,20.0,7.0,9.0,6.0,16.0,7.0,6.0,8.0,9.0,10.0,11.0
salmon,10.0,14.0,16.0,11.0,6.0,9.0,8.0,10.0,8.0,9.0,7.0,11.0,7.0,20.0,11.0,10.0,9.0,9.0,4.0,13.0,9.0,14.0,10.0
sardine,17.0,11.0,13.0,7.0,8.0,10.0,12.0,10.0,6.0,12.0,8.0,8.0,9.0,11.0,20.0,10.0,7.0,8.0,7.0,10.0,7.0,12.0,8.0
shark,8.0,1.0,8.0,11.0,6.0,7.0,6.0,8.0,13.0,11.0,11.0,7.0,6.0,10.0,10.0,20.0,5.0,11.0,4.0,8.0,11.0,5.0,10.0
sole,7.0,7.0,11.0,6.0,7.0,14.0,5.0,10.0,8.0,8.0,7.0,15.0,16.0,9.0,7.0,5.0,20.0,7.0,6.0,7.0,9.0,7.0,8.0
sperm whale,5.0,10.0,10.0,12.0,6.0,7.0,9.0,10.0,16.0,8.0,10.0,8.0,7.0,9.0,8.0,11.0,7.0,20.0,4.0,8.0,10.0,9.0,16.0
squid,4.0,4.0,4.0,4.0,8.0,6.0,4.0,6.0,6.0,7.0,6.0,7.0,6.0,4.0,7.0,4.0,6.0,4.0,20.0,6.0,4.0,5.0,4.0
stickleback,11.0,10.0,11.0,7.0,7.0,10.0,9.0,11.0,9.0,8.0,9.0,8.0,8.0,13.0,10.0,8.0,7.0,8.0,6.0,20.0,10.0,11.0,9.0
swordfish,9.0,12.0,6.0,10.0,7.0,9.0,7.0,8.0,7.0,9.0,10.0,7.0,9.0,9.0,7.0,11.0,9.0,10.0,4.0,10.0,20.0,8.0,11.0
trout,11.0,12.0,14.0,10.0,9.0,8.0,11.0,13.0,9.0,10.0,8.0,8.0,10.0,14.0,12.0,5.0,7.0,9.0,5.0,11.0,8.0,20.0,10.0
whale,11.0,7.0,9.0,11.0,6.0,7.0,9.0,7.0,14.0,8.0,6.0,9.0,11.0,10.0,8.0,10.0,8.0,16.0,4.0,9.0,11.0,10.0,20.0
