exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,3.0,2.0,2.0,5.0,2.0,14.0,11.0,2.0,5.0,4.0,7.0,3.0,3.0,17.0,2.0,14.0,2.0,3.0,11.0,2.0,3.0,2.0
carp,3.0,20.0,4.0,7.0,6.0,,2.0,5.0,3.0,7.0,16.0,3.0,5.0,13.0,7.0,2.0,5.0,4.0,3.0,16.0,5.0,12.0,4.0
cod,2.0,4.0,20.0,4.0,10.0,3.0,2.0,9.0,4.0,12.0,10.0,4.0,12.0,17.0,7.0,5.0,14.0,3.0,2.0,16.0,,7.0,4.0
dolphin,2.0,7.0,4.0,20.0,5.0,3.0,2.0,3.0,6.0,4.0,3.0,3.0,4.0,8.0,3.0,6.0,5.0,4.0,2.0,6.0,2.0,7.0,5.0
eel,5.0,6.0,10.0,5.0,20.0,11.0,4.0,7.0,3.0,10.0,7.0,6.0,7.0,4.0,4.0,3.0,8.0,2.0,5.0,5.0,6.0,15.0,3.0
flatfish,2.0,,3.0,3.0,11.0,20.0,2.0,10.0,3.0,8.0,4.0,7.0,10.0,,3.0,3.0,7.0,2.0,4.0,11.0,3.0,7.0,6.0
goldfish,14.0,2.0,2.0,2.0,4.0,2.0,20.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,15.0,2.0,8.0,2.0,2.0,3.0,3.0,2.0,2.0
herring,11.0,5.0,9.0,3.0,7.0,10.0,3.0,20.0,3.0,12.0,11.0,2.0,8.0,5.0,13.0,3.0,10.0,3.0,2.0,5.0,3.0,12.0,3.0
orca,2.0,3.0,4.0,6.0,3.0,3.0,2.0,3.0,20.0,4.0,5.0,3.0,3.0,3.0,2.0,6.0,5.0,16.0,2.0,4.0,4.0,9.0,16.0
pike,5.0,7.0,12.0,4.0,10.0,8.0,3.0,12.0,4.0,20.0,4.0,5.0,3.0,14.0,3.0,6.0,14.0,5.0,5.0,13.0,4.0,13.0,4.0
piranha,4.0,16.0,10.0,3.0,7.0,4.0,3.0,11.0,5.0,4.0,20.0,5.0,4.0,4.0,5.0,4.0,7.0,7.0,6.0,4.0,6.0,13.0,2.0
plaice,7.0,3.0,4.0,3.0,6.0,7.0,3.0,2.0,3.0,5.0,5.0,20.0,14.0,3.0,3.0,2.0,12.0,,3.0,3.0,3.0,13.0,4.0
ray,3.0,5.0,12.0,4.0,7.0,10.0,3.0,8.0,3.0,3.0,4.0,14.0,20.0,7.0,5.0,4.0,16.0,2.0,2.0,13.0,,14.0,4.0
salmon,3.0,13.0,17.0,8.0,4.0,,2.0,5.0,3.0,14.0,4.0,3.0,7.0,20.0,4.0,4.0,10.0,4.0,7.0,16.0,4.0,8.0,11.0
sardine,17.0,7.0,7.0,3.0,4.0,3.0,15.0,13.0,2.0,3.0,5.0,3.0,5.0,4.0,20.0,2.0,6.0,2.0,2.0,4.0,2.0,12.0,3.0
shark,2.0,2.0,5.0,6.0,3.0,3.0,2.0,3.0,6.0,6.0,4.0,2.0,4.0,4.0,2.0,20.0,6.0,7.0,3.0,5.0,6.0,3.0,12.0
sole,14.0,5.0,14.0,5.0,8.0,7.0,8.0,10.0,5.0,14.0,7.0,12.0,16.0,10.0,6.0,6.0,20.0,3.0,2.0,6.0,5.0,13.0,5.0
sperm whale,2.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,16.0,5.0,7.0,,2.0,4.0,2.0,7.0,3.0,20.0,3.0,3.0,5.0,3.0,12.0
squid,3.0,3.0,2.0,2.0,5.0,4.0,2.0,2.0,2.0,5.0,6.0,3.0,2.0,7.0,2.0,3.0,2.0,3.0,20.0,4.0,5.0,2.0,3.0
stickleback,11.0,16.0,16.0,6.0,5.0,11.0,3.0,5.0,4.0,13.0,4.0,3.0,13.0,16.0,4.0,5.0,6.0,3.0,4.0,20.0,8.0,15.0,5.0
swordfish,2.0,5.0,,2.0,6.0,3.0,3.0,3.0,4.0,4.0,6.0,3.0,,4.0,2.0,6.0,5.0,5.0,5.0,8.0,20.0,6.0,5.0
trout,3.0,12.0,7.0,7.0,15.0,7.0,2.0,12.0,9.0,13.0,13.0,13.0,14.0,8.0,12.0,3.0,13.0,3.0,2.0,15.0,6.0,20.0,4.0
whale,2.0,4.0,4.0,5.0,3.0,6.0,2.0,3.0,16.0,4.0,2.0,4.0,4.0,11.0,3.0,12.0,5.0,12.0,3.0,5.0,5.0,4.0,20.0
