exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,13.0,11.0,8.0,7.0,13.0,13.0,8.0,9.0,11.0,13.0,14.0,9.0,16.0,20.0,15.0,15.0,11.0,5.0,13.0,14.0,12.0,6.0
carp,13.0,20.0,15.0,13.0,9.0,11.0,13.0,15.0,12.0,17.0,16.0,12.0,14.0,15.0,14.0,16.0,14.0,15.0,12.0,16.0,16.0,18.0,12.0
cod,11.0,15.0,20.0,13.0,11.0,11.0,15.0,16.0,9.0,16.0,10.0,13.0,14.0,16.0,12.0,14.0,15.0,10.0,7.0,15.0,15.0,16.0,14.0
dolphin,8.0,13.0,13.0,20.0,11.0,11.0,14.0,8.0,12.0,13.0,10.0,13.0,13.0,13.0,6.0,14.0,12.0,16.0,10.0,14.0,13.0,13.0,16.0
eel,7.0,9.0,11.0,11.0,20.0,12.0,14.0,14.0,5.0,11.0,10.0,11.0,13.0,9.0,12.0,5.0,12.0,8.0,10.0,10.0,14.0,11.0,10.0
flatfish,13.0,11.0,11.0,11.0,12.0,20.0,15.0,12.0,12.0,13.0,9.0,12.0,17.0,14.0,13.0,12.0,16.0,12.0,12.0,17.0,14.0,15.0,14.0
goldfish,13.0,13.0,15.0,14.0,14.0,15.0,20.0,16.0,7.0,12.0,15.0,13.0,14.0,14.0,7.0,7.0,8.0,8.0,2.0,13.0,7.0,11.0,13.0
herring,8.0,15.0,16.0,8.0,14.0,12.0,16.0,20.0,12.0,15.0,14.0,10.0,11.0,18.0,15.0,14.0,15.0,11.0,11.0,14.0,12.0,16.0,12.0
orca,9.0,12.0,9.0,12.0,5.0,12.0,7.0,12.0,20.0,11.0,14.0,13.0,9.0,12.0,9.0,18.0,12.0,12.0,14.0,14.0,17.0,11.0,17.0
pike,11.0,17.0,16.0,13.0,11.0,13.0,12.0,15.0,11.0,20.0,16.0,14.0,12.0,17.0,12.0,15.0,14.0,11.0,11.0,13.0,16.0,15.0,12.0
piranha,13.0,16.0,10.0,10.0,10.0,9.0,15.0,14.0,14.0,16.0,20.0,5.0,8.0,10.0,11.0,17.0,12.0,12.0,9.0,16.0,17.0,15.0,14.0
plaice,14.0,12.0,13.0,13.0,11.0,12.0,13.0,10.0,13.0,14.0,5.0,20.0,16.0,16.0,15.0,10.0,15.0,8.0,11.0,14.0,10.0,16.0,7.0
ray,9.0,14.0,14.0,13.0,13.0,17.0,14.0,11.0,9.0,12.0,8.0,16.0,20.0,13.0,11.0,13.0,15.0,10.0,13.0,13.0,13.0,16.0,10.0
salmon,16.0,15.0,16.0,13.0,9.0,14.0,14.0,18.0,12.0,17.0,10.0,16.0,13.0,20.0,15.0,11.0,15.0,8.0,7.0,15.0,12.0,15.0,12.0
sardine,20.0,14.0,12.0,6.0,12.0,13.0,7.0,15.0,9.0,12.0,11.0,15.0,11.0,15.0,20.0,12.0,13.0,6.0,7.0,9.0,15.0,9.0,6.0
shark,15.0,16.0,14.0,14.0,5.0,12.0,7.0,14.0,18.0,15.0,17.0,10.0,13.0,11.0,12.0,20.0,14.0,16.0,13.0,16.0,16.0,8.0,14.0
sole,15.0,14.0,15.0,12.0,12.0,16.0,8.0,15.0,12.0,14.0,12.0,15.0,15.0,15.0,13.0,14.0,20.0,9.0,11.0,15.0,13.0,16.0,13.0
sperm whale,11.0,15.0,10.0,16.0,8.0,12.0,8.0,11.0,12.0,11.0,12.0,8.0,10.0,8.0,6.0,16.0,9.0,20.0,14.0,14.0,16.0,8.0,19.0
squid,5.0,12.0,7.0,10.0,10.0,12.0,2.0,11.0,14.0,11.0,9.0,11.0,13.0,7.0,7.0,13.0,11.0,14.0,20.0,14.0,12.0,6.0,15.0
stickleback,13.0,16.0,15.0,14.0,10.0,17.0,13.0,14.0,14.0,13.0,16.0,14.0,13.0,15.0,9.0,16.0,15.0,14.0,14.0,20.0,11.0,13.0,9.0
swordfish,14.0,16.0,15.0,13.0,14.0,14.0,7.0,12.0,17.0,16.0,17.0,10.0,13.0,12.0,15.0,16.0,13.0,16.0,12.0,11.0,20.0,12.0,16.0
trout,12.0,18.0,16.0,13.0,11.0,15.0,11.0,16.0,11.0,15.0,15.0,16.0,16.0,15.0,9.0,8.0,16.0,8.0,6.0,13.0,12.0,20.0,10.0
whale,6.0,12.0,14.0,16.0,10.0,14.0,13.0,12.0,17.0,12.0,14.0,7.0,10.0,12.0,6.0,14.0,13.0,19.0,15.0,9.0,16.0,10.0,20.0
