exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,13.0,14.0,10.0,14.0,13.0,10.0,14.0,9.0,13.0,11.0,13.0,12.0,12.0,18.0,12.0,12.0,11.0,7.0,13.0,10.0,14.0,9.0
carp,13.0,20.0,14.0,11.0,12.0,13.0,12.0,16.0,12.0,18.0,13.0,13.0,13.0,15.0,16.0,13.0,14.0,11.0,10.0,13.0,9.0,14.0,11.0
cod,14.0,14.0,20.0,13.0,12.0,13.0,13.0,14.0,11.0,15.0,11.0,13.0,16.0,12.0,13.0,13.0,12.0,10.0,11.0,12.0,11.0,15.0,11.0
dolphin,10.0,11.0,13.0,20.0,10.0,12.0,8.0,11.0,15.0,11.0,10.0,11.0,11.0,12.0,11.0,14.0,13.0,13.0,13.0,8.0,11.0,13.0,14.0
eel,14.0,12.0,12.0,10.0,20.0,13.0,11.0,13.0,11.0,12.0,11.0,13.0,13.0,14.0,12.0,12.0,12.0,10.0,11.0,11.0,10.0,16.0,9.0
flatfish,13.0,13.0,13.0,12.0,13.0,20.0,11.0,15.0,11.0,11.0,12.0,20.0,12.0,13.0,11.0,10.0,15.0,9.0,9.0,12.0,13.0,13.0,12.0
goldfish,10.0,12.0,13.0,8.0,11.0,11.0,20.0,12.0,11.0,11.0,8.0,12.0,9.0,11.0,13.0,10.0,11.0,9.0,8.0,16.0,10.0,11.0,9.0
herring,14.0,16.0,14.0,11.0,13.0,15.0,12.0,20.0,11.0,14.0,11.0,11.0,14.0,15.0,16.0,9.0,14.0,11.0,8.0,13.0,13.0,16.0,12.0
orca,9.0,12.0,11.0,15.0,11.0,11.0,11.0,11.0,20.0,12.0,13.0,12.0,11.0,11.0,11.0,15.0,10.0,14.0,10.0,11.0,16.0,12.0,17.0
pike,13.0,18.0,15.0,11.0,12.0,11.0,11.0,14.0,12.0,20.0,15.0,12.0,14.0,12.0,13.0,13.0,13.0,11.0,11.0,16.0,11.0,16.0,13.0
piranha,11.0,13.0,11.0,10.0,11.0,12.0,8.0,11.0,13.0,15.0,20.0,9.0,11.0,15.0,12.0,14.0,11.0,7.0,9.0,13.0,12.0,12.0,10.0
plaice,13.0,13.0,13.0,11.0,13.0,20.0,12.0,11.0,12.0,12.0,9.0,20.0,11.0,13.0,14.0,11.0,14.0,12.0,11.0,12.0,9.0,12.0,12.0
ray,12.0,13.0,16.0,11.0,13.0,12.0,9.0,14.0,11.0,14.0,11.0,11.0,20.0,17.0,10.0,12.0,15.0,10.0,11.0,14.0,14.0,14.0,11.0
salmon,12.0,15.0,12.0,12.0,14.0,13.0,11.0,15.0,11.0,12.0,15.0,13.0,17.0,20.0,13.0,12.0,14.0,11.0,10.0,11.0,10.0,17.0,12.0
sardine,18.0,16.0,13.0,11.0,12.0,11.0,13.0,16.0,11.0,13.0,12.0,14.0,10.0,13.0,20.0,11.0,15.0,10.0,10.0,14.0,11.0,13.0,9.0
shark,12.0,13.0,13.0,14.0,12.0,10.0,10.0,9.0,15.0,13.0,14.0,11.0,12.0,12.0,11.0,20.0,12.0,12.0,10.0,10.0,12.0,13.0,12.0
sole,12.0,14.0,12.0,13.0,12.0,15.0,11.0,14.0,10.0,13.0,11.0,14.0,15.0,14.0,15.0,12.0,20.0,12.0,10.0,13.0,11.0,15.0,11.0
sperm whale,11.0,11.0,10.0,13.0,10.0,9.0,9.0,11.0,14.0,11.0,7.0,12.0,10.0,11.0,10.0,12.0,12.0,20.0,12.0,11.0,14.0,10.0,17.0
squid,7.0,10.0,11.0,13.0,11.0,9.0,8.0,8.0,10.0,11.0,9.0,11.0,11.0,10.0,10.0,10.0,10.0,12.0,20.0,11.0,10.0,8.0,13.0
stickleback,13.0,13.0,12.0,8.0,11.0,12.0,16.0,13.0,11.0,16.0,13.0,12.0,14.0,11.0,14.0,10.0,13.0,11.0,11.0,20.0,11.0,14.0,10.0
swordfish,10.0,9.0,11.0,11.0,10.0,13.0,10.0,13.0,16.0,11.0,12.0,9.0,14.0,10.0,11.0,12.0,11.0,14.0,10.0,11.0,20.0,12.0,18.0
trout,14.0,14.0,15.0,13.0,16.0,13.0,11.0,16.0,12.0,16.0,12.0,12.0,14.0,17.0,13.0,13.0,15.0,10.0,8.0,14.0,12.0,20.0,11.0
whale,9.0,11.0,11.0,14.0,9.0,12.0,9.0,12.0,17.0,13.0,10.0,12.0,11.0,12.0,9.0,12.0,11.0,17.0,13.0,10.0,18.0,11.0,20.0
