exemplar,anchovy,carp,cod,dolphin,eel,flatfish,goldfish,herring,orca,pike,piranha,plaice,ray,salmon,sardine,shark,sole,sperm whale,squid,stickleback,swordfish,trout,whale
anchovy,20.0,15.0,10.0,6.0,6.0,9.0,12.0,5.0,4.0,9.0,6.0,10.0,10.0,9.0,15.0,3.0,14.0,3.0,3.0,4.0,2.0,13.0,6.0
carp,15.0,20.0,15.0,9.0,15.0,10.0,14.0,15.0,5.0,12.0,10.0,3.0,6.0,16.0,12.0,2.0,4.0,6.0,2.0,10.0,8.0,10.0,2.0
cod,10.0,15.0,20.0,5.0,15.0,15.0,10.0,15.0,8.0,10.0,3.0,15.0,6.0,18.0,15.0,15.0,6.0,6.0,2.0,15.0,6.0,14.0,10.0
dolphin,6.0,9.0,5.0,20.0,10.0,10.0,6.0,6.0,18.0,12.0,3.0,6.0,7.0,10.0,3.0,15.0,6.0,16.0,2.0,10.0,9.0,6.0,15.0
eel,6.0,15.0,15.0,10.0,20.0,6.0,6.0,16.0,4.0,6.0,3.0,4.0,10.0,15.0,15.0,6.0,15.0,2.0,6.0,15.0,2.0,18.0,6.0
flatfish,9.0,10.0,15.0,10.0,6.0,20.0,8.0,16.0,3.0,6.0,3.0,14.0,10.0,10.0,9.0,14.0,15.0,9.0,2.0,13.0,14.0,14.0,6.0
goldfish,12.0,14.0,10.0,6.0,6.0,8.0,20.0,7.0,4.0,15.0,10.0,6.0,4.0,3.0,12.0,3.0,6.0,2.0,2.0,15.0,2.0,6.0,10.0
herring,5.0,15.0,15.0,6.0,16.0,16.0,7.0,20.0,6.0,10.0,2.0,15.0,15.0,18.0,9.0,6.0,15.0,4.0,2.0,10.0,15.0,12.0,6.0
orca,4.0,5.0,8.0,18.0,4.0,3.0,4.0,6.0,20.0,7.0,2.0,2.0,2.0,6.0,6.0,18.0,3.0,18.0,2.0,3.0,15.0,4.0,18.0
pike,9.0,12.0,10.0,12.0,6.0,6.0,15.0,10.0,7.0,20.0,4.0,12.0,9.0,4.0,13.0,15.0,13.0,6.0,1.0,5.0,6.0,16.0,6.0
piranha,6.0,10.0,3.0,3.0,3.0,3.0,10.0,2.0,2.0,4.0,20.0,3.0,4.0,3.0,10.0,3.0,3.0,6.0,2.0,5.0,1.0,3.0,14.0
plaice,10.0,3.0,15.0,6.0,4.0,14.0,6.0,15.0,2.0,12.0,3.0,20.0,6.0,16.0,12.0,6.0,6.0,3.0,2.0,3.0,6.0,15.0,3.0
ray,10.0,6.0,6.0,7.0,10.0,10.0,4.0,15.0,2.0,9.0,4.0,6.0,20.0,16.0,10.0,12.0,14.0,7.0,2.0,10.0,8.0,18.0,11.0
salmon,9.0,16.0,18.0,10.0,15.0,10.0,3.0,18.0,6.0,4.0,3.0,16.0,16.0,20.0,5.0,3.0,12.0,6.0,5.0,12.0,6.0,18.0,4.0
sardine,15.0,12.0,15.0,3.0,15.0,9.0,12.0,9.0,6.0,13.0,10.0,12.0,10.0,5.0,20.0,2.0,9.0,3.0,1.0,9.0,1.0,6.0,4.0
shark,3.0,2.0,15.0,15.0,6.0,14.0,3.0,6.0,18.0,15.0,3.0,6.0,12.0,3.0,2.0,20.0,3.0,15.0,2.0,6.0,18.0,9.0,15.0
sole,14.0,4.0,6.0,6.0,15.0,15.0,6.0,15.0,3.0,13.0,3.0,6.0,14.0,12.0,9.0,3.0,20.0,5.0,2.0,10.0,15.0,15.0,2.0
sperm whale,3.0,6.0,6.0,16.0,2.0,9.0,2.0,4.0,18.0,6.0,6.0,3.0,7.0,6.0,3.0,15.0,5.0,20.0,4.0,13.0,12.0,3.0,18.0
squid,3.0,2.0,2.0,2.0,6.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.0,2.0,2.0,4.0,20.0,2.0,2.0,2.0,2.0
stickleback,4.0,10.0,15.0,10.0,15.0,13.0,15.0,10.0,3.0,5.0,5.0,3.0,10.0,12.0,9.0,6.0,10.0,13.0,2.0,20.0,10.0,13.0,4.0
swordfish,2.0,8.0,6.0,9.0,2.0,14.0,2.0,15.0,15.0,6.0,1.0,6.0,8.0,6.0,1.0,18.0,15.0,12.0,2.0,10.0,20.0,10.0,3.0
trout,13.0,10.0,14.0,6.0,18.0,14.0,6.0,12.0,4.0,16.0,3.0,15.0,18.0,18.0,6.0,9.0,15.0,3.0,2.0,13.0,10.0,20.0,3.0
whale,6.0,2.0,10.0,15.0,6.0,6.0,10.0,6.0,18.0,6.0,14.0,3.0,11.0,4.0,4.0,15.0,2.0,18.0,2.0,4.0,3.0,3.0,20.0
