exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,12.0,3.0,8.0,8.0,7.0,8.0,4.0,7.0,10.0,4.0,8.0,7.0,2.0,9.0,6.0,8.0,4.0,4.0,5.0,5.0,3.0,3.0,2.0,4.0,6.0,5.0,4.0,5.0,15.0
airplane,12.0,20.0,4.0,3.0,8.0,3.0,8.0,4.0,4.0,14.0,8.0,3.0,3.0,4.0,8.0,9.0,5.0,4.0,8.0,2.0,8.0,4.0,5.0,4.0,9.0,2.0,8.0,5.0,3.0,12.0
bicycle,3.0,4.0,20.0,5.0,7.0,7.0,10.0,8.0,5.0,5.0,5.0,8.0,9.0,15.0,10.0,3.0,16.0,8.0,7.0,8.0,3.0,8.0,3.0,5.0,9.0,5.0,4.0,5.0,9.0,3.0
boat,8.0,3.0,5.0,20.0,10.0,5.0,5.0,3.0,8.0,2.0,13.0,10.0,8.0,7.0,4.0,3.0,3.0,3.0,4.0,11.0,3.0,5.0,9.0,9.0,11.0,5.0,3.0,5.0,6.0,10.0
bus,8.0,8.0,7.0,10.0,20.0,7.0,11.0,8.0,8.0,5.0,4.0,6.0,7.0,5.0,6.0,8.0,9.0,5.0,4.0,3.0,9.0,10.0,8.0,10.0,9.0,12.0,10.0,12.0,12.0,7.0
car,7.0,3.0,7.0,5.0,7.0,20.0,10.0,9.0,11.0,7.0,9.0,19.0,5.0,9.0,12.0,2.0,8.0,8.0,3.0,3.0,5.0,15.0,9.0,8.0,7.0,5.0,10.0,8.0,8.0,5.0
carriage,8.0,8.0,10.0,5.0,11.0,10.0,20.0,12.0,7.0,6.0,3.0,9.0,6.0,9.0,3.0,2.0,3.0,8.0,11.0,5.0,4.0,10.0,3.0,5.0,6.0,7.0,5.0,3.0,9.0,5.0
cart,4.0,4.0,8.0,3.0,8.0,9.0,12.0,20.0,5.0,8.0,5.0,3.0,9.0,7.0,5.0,4.0,4.0,4.0,11.0,8.0,5.0,9.0,5.0,10.0,8.0,5.0,4.0,8.0,10.0,2.0
go-cart,7.0,4.0,5.0,8.0,8.0,11.0,7.0,5.0,20.0,5.0,4.0,9.0,7.0,9.0,6.0,2.0,12.0,5.0,10.0,3.0,3.0,8.0,8.0,2.0,3.0,5.0,5.0,3.0,10.0,9.0
helicopter,10.0,14.0,5.0,2.0,5.0,7.0,6.0,8.0,5.0,20.0,5.0,9.0,3.0,4.0,7.0,7.0,4.0,3.0,5.0,7.0,9.0,5.0,4.0,4.0,4.0,4.0,9.0,5.0,4.0,7.0
hovercraft,4.0,8.0,5.0,13.0,4.0,9.0,3.0,5.0,4.0,5.0,20.0,5.0,3.0,6.0,5.0,4.0,4.0,2.0,4.0,8.0,2.0,8.0,6.0,6.0,7.0,8.0,6.0,2.0,3.0,6.0
jeep,8.0,3.0,8.0,10.0,6.0,19.0,9.0,3.0,9.0,9.0,5.0,20.0,3.0,5.0,10.0,8.0,9.0,8.0,3.0,5.0,3.0,14.0,6.0,7.0,7.0,5.0,5.0,10.0,10.0,6.0
kick scooter,7.0,3.0,9.0,8.0,7.0,5.0,6.0,9.0,7.0,3.0,3.0,3.0,20.0,9.0,8.0,5.0,9.0,14.0,10.0,5.0,3.0,4.0,2.0,6.0,2.0,9.0,5.0,2.0,4.0,7.0
motorbike (brommer),2.0,4.0,15.0,7.0,5.0,9.0,9.0,7.0,9.0,4.0,6.0,5.0,9.0,20.0,18.0,3.0,18.0,6.0,7.0,1.0,2.0,9.0,12.0,6.0,7.0,8.0,9.0,3.0,9.0,5.0
motorbike (moto),9.0,8.0,10.0,4.0,6.0,12.0,3.0,5.0,6.0,7.0,5.0,10.0,8.0,18.0,20.0,3.0,18.0,7.0,9.0,2.0,5.0,9.0,6.0,3.0,2.0,5.0,5.0,9.0,7.0,8.0
rocket,6.0,9.0,3.0,3.0,8.0,2.0,2.0,4.0,2.0,7.0,4.0,8.0,5.0,3.0,3.0,20.0,2.0,5.0,4.0,9.0,3.0,2.0,5.0,8.0,4.0,2.0,3.0,6.0,3.0,9.0
scooter,8.0,5.0,16.0,3.0,9.0,8.0,3.0,4.0,12.0,4.0,4.0,9.0,9.0,18.0,18.0,2.0,20.0,10.0,4.0,3.0,5.0,5.0,5.0,8.0,6.0,9.0,7.0,5.0,9.0,5.0
skateboard,4.0,4.0,8.0,3.0,5.0,8.0,8.0,4.0,5.0,3.0,2.0,8.0,14.0,6.0,7.0,5.0,10.0,20.0,10.0,2.0,3.0,7.0,5.0,8.0,3.0,5.0,5.0,4.0,6.0,5.0
sled,4.0,8.0,7.0,4.0,4.0,3.0,11.0,11.0,10.0,5.0,4.0,3.0,10.0,7.0,9.0,4.0,4.0,10.0,20.0,4.0,5.0,7.0,9.0,6.0,6.0,7.0,6.0,3.0,3.0,3.0
