exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,12.0,4.0,6.0,2.0,3.0,2.0,4.0,1.0,11.0,15.0,1.0,1.0,2.0,4.0,11.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,7.0,3.0,4.0,3.0,7.0,6.0,17.0
airplane,12.0,20.0,2.0,10.0,11.0,9.0,5.0,2.0,4.0,13.0,8.0,8.0,2.0,4.0,2.0,14.0,3.0,4.0,3.0,6.0,7.0,11.0,4.0,4.0,8.0,2.0,8.0,9.0,7.0,12.0
bicycle,4.0,2.0,20.0,7.0,6.0,8.0,3.0,4.0,12.0,3.0,2.0,6.0,11.0,13.0,15.0,2.0,15.0,5.0,9.0,1.0,5.0,2.0,4.0,8.0,7.0,3.0,4.0,4.0,6.0,4.0
boat,6.0,10.0,7.0,20.0,6.0,6.0,3.0,9.0,1.0,8.0,12.0,8.0,1.0,2.0,3.0,8.0,1.0,2.0,2.0,10.0,4.0,4.0,2.0,3.0,8.0,5.0,8.0,4.0,5.0,9.0
bus,2.0,11.0,6.0,6.0,20.0,12.0,3.0,4.0,3.0,6.0,8.0,7.0,6.0,8.0,5.0,11.0,6.0,2.0,2.0,2.0,5.0,14.0,7.0,5.0,11.0,12.0,15.0,14.0,12.0,2.0
car,3.0,9.0,8.0,6.0,12.0,20.0,8.0,8.0,9.0,6.0,5.0,18.0,4.0,8.0,12.0,3.0,5.0,2.0,4.0,6.0,8.0,18.0,8.0,8.0,8.0,7.0,4.0,16.0,11.0,4.0
carriage,2.0,5.0,3.0,3.0,3.0,8.0,20.0,18.0,3.0,2.0,3.0,8.0,2.0,8.0,4.0,2.0,6.0,6.0,12.0,3.0,4.0,7.0,8.0,2.0,6.0,10.0,8.0,6.0,9.0,2.0
cart,4.0,2.0,4.0,9.0,4.0,8.0,18.0,20.0,8.0,1.0,1.0,5.0,2.0,5.0,4.0,2.0,3.0,6.0,13.0,1.0,1.0,8.0,5.0,6.0,4.0,5.0,8.0,9.0,8.0,2.0
go-cart,1.0,4.0,12.0,1.0,3.0,9.0,3.0,8.0,20.0,3.0,2.0,4.0,7.0,5.0,8.0,1.0,5.0,11.0,8.0,2.0,2.0,5.0,2.0,2.0,5.0,2.0,6.0,5.0,4.0,1.0
helicopter,11.0,13.0,3.0,8.0,6.0,6.0,2.0,1.0,3.0,20.0,4.0,5.0,1.0,4.0,8.0,11.0,5.0,4.0,1.0,4.0,5.0,6.0,6.0,8.0,6.0,7.0,3.0,6.0,5.0,14.0
hovercraft,15.0,8.0,2.0,12.0,8.0,5.0,3.0,1.0,2.0,4.0,20.0,3.0,1.0,3.0,3.0,5.0,3.0,5.0,7.0,8.0,2.0,6.0,4.0,4.0,6.0,2.0,4.0,6.0,6.0,9.0
jeep,1.0,8.0,6.0,8.0,7.0,18.0,8.0,5.0,4.0,5.0,3.0,20.0,6.0,6.0,9.0,3.0,8.0,3.0,6.0,7.0,6.0,10.0,8.0,6.0,11.0,5.0,9.0,12.0,15.0,1.0
kick scooter,1.0,2.0,11.0,1.0,6.0,4.0,2.0,2.0,7.0,1.0,1.0,6.0,20.0,6.0,5.0,3.0,3.0,9.0,7.0,1.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,4.0
motorbike (brommer),2.0,4.0,13.0,2.0,8.0,8.0,8.0,5.0,5.0,4.0,3.0,6.0,6.0,20.0,18.0,1.0,16.0,6.0,3.0,2.0,3.0,5.0,7.0,3.0,6.0,4.0,6.0,5.0,6.0,2.0
motorbike (moto),4.0,2.0,15.0,3.0,5.0,12.0,4.0,4.0,8.0,8.0,3.0,9.0,5.0,18.0,20.0,7.0,18.0,3.0,7.0,3.0,2.0,3.0,7.0,2.0,7.0,2.0,7.0,4.0,3.0,2.0
rocket,11.0,14.0,2.0,8.0,11.0,3.0,2.0,2.0,1.0,11.0,5.0,3.0,3.0,1.0,7.0,20.0,2.0,1.0,2.0,6.0,6.0,6.0,1.0,4.0,3.0,1.0,4.0,6.0,6.0,5.0
scooter,2.0,3.0,15.0,1.0,6.0,5.0,6.0,3.0,5.0,5.0,3.0,8.0,3.0,16.0,18.0,2.0,20.0,4.0,6.0,4.0,4.0,6.0,6.0,3.0,3.0,6.0,8.0,3.0,7.0,5.0
skateboard,1.0,4.0,5.0,2.0,2.0,2.0,6.0,6.0,11.0,4.0,5.0,3.0,9.0,6.0,3.0,1.0,4.0,20.0,11.0,5.0,2.0,3.0,2.0,2.0,2.0,6.0,1.0,3.0,3.0,2.0
sled,3.0,3.0,9.0,2.0,2.0,4.0,12.0,13.0,8.0,1.0,7.0,6.0,7.0,3.0,7.0,2.0,6.0,11.0,20.0,2.0,11.0,3.0,3.0,3.0,6.0,5.0,3.0,2.0,6.0,3.0
submarine,2.0,6.0,1.0,10.0,2.0,6.0,3.0,1.0,2.0,4.0,8.0,7.0,1.0,2.0,3.0,6.0,4.0,5.0,2.0,20.0,8.0,6.0,2.0,6.0,2.0,1.0,8.0,6.0,8.0,4.0
subway train,3.0,7.0,5.0,4.0,5.0,8.0,4.0,1.0,2.0,5.0,2.0,6.0,2.0,3.0,2.0,6.0,4.0,2.0,11.0,8.0,20.0,12.0,5.0,5.0,16.0,18.0,4.0,8.0,2.0,1.0
taxi,2.0,11.0,2.0,4.0,14.0,18.0,7.0,8.0,5.0,6.0,6.0,10.0,2.0,5.0,3.0,6.0,6.0,3.0,3.0,6.0,12.0,20.0,3.0,7.0,4.0,9.0,7.0,7.0,12.0,3.0
tractor,4.0,4.0,4.0,2.0,7.0,8.0,8.0,5.0,2.0,6.0,4.0,8.0,3.0,7.0,7.0,1.0,6.0,2.0,3.0,2.0,5.0,3.0,20.0,7.0,6.0,6.0,10.0,8.0,10.0,2.0
trailer,7.0,4.0,8.0,3.0,5.0,8.0,2.0,6.0,2.0,8.0,4.0,6.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,6.0,5.0,7.0,7.0,20.0,5.0,6.0,13.0,6.0,13.0,2.0
train,3.0,8.0,7.0,8.0,11.0,8.0,6.0,4.0,5.0,6.0,6.0,11.0,3.0,6.0,7.0,3.0,3.0,2.0,6.0,2.0,16.0,4.0,6.0,5.0,20.0,16.0,5.0,8.0,6.0,5.0
tram,4.0,2.0,3.0,5.0,12.0,7.0,10.0,5.0,2.0,7.0,2.0,5.0,2.0,4.0,2.0,1.0,6.0,6.0,5.0,1.0,18.0,9.0,6.0,6.0,16.0,20.0,6.0,2.0,5.0,3.0
truck (camion),3.0,8.0,4.0,8.0,15.0,4.0,8.0,8.0,6.0,3.0,4.0,9.0,2.0,6.0,7.0,4.0,8.0,1.0,3.0,8.0,4.0,7.0,10.0,13.0,5.0,6.0,20.0,19.0,15.0,9.0
truck (vrachtwagen),7.0,9.0,4.0,4.0,14.0,16.0,6.0,9.0,5.0,6.0,6.0,12.0,2.0,5.0,4.0,6.0,3.0,3.0,2.0,6.0,8.0,7.0,8.0,6.0,8.0,2.0,19.0,20.0,13.0,8.0
van,6.0,7.0,6.0,5.0,12.0,11.0,9.0,8.0,4.0,5.0,6.0,15.0,1.0,6.0,3.0,6.0,7.0,3.0,6.0,8.0,2.0,12.0,10.0,13.0,6.0,5.0,15.0,13.0,20.0,4.0
zeppelin,17.0,12.0,4.0,9.0,2.0,4.0,2.0,2.0,1.0,14.0,9.0,1.0,4.0,2.0,2.0,5.0,5.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,5.0,3.0,9.0,8.0,4.0,20.0
