exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,9.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,13.0,9.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,9.0,2.0,19.0
airplane,9.0,20.0,2.0,1.0,11.0,2.0,2.0,1.0,1.0,11.0,9.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,8.0,3.0,12.0,2.0,17.0
bicycle,1.0,2.0,20.0,1.0,1.0,2.0,14.0,4.0,15.0,3.0,2.0,2.0,15.0,14.0,5.0,2.0,7.0,4.0,11.0,1.0,1.0,3.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,1.0
boat,3.0,1.0,1.0,20.0,2.0,2.0,2.0,1.0,2.0,2.0,14.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,1.0,2.0,5.0,9.0,3.0,11.0
bus,1.0,11.0,1.0,2.0,20.0,11.0,15.0,4.0,2.0,6.0,2.0,4.0,1.0,2.0,3.0,1.0,6.0,2.0,3.0,3.0,11.0,2.0,10.0,12.0,14.0,17.0,17.0,13.0,15.0,10.0
car,2.0,2.0,2.0,2.0,11.0,20.0,15.0,14.0,13.0,1.0,2.0,17.0,3.0,3.0,3.0,1.0,14.0,2.0,15.0,1.0,3.0,17.0,4.0,5.0,2.0,5.0,14.0,13.0,15.0,2.0
carriage,1.0,2.0,14.0,2.0,15.0,15.0,20.0,16.0,14.0,2.0,2.0,10.0,3.0,4.0,2.0,1.0,3.0,2.0,14.0,1.0,11.0,17.0,3.0,15.0,15.0,15.0,12.0,14.0,12.0,10.0
cart,1.0,1.0,4.0,1.0,4.0,14.0,16.0,20.0,5.0,1.0,3.0,11.0,4.0,2.0,2.0,1.0,4.0,4.0,12.0,2.0,3.0,8.0,3.0,14.0,9.0,11.0,12.0,17.0,9.0,3.0
go-cart,1.0,1.0,15.0,2.0,2.0,13.0,14.0,5.0,20.0,2.0,1.0,11.0,15.0,11.0,12.0,1.0,13.0,12.0,12.0,1.0,2.0,5.0,12.0,2.0,4.0,1.0,6.0,13.0,1.0,1.0
helicopter,13.0,11.0,3.0,2.0,6.0,1.0,2.0,1.0,2.0,20.0,14.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,5.0
hovercraft,9.0,9.0,2.0,14.0,2.0,2.0,2.0,3.0,1.0,14.0,20.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,10.0,3.0,9.0,2.0,1.0,5.0,2.0,3.0,14.0,4.0,2.0,14.0
jeep,1.0,1.0,2.0,1.0,4.0,17.0,10.0,11.0,11.0,3.0,2.0,20.0,3.0,8.0,11.0,1.0,3.0,4.0,3.0,3.0,1.0,5.0,3.0,4.0,2.0,1.0,12.0,12.0,3.0,2.0
kick scooter,1.0,1.0,15.0,1.0,1.0,3.0,3.0,4.0,15.0,1.0,2.0,3.0,20.0,7.0,3.0,1.0,6.0,15.0,12.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
motorbike (brommer),1.0,3.0,14.0,1.0,2.0,3.0,4.0,2.0,11.0,3.0,3.0,8.0,7.0,20.0,18.0,4.0,19.0,13.0,8.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,6.0,2.0
motorbike (moto),1.0,1.0,5.0,1.0,3.0,3.0,2.0,2.0,12.0,2.0,2.0,11.0,3.0,18.0,20.0,2.0,19.0,9.0,2.0,1.0,2.0,9.0,9.0,1.0,1.0,2.0,3.0,3.0,1.0,3.0
rocket,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,4.0,2.0,20.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0
scooter,2.0,2.0,7.0,2.0,6.0,14.0,3.0,4.0,13.0,2.0,1.0,3.0,6.0,19.0,19.0,1.0,20.0,7.0,2.0,1.0,2.0,10.0,3.0,6.0,4.0,1.0,2.0,3.0,4.0,2.0
skateboard,1.0,1.0,4.0,4.0,2.0,2.0,2.0,4.0,12.0,1.0,3.0,4.0,15.0,13.0,9.0,1.0,7.0,20.0,11.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
sled,1.0,1.0,11.0,4.0,3.0,15.0,14.0,12.0,12.0,1.0,10.0,3.0,12.0,8.0,2.0,1.0,2.0,11.0,20.0,2.0,1.0,14.0,3.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0
submarine,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,20.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,4.0
subway train,3.0,1.0,1.0,5.0,11.0,3.0,11.0,3.0,2.0,1.0,9.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,20.0,1.0,2.0,11.0,17.0,19.0,15.0,2.0,6.0,2.0
taxi,1.0,3.0,3.0,2.0,2.0,17.0,17.0,8.0,5.0,1.0,2.0,5.0,1.0,2.0,9.0,2.0,10.0,1.0,14.0,1.0,1.0,20.0,2.0,2.0,3.0,2.0,10.0,13.0,11.0,3.0
tractor,1.0,2.0,2.0,2.0,10.0,4.0,3.0,3.0,12.0,2.0,1.0,3.0,2.0,4.0,9.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,20.0,2.0,14.0,2.0,9.0,15.0,5.0,9.0
trailer,3.0,1.0,4.0,2.0,12.0,5.0,15.0,14.0,2.0,1.0,5.0,4.0,1.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,11.0,2.0,2.0,20.0,11.0,5.0,12.0,11.0,7.0,4.0
train,1.0,2.0,2.0,1.0,14.0,2.0,15.0,9.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,4.0,1.0,4.0,1.0,17.0,3.0,14.0,11.0,20.0,18.0,14.0,13.0,9.0,4.0
tram,1.0,8.0,2.0,2.0,17.0,5.0,15.0,11.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,4.0,1.0,19.0,2.0,2.0,5.0,18.0,20.0,9.0,9.0,8.0,11.0
truck (camion),2.0,3.0,2.0,5.0,17.0,14.0,12.0,12.0,6.0,2.0,14.0,12.0,1.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,15.0,10.0,9.0,12.0,14.0,9.0,20.0,20.0,14.0,6.0
truck (vrachtwagen),9.0,12.0,1.0,9.0,13.0,13.0,14.0,17.0,13.0,2.0,4.0,12.0,1.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,2.0,13.0,15.0,11.0,13.0,9.0,20.0,20.0,17.0,3.0
van,2.0,2.0,2.0,3.0,15.0,15.0,12.0,9.0,1.0,3.0,2.0,3.0,2.0,6.0,1.0,1.0,4.0,1.0,1.0,1.0,6.0,11.0,5.0,7.0,9.0,8.0,14.0,17.0,20.0,1.0
zeppelin,19.0,17.0,1.0,11.0,10.0,2.0,10.0,3.0,1.0,5.0,14.0,2.0,1.0,2.0,3.0,2.0,2.0,1.0,4.0,4.0,2.0,3.0,9.0,4.0,4.0,11.0,6.0,3.0,1.0,20.0
