exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,17.0,14.0,15.0,14.0,13.0,15.0,14.0,14.0,17.0,14.0,13.0,13.0,14.0,13.0,17.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,19.0
airplane,17.0,20.0,14.0,13.0,13.0,15.0,14.0,13.0,14.0,18.0,14.0,14.0,14.0,13.0,14.0,18.0,13.0,14.0,13.0,13.0,13.0,15.0,13.0,14.0,13.0,13.0,13.0,14.0,14.0,18.0
bicycle,14.0,14.0,20.0,13.0,15.0,16.0,15.0,16.0,16.0,13.0,14.0,13.0,18.0,16.0,17.0,13.0,18.0,14.0,14.0,14.0,14.0,13.0,15.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0
boat,15.0,13.0,13.0,20.0,14.0,13.0,14.0,14.0,13.0,13.0,18.0,14.0,14.0,13.0,14.0,14.0,14.0,13.0,14.0,18.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0
bus,14.0,13.0,15.0,14.0,20.0,16.0,16.0,14.0,14.0,14.0,14.0,16.0,14.0,14.0,16.0,13.0,15.0,13.0,14.0,13.0,15.0,16.0,15.0,16.0,17.0,16.0,16.0,17.0,17.0,14.0
car,13.0,15.0,16.0,13.0,16.0,20.0,17.0,15.0,18.0,13.0,13.0,17.0,14.0,15.0,15.0,13.0,16.0,13.0,15.0,14.0,16.0,19.0,17.0,18.0,15.0,16.0,17.0,16.0,16.0,14.0
carriage,15.0,14.0,15.0,14.0,16.0,17.0,20.0,18.0,17.0,13.0,13.0,16.0,16.0,13.0,14.0,14.0,15.0,16.0,17.0,14.0,16.0,14.0,16.0,18.0,15.0,16.0,14.0,16.0,17.0,14.0
cart,14.0,13.0,16.0,14.0,14.0,15.0,18.0,20.0,16.0,14.0,13.0,14.0,16.0,14.0,15.0,12.0,14.0,16.0,17.0,14.0,15.0,14.0,17.0,16.0,14.0,15.0,15.0,13.0,16.0,14.0
go-cart,14.0,14.0,16.0,13.0,14.0,18.0,17.0,16.0,20.0,13.0,12.0,14.0,17.0,15.0,13.0,14.0,16.0,18.0,17.0,14.0,15.0,14.0,13.0,14.0,14.0,15.0,16.0,13.0,14.0,13.0
helicopter,17.0,18.0,13.0,13.0,14.0,13.0,13.0,14.0,13.0,20.0,16.0,14.0,13.0,14.0,14.0,17.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,17.0
hovercraft,14.0,14.0,14.0,18.0,14.0,13.0,13.0,13.0,12.0,16.0,20.0,14.0,14.0,13.0,14.0,13.0,14.0,13.0,14.0,15.0,14.0,13.0,14.0,13.0,14.0,14.0,14.0,13.0,13.0,14.0
jeep,13.0,14.0,13.0,14.0,16.0,17.0,16.0,14.0,14.0,14.0,14.0,20.0,13.0,14.0,16.0,14.0,16.0,13.0,13.0,14.0,15.0,16.0,18.0,14.0,14.0,15.0,16.0,17.0,17.0,14.0
kick scooter,13.0,14.0,18.0,14.0,14.0,14.0,16.0,16.0,17.0,13.0,14.0,13.0,20.0,13.0,16.0,14.0,14.0,17.0,17.0,13.0,14.0,13.0,14.0,14.0,13.0,15.0,14.0,14.0,14.0,11.0
motorbike (brommer),14.0,13.0,16.0,13.0,14.0,15.0,13.0,14.0,15.0,14.0,13.0,14.0,13.0,20.0,19.0,13.0,19.0,14.0,1.0,14.0,15.0,14.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0
motorbike (moto),13.0,14.0,17.0,14.0,16.0,15.0,14.0,15.0,13.0,14.0,14.0,16.0,16.0,19.0,20.0,14.0,18.0,15.0,15.0,14.0,15.0,15.0,15.0,15.0,14.0,14.0,15.0,14.0,14.0,15.0
rocket,17.0,18.0,13.0,14.0,13.0,13.0,14.0,12.0,14.0,17.0,13.0,14.0,14.0,13.0,14.0,20.0,14.0,13.0,13.0,13.0,14.0,13.0,13.0,14.0,13.0,14.0,14.0,14.0,13.0,16.0
scooter,14.0,13.0,18.0,14.0,15.0,16.0,15.0,14.0,16.0,14.0,14.0,16.0,14.0,19.0,18.0,14.0,20.0,13.0,13.0,14.0,14.0,16.0,16.0,14.0,15.0,13.0,14.0,15.0,15.0,14.0
skateboard,14.0,14.0,14.0,13.0,13.0,13.0,16.0,16.0,18.0,13.0,13.0,13.0,17.0,14.0,15.0,13.0,13.0,20.0,17.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0,14.0,13.0
sled,14.0,13.0,14.0,14.0,14.0,15.0,17.0,17.0,17.0,13.0,14.0,13.0,17.0,1.0,15.0,13.0,13.0,17.0,20.0,13.0,13.0,14.0,13.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0
submarine,13.0,13.0,14.0,18.0,13.0,14.0,14.0,14.0,14.0,14.0,15.0,14.0,13.0,14.0,14.0,13.0,14.0,14.0,13.0,20.0,14.0,13.0,13.0,14.0,14.0,14.0,14.0,13.0,13.0,13.0
subway train,13.0,13.0,14.0,14.0,15.0,16.0,16.0,15.0,15.0,14.0,14.0,15.0,14.0,15.0,15.0,14.0,14.0,14.0,13.0,14.0,20.0,14.0,15.0,15.0,19.0,18.0,14.0,15.0,15.0,14.0
taxi,13.0,15.0,13.0,14.0,16.0,19.0,14.0,14.0,14.0,14.0,13.0,16.0,13.0,14.0,15.0,13.0,16.0,14.0,14.0,13.0,14.0,20.0,14.0,13.0,14.0,15.0,15.0,16.0,16.0,14.0
tractor,14.0,13.0,15.0,14.0,15.0,17.0,16.0,17.0,13.0,14.0,14.0,18.0,14.0,15.0,15.0,13.0,16.0,14.0,13.0,13.0,15.0,14.0,20.0,17.0,15.0,15.0,16.0,16.0,17.0,14.0
trailer,14.0,14.0,14.0,13.0,16.0,18.0,18.0,16.0,14.0,13.0,13.0,14.0,14.0,15.0,15.0,14.0,14.0,14.0,14.0,14.0,15.0,13.0,17.0,20.0,14.0,14.0,16.0,16.0,17.0,14.0
