exemplar,(hot air) balloon,airplane,bicycle,boat,bus,car,carriage,cart,go-cart,helicopter,hovercraft,jeep,kick scooter,motorbike (brommer),motorbike (moto),rocket,scooter,skateboard,sled,submarine,subway train,taxi,tractor,trailer,train,tram,truck (camion),truck (vrachtwagen),van,zeppelin
(hot air) balloon,20.0,12.0,7.0,7.0,7.0,5.0,7.0,6.0,5.0,13.0,8.0,7.0,7.0,7.0,7.0,8.0,8.0,5.0,6.0,6.0,5.0,7.0,5.0,7.0,7.0,6.0,8.0,6.0,10.0,16.0
airplane,12.0,20.0,5.0,8.0,10.0,8.0,7.0,5.0,5.0,14.0,9.0,9.0,5.0,8.0,8.0,14.0,6.0,4.0,6.0,5.0,6.0,9.0,6.0,7.0,8.0,9.0,8.0,8.0,7.0,13.0
bicycle,7.0,5.0,20.0,6.0,8.0,8.0,9.0,8.0,13.0,7.0,5.0,6.0,13.0,12.0,12.0,3.0,13.0,11.0,10.0,7.0,7.0,7.0,7.0,6.0,8.0,8.0,7.0,7.0,7.0,4.0
boat,7.0,8.0,6.0,20.0,9.0,8.0,8.0,7.0,7.0,7.0,16.0,7.0,7.0,9.0,7.0,6.0,6.0,5.0,6.0,15.0,6.0,8.0,7.0,8.0,11.0,7.0,8.0,8.0,6.0,7.0
bus,7.0,10.0,8.0,9.0,20.0,13.0,7.0,9.0,8.0,7.0,6.0,11.0,8.0,9.0,9.0,6.0,9.0,6.0,6.0,7.0,13.0,12.0,10.0,8.0,14.0,14.0,14.0,12.0,8.0,6.0
car,5.0,8.0,8.0,8.0,13.0,20.0,12.0,7.0,12.0,7.0,6.0,16.0,8.0,10.0,9.0,5.0,10.0,6.0,6.0,6.0,10.0,17.0,11.0,10.0,8.0,1.0,12.0,13.0,16.0,5.0
carriage,7.0,7.0,9.0,8.0,7.0,12.0,20.0,16.0,8.0,6.0,8.0,8.0,7.0,8.0,7.0,6.0,8.0,8.0,12.0,5.0,6.0,8.0,11.0,12.0,7.0,8.0,11.0,7.0,8.0,7.0
cart,6.0,5.0,8.0,7.0,9.0,7.0,16.0,20.0,8.0,6.0,5.0,9.0,7.0,6.0,7.0,6.0,6.0,8.0,9.0,9.0,8.0,8.0,8.0,14.0,9.0,8.0,9.0,8.0,8.0,6.0
go-cart,5.0,5.0,13.0,7.0,8.0,12.0,8.0,8.0,20.0,6.0,6.0,6.0,13.0,6.0,9.0,5.0,8.0,13.0,12.0,6.0,7.0,12.0,6.0,8.0,6.0,7.0,6.0,7.0,9.0,7.0
helicopter,13.0,14.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,20.0,12.0,7.0,4.0,7.0,6.0,10.0,8.0,6.0,9.0,6.0,7.0,7.0,6.0,6.0,9.0,7.0,7.0,7.0,7.0,12.0
hovercraft,8.0,9.0,5.0,16.0,6.0,6.0,8.0,5.0,6.0,12.0,20.0,7.0,4.0,6.0,7.0,6.0,5.0,4.0,13.0,7.0,8.0,6.0,7.0,5.0,6.0,6.0,8.0,6.0,4.0,10.0
jeep,7.0,9.0,6.0,7.0,11.0,16.0,8.0,9.0,6.0,7.0,7.0,20.0,7.0,8.0,9.0,4.0,9.0,6.0,6.0,9.0,7.0,13.0,14.0,8.0,10.0,8.0,13.0,12.0,11.0,6.0
kick scooter,7.0,5.0,13.0,7.0,8.0,8.0,7.0,7.0,13.0,4.0,4.0,7.0,20.0,11.0,13.0,5.0,12.0,14.0,10.0,6.0,8.0,8.0,5.0,6.0,7.0,6.0,9.0,5.0,7.0,5.0
motorbike (brommer),7.0,8.0,12.0,9.0,9.0,10.0,8.0,6.0,6.0,7.0,6.0,8.0,11.0,20.0,18.0,6.0,18.0,8.0,7.0,6.0,7.0,9.0,9.0,7.0,9.0,10.0,8.0,8.0,10.0,6.0
motorbike (moto),7.0,8.0,12.0,7.0,9.0,9.0,7.0,7.0,9.0,6.0,7.0,9.0,13.0,18.0,20.0,7.0,16.0,10.0,6.0,8.0,9.0,8.0,10.0,7.0,8.0,8.0,10.0,10.0,7.0,6.0
rocket,8.0,14.0,3.0,6.0,6.0,5.0,6.0,6.0,5.0,10.0,6.0,4.0,5.0,6.0,7.0,20.0,5.0,4.0,4.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,6.0,8.0
scooter,8.0,6.0,13.0,6.0,9.0,10.0,8.0,6.0,8.0,8.0,5.0,9.0,12.0,18.0,16.0,5.0,20.0,8.0,7.0,7.0,6.0,7.0,8.0,6.0,7.0,8.0,8.0,10.0,8.0,7.0
skateboard,5.0,4.0,11.0,5.0,6.0,6.0,8.0,8.0,13.0,6.0,4.0,6.0,14.0,8.0,10.0,4.0,8.0,20.0,10.0,5.0,6.0,6.0,5.0,7.0,6.0,4.0,6.0,5.0,5.0,5.0
sled,6.0,6.0,10.0,6.0,6.0,6.0,12.0,9.0,12.0,9.0,13.0,6.0,10.0,7.0,6.0,4.0,7.0,10.0,20.0,6.0,7.0,9.0,7.0,9.0,6.0,6.0,5.0,6.0,6.0,7.0
submarine,6.0,5.0,7.0,15.0,7.0,6.0,5.0,9.0,6.0,6.0,7.0,9.0,6.0,6.0,8.0,6.0,7.0,5.0,6.0,20.0,6.0,7.0,5.0,5.0,6.0,7.0,7.0,4.0,5.0,7.0
